label,thresholds,f1_most
No Finding,0.20603015075376885,0.41270477
Atelectasis,0.19597989949748743,0.43423393
Consolidation,0.1507537688442211,0.24306917
Infiltration,0.21608040201005024,0.50366473
Pneumothorax,0.20100502512562815,0.3249735
Edema,0.18592964824120603,0.28125
Emphysema,0.1507537688442211,0.17916666
Fibrosis,0.08542713567839195,0.098269895
Effusion,0.2914572864321608,0.54096556
Pneumonia,0.06030150753768844,0.0854527
Pleural_Thickening,0.1306532663316583,0.20433436
Cardiomegaly,0.2964824120603015,0.36474165
Nodule,0.10552763819095477,0.21892583
Mass,0.15577889447236182,0.2629986
Hernia,0.005025125628140704,0.015472586
