label,thresholds,f1_most
No Finding,0.19095477386934673,0.41914517
Atelectasis,0.19597989949748743,0.43534553
Consolidation,0.11557788944723618,0.24777055
Infiltration,0.1658291457286432,0.50677943
Pneumothorax,0.11557788944723618,0.3165428
Edema,0.1407035175879397,0.27742392
Emphysema,0.1407035175879397,0.20065252
Fibrosis,0.05527638190954774,0.11127487
Effusion,0.21608040201005024,0.54093355
Pneumonia,0.04522613065326633,0.084848486
Pleural_Thickening,0.12562814070351758,0.22868606
Cardiomegaly,0.23115577889447236,0.37381405
Nodule,0.10050251256281408,0.2178847
Mass,0.12562814070351758,0.27170238
Hernia,0.03015075376884422,0.027777778
