,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
0,"tf.Tensor(0.27266952, shape=(), dtype=float32)","tf.Tensor(0.31174564, shape=(), dtype=float32)","tf.Tensor(0.13912117, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.16162223, shape=(), dtype=float32)","tf.Tensor(0.06849207, shape=(), dtype=float32)","tf.Tensor(0.08196207, shape=(), dtype=float32)","tf.Tensor(0.053439364, shape=(), dtype=float32)","tf.Tensor(0.35442016, shape=(), dtype=float32)","tf.Tensor(0.043794453, shape=(), dtype=float32)","tf.Tensor(0.10556459, shape=(), dtype=float32)","tf.Tensor(0.086310685, shape=(), dtype=float32)","tf.Tensor(0.1944383, shape=(), dtype=float32)","tf.Tensor(0.17082648, shape=(), dtype=float32)","tf.Tensor(0.008785488, shape=(), dtype=float32)"
1,"tf.Tensor(0.27295846, shape=(), dtype=float32)","tf.Tensor(0.31181017, shape=(), dtype=float32)","tf.Tensor(0.13937548, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.16161768, shape=(), dtype=float32)","tf.Tensor(0.09843133, shape=(), dtype=float32)","tf.Tensor(0.083599746, shape=(), dtype=float32)","tf.Tensor(0.059515197, shape=(), dtype=float32)","tf.Tensor(0.354444, shape=(), dtype=float32)","tf.Tensor(0.044340156, shape=(), dtype=float32)","tf.Tensor(0.105859526, shape=(), dtype=float32)","tf.Tensor(0.10805916, shape=(), dtype=float32)","tf.Tensor(0.19449568, shape=(), dtype=float32)","tf.Tensor(0.17115903, shape=(), dtype=float32)","tf.Tensor(0.020496894, shape=(), dtype=float32)"
2,"tf.Tensor(0.2743344, shape=(), dtype=float32)","tf.Tensor(0.31307602, shape=(), dtype=float32)","tf.Tensor(0.14228942, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.16292816, shape=(), dtype=float32)","tf.Tensor(0.12406948, shape=(), dtype=float32)","tf.Tensor(0.08800955, shape=(), dtype=float32)","tf.Tensor(0.06256806, shape=(), dtype=float32)","tf.Tensor(0.35521704, shape=(), dtype=float32)","tf.Tensor(0.046410836, shape=(), dtype=float32)","tf.Tensor(0.107236065, shape=(), dtype=float32)","tf.Tensor(0.12728158, shape=(), dtype=float32)","tf.Tensor(0.19470727, shape=(), dtype=float32)","tf.Tensor(0.1712782, shape=(), dtype=float32)","tf.Tensor(0.028596962, shape=(), dtype=float32)"
3,"tf.Tensor(0.27632615, shape=(), dtype=float32)","tf.Tensor(0.3156863, shape=(), dtype=float32)","tf.Tensor(0.14803201, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.16480038, shape=(), dtype=float32)","tf.Tensor(0.14349593, shape=(), dtype=float32)","tf.Tensor(0.0942369, shape=(), dtype=float32)","tf.Tensor(0.0661441, shape=(), dtype=float32)","tf.Tensor(0.35769597, shape=(), dtype=float32)","tf.Tensor(0.050429545, shape=(), dtype=float32)","tf.Tensor(0.10855611, shape=(), dtype=float32)","tf.Tensor(0.14504036, shape=(), dtype=float32)","tf.Tensor(0.19514368, shape=(), dtype=float32)","tf.Tensor(0.17245837, shape=(), dtype=float32)","tf.Tensor(0.031496063, shape=(), dtype=float32)"
4,"tf.Tensor(0.27962464, shape=(), dtype=float32)","tf.Tensor(0.31905234, shape=(), dtype=float32)","tf.Tensor(0.15678571, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.1689826, shape=(), dtype=float32)","tf.Tensor(0.1583689, shape=(), dtype=float32)","tf.Tensor(0.10326145, shape=(), dtype=float32)","tf.Tensor(0.06862061, shape=(), dtype=float32)","tf.Tensor(0.362221, shape=(), dtype=float32)","tf.Tensor(0.057282344, shape=(), dtype=float32)","tf.Tensor(0.11147763, shape=(), dtype=float32)","tf.Tensor(0.163142, shape=(), dtype=float32)","tf.Tensor(0.19614895, shape=(), dtype=float32)","tf.Tensor(0.1752233, shape=(), dtype=float32)","tf.Tensor(0.048780486, shape=(), dtype=float32)"
5,"tf.Tensor(0.28412464, shape=(), dtype=float32)","tf.Tensor(0.32314348, shape=(), dtype=float32)","tf.Tensor(0.16607125, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.17633723, shape=(), dtype=float32)","tf.Tensor(0.1680086, shape=(), dtype=float32)","tf.Tensor(0.11085167, shape=(), dtype=float32)","tf.Tensor(0.0704496, shape=(), dtype=float32)","tf.Tensor(0.36732978, shape=(), dtype=float32)","tf.Tensor(0.06436913, shape=(), dtype=float32)","tf.Tensor(0.11524164, shape=(), dtype=float32)","tf.Tensor(0.17811118, shape=(), dtype=float32)","tf.Tensor(0.19716603, shape=(), dtype=float32)","tf.Tensor(0.17824942, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
6,"tf.Tensor(0.2877938, shape=(), dtype=float32)","tf.Tensor(0.32657543, shape=(), dtype=float32)","tf.Tensor(0.17528042, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.18513899, shape=(), dtype=float32)","tf.Tensor(0.179231, shape=(), dtype=float32)","tf.Tensor(0.12083035, shape=(), dtype=float32)","tf.Tensor(0.07266534, shape=(), dtype=float32)","tf.Tensor(0.37252387, shape=(), dtype=float32)","tf.Tensor(0.066055045, shape=(), dtype=float32)","tf.Tensor(0.11751455, shape=(), dtype=float32)","tf.Tensor(0.1981028, shape=(), dtype=float32)","tf.Tensor(0.19808061, shape=(), dtype=float32)","tf.Tensor(0.18289962, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
7,"tf.Tensor(0.2934417, shape=(), dtype=float32)","tf.Tensor(0.32949737, shape=(), dtype=float32)","tf.Tensor(0.18300949, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.19439963, shape=(), dtype=float32)","tf.Tensor(0.18754232, shape=(), dtype=float32)","tf.Tensor(0.12815854, shape=(), dtype=float32)","tf.Tensor(0.07871486, shape=(), dtype=float32)","tf.Tensor(0.3796121, shape=(), dtype=float32)","tf.Tensor(0.06523157, shape=(), dtype=float32)","tf.Tensor(0.12103573, shape=(), dtype=float32)","tf.Tensor(0.2158667, shape=(), dtype=float32)","tf.Tensor(0.19956312, shape=(), dtype=float32)","tf.Tensor(0.18595468, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
8,"tf.Tensor(0.30147895, shape=(), dtype=float32)","tf.Tensor(0.33348438, shape=(), dtype=float32)","tf.Tensor(0.18957926, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.2034654, shape=(), dtype=float32)","tf.Tensor(0.1904762, shape=(), dtype=float32)","tf.Tensor(0.13559963, shape=(), dtype=float32)","tf.Tensor(0.08193467, shape=(), dtype=float32)","tf.Tensor(0.38704863, shape=(), dtype=float32)","tf.Tensor(0.053333335, shape=(), dtype=float32)","tf.Tensor(0.124663, shape=(), dtype=float32)","tf.Tensor(0.22839677, shape=(), dtype=float32)","tf.Tensor(0.20103134, shape=(), dtype=float32)","tf.Tensor(0.19131371, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
9,"tf.Tensor(0.31070942, shape=(), dtype=float32)","tf.Tensor(0.33694234, shape=(), dtype=float32)","tf.Tensor(0.19794141, shape=(), dtype=float32)","tf.Tensor(0.48779884, shape=(), dtype=float32)","tf.Tensor(0.21243915, shape=(), dtype=float32)","tf.Tensor(0.20040733, shape=(), dtype=float32)","tf.Tensor(0.14010283, shape=(), dtype=float32)","tf.Tensor(0.08589717, shape=(), dtype=float32)","tf.Tensor(0.39357492, shape=(), dtype=float32)","tf.Tensor(0.058124173, shape=(), dtype=float32)","tf.Tensor(0.12905484, shape=(), dtype=float32)","tf.Tensor(0.24108241, shape=(), dtype=float32)","tf.Tensor(0.2027508, shape=(), dtype=float32)","tf.Tensor(0.19622996, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
