label,thresholds,f1_most
No Finding,0.3165829145728643,0.7450796
Atelectasis,0.20100502512562815,0.32692307
Consolidation,0.135678391959799,0.18196245
Infiltration,0.24120603015075376,0.38418293
Pneumothorax,0.09547738693467336,0.23103113
Edema,0.08040201005025126,0.17670055
Emphysema,0.07035175879396985,0.11775701
Fibrosis,0.02512562814070352,0.06339772
Effusion,0.2864321608040201,0.4636325
Pneumonia,0.04020100502512563,0.059011165
Pleural_Thickening,0.07035175879396985,0.15087396
Cardiomegaly,0.1306532663316583,0.26404086
Nodule,0.11557788944723618,0.190395
Mass,0.12060301507537688,0.22551021
Hernia,0.005025125628140704,0.0067009158
