label,thresholds,f1_most
No Finding,0.3417085427135678,0.72806835
Atelectasis,0.1457286432160804,0.30868512
Consolidation,0.10050251256281408,0.18758409
Infiltration,0.21105527638190955,0.3696498
Pneumothorax,0.1407035175879397,0.25454545
Edema,0.10050251256281408,0.17025982
Emphysema,0.07035175879396985,0.125
Fibrosis,0.05025125628140704,0.0729927
Effusion,0.19597989949748743,0.42141795
Pneumonia,0.04522613065326633,0.06865285
Pleural_Thickening,0.10552763819095477,0.14753383
Cardiomegaly,0.1658291457286432,0.2247883
Nodule,0.09045226130653267,0.13566084
Mass,0.1306532663316583,0.19722497
Hernia,0.010050251256281407,0.016791046
