,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
0,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.18847194, shape=(), dtype=float32)","tf.Tensor(0.07947928, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.091736875, shape=(), dtype=float32)","tf.Tensor(0.04080206, shape=(), dtype=float32)","tf.Tensor(0.043537058, shape=(), dtype=float32)","tf.Tensor(0.030736806, shape=(), dtype=float32)","tf.Tensor(0.21222992, shape=(), dtype=float32)","tf.Tensor(0.024404211, shape=(), dtype=float32)","tf.Tensor(0.058360033, shape=(), dtype=float32)","tf.Tensor(0.050002173, shape=(), dtype=float32)","tf.Tensor(0.10552106, shape=(), dtype=float32)","tf.Tensor(0.096838534, shape=(), dtype=float32)","tf.Tensor(0.004627158, shape=(), dtype=float32)"
1,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.18847194, shape=(), dtype=float32)","tf.Tensor(0.079503104, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.09179937, shape=(), dtype=float32)","tf.Tensor(0.06322842, shape=(), dtype=float32)","tf.Tensor(0.043752503, shape=(), dtype=float32)","tf.Tensor(0.031531114, shape=(), dtype=float32)","tf.Tensor(0.21224685, shape=(), dtype=float32)","tf.Tensor(0.02516011, shape=(), dtype=float32)","tf.Tensor(0.058360033, shape=(), dtype=float32)","tf.Tensor(0.057718687, shape=(), dtype=float32)","tf.Tensor(0.10552106, shape=(), dtype=float32)","tf.Tensor(0.096838534, shape=(), dtype=float32)","tf.Tensor(0.009029346, shape=(), dtype=float32)"
2,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.18847194, shape=(), dtype=float32)","tf.Tensor(0.08231338, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.099976934, shape=(), dtype=float32)","tf.Tensor(0.08273307, shape=(), dtype=float32)","tf.Tensor(0.04336989, shape=(), dtype=float32)","tf.Tensor(0.040268455, shape=(), dtype=float32)","tf.Tensor(0.21436055, shape=(), dtype=float32)","tf.Tensor(0.030197617, shape=(), dtype=float32)","tf.Tensor(0.05842208, shape=(), dtype=float32)","tf.Tensor(0.06624555, shape=(), dtype=float32)","tf.Tensor(0.10552106, shape=(), dtype=float32)","tf.Tensor(0.09685497, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
3,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.18860908, shape=(), dtype=float32)","tf.Tensor(0.0965071, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.105532266, shape=(), dtype=float32)","tf.Tensor(0.09735849, shape=(), dtype=float32)","tf.Tensor(0.043745726, shape=(), dtype=float32)","tf.Tensor(0.042025637, shape=(), dtype=float32)","tf.Tensor(0.22849451, shape=(), dtype=float32)","tf.Tensor(0.036753446, shape=(), dtype=float32)","tf.Tensor(0.06425659, shape=(), dtype=float32)","tf.Tensor(0.06629271, shape=(), dtype=float32)","tf.Tensor(0.105525516, shape=(), dtype=float32)","tf.Tensor(0.09691029, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
4,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.18962854, shape=(), dtype=float32)","tf.Tensor(0.112238646, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.10516104, shape=(), dtype=float32)","tf.Tensor(0.07330362, shape=(), dtype=float32)","tf.Tensor(0.032467533, shape=(), dtype=float32)","tf.Tensor(0.046242774, shape=(), dtype=float32)","tf.Tensor(0.25153375, shape=(), dtype=float32)","tf.Tensor(0.016706444, shape=(), dtype=float32)","tf.Tensor(0.07315843, shape=(), dtype=float32)","tf.Tensor(0.05935645, shape=(), dtype=float32)","tf.Tensor(0.10600435, shape=(), dtype=float32)","tf.Tensor(0.097741574, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
5,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.19396013, shape=(), dtype=float32)","tf.Tensor(0.12593557, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.0952381, shape=(), dtype=float32)","tf.Tensor(0.026431719, shape=(), dtype=float32)","tf.Tensor(0.014732965, shape=(), dtype=float32)","tf.Tensor(0.04869086, shape=(), dtype=float32)","tf.Tensor(0.27027893, shape=(), dtype=float32)","tf.Tensor(0.004514673, shape=(), dtype=float32)","tf.Tensor(0.083501294, shape=(), dtype=float32)","tf.Tensor(0.051990252, shape=(), dtype=float32)","tf.Tensor(0.10934441, shape=(), dtype=float32)","tf.Tensor(0.101937756, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
6,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.20058559, shape=(), dtype=float32)","tf.Tensor(0.13639952, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.079247154, shape=(), dtype=float32)","tf.Tensor(0.015174507, shape=(), dtype=float32)","tf.Tensor(0.0038314175, shape=(), dtype=float32)","tf.Tensor(0.05192108, shape=(), dtype=float32)","tf.Tensor(0.284275, shape=(), dtype=float32)","tf.Tensor(0.005830904, shape=(), dtype=float32)","tf.Tensor(0.09545227, shape=(), dtype=float32)","tf.Tensor(0.03380282, shape=(), dtype=float32)","tf.Tensor(0.11237, shape=(), dtype=float32)","tf.Tensor(0.107800774, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
7,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.21049686, shape=(), dtype=float32)","tf.Tensor(0.13972567, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.061097257, shape=(), dtype=float32)","tf.Tensor(0.017985612, shape=(), dtype=float32)","tf.Tensor(0.0039138943, shape=(), dtype=float32)","tf.Tensor(0.029684601, shape=(), dtype=float32)","tf.Tensor(0.2963549, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.09658873, shape=(), dtype=float32)","tf.Tensor(0.016611295, shape=(), dtype=float32)","tf.Tensor(0.113065824, shape=(), dtype=float32)","tf.Tensor(0.1126423, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
8,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.22047009, shape=(), dtype=float32)","tf.Tensor(0.13716814, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.054129075, shape=(), dtype=float32)","tf.Tensor(0.011741683, shape=(), dtype=float32)","tf.Tensor(0.003944773, shape=(), dtype=float32)","tf.Tensor(0.010152284, shape=(), dtype=float32)","tf.Tensor(0.30696365, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.099947944, shape=(), dtype=float32)","tf.Tensor(0.010309278, shape=(), dtype=float32)","tf.Tensor(0.1129398, shape=(), dtype=float32)","tf.Tensor(0.11933762, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
9,"tf.Tensor(0.70160097, shape=(), dtype=float32)","tf.Tensor(0.22968443, shape=(), dtype=float32)","tf.Tensor(0.13144758, shape=(), dtype=float32)","tf.Tensor(0.3023696, shape=(), dtype=float32)","tf.Tensor(0.046337817, shape=(), dtype=float32)","tf.Tensor(0.003992016, shape=(), dtype=float32)","tf.Tensor(0.003968254, shape=(), dtype=float32)","tf.Tensor(0.005449591, shape=(), dtype=float32)","tf.Tensor(0.3156696, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(0.087674715, shape=(), dtype=float32)","tf.Tensor(0.010362694, shape=(), dtype=float32)","tf.Tensor(0.114257246, shape=(), dtype=float32)","tf.Tensor(0.12002243, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
