label,thresholds,f1_most
No Finding,0.18592964824120603,0.7044852
Atelectasis,0.1708542713567839,0.26548672
Consolidation,0.07537688442211055,0.14060663
Infiltration,0.1457286432160804,0.31853846
Pneumothorax,0.3065326633165829,0.16051817
Edema,0.04522613065326633,0.07007082
Emphysema,0.32160804020100503,0.124406956
Fibrosis,0.020100502512562814,0.037143487
Effusion,0.1507537688442211,0.3320276
Pneumonia,0.05025125628140704,0.06265664
Pleural_Thickening,0.05527638190954774,0.08463386
Cardiomegaly,0.01507537688442211,0.1382716
Nodule,0.03015075376884422,0.11009992
Mass,0.05527638190954774,0.14190148
Hernia,0.005025125628140704,0.01
