label,thresholds,f1_most
No Finding,0.34673366834170855,0.74277467
Atelectasis,0.17587939698492464,0.33480984
Consolidation,0.11557788944723618,0.19445291
Infiltration,0.18592964824120603,0.38062283
Pneumothorax,0.17587939698492464,0.26427773
Edema,0.12060301507537688,0.20780857
Emphysema,0.08040201005025126,0.12785389
Fibrosis,0.03015075376884422,0.057874236
Effusion,0.2562814070351759,0.48216322
Pneumonia,0.03015075376884422,0.06699508
Pleural_Thickening,0.09547738693467336,0.1661891
Cardiomegaly,0.135678391959799,0.3078113
Nodule,0.08040201005025126,0.14325134
Mass,0.12060301507537688,0.22333044
Hernia,0.01507537688442211,0.028985508
