,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
0,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.1879596, shape=(), dtype=float32)","tf.Tensor(0.08276334, shape=(), dtype=float32)","tf.Tensor(0.29540098, shape=(), dtype=float32)","tf.Tensor(0.09133081, shape=(), dtype=float32)","tf.Tensor(0.039174538, shape=(), dtype=float32)","tf.Tensor(0.043537058, shape=(), dtype=float32)","tf.Tensor(0.03013133, shape=(), dtype=float32)","tf.Tensor(0.21784224, shape=(), dtype=float32)","tf.Tensor(0.02510018, shape=(), dtype=float32)","tf.Tensor(0.05802373, shape=(), dtype=float32)","tf.Tensor(0.051442474, shape=(), dtype=float32)","tf.Tensor(0.10831787, shape=(), dtype=float32)","tf.Tensor(0.09667699, shape=(), dtype=float32)","tf.Tensor(0.0041831695, shape=(), dtype=float32)"
1,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.19193588, shape=(), dtype=float32)","tf.Tensor(0.09523333, shape=(), dtype=float32)","tf.Tensor(0.29540098, shape=(), dtype=float32)","tf.Tensor(0.10848814, shape=(), dtype=float32)","tf.Tensor(0.07558882, shape=(), dtype=float32)","tf.Tensor(0.058753822, shape=(), dtype=float32)","tf.Tensor(0.03586619, shape=(), dtype=float32)","tf.Tensor(0.23943105, shape=(), dtype=float32)","tf.Tensor(0.03169014, shape=(), dtype=float32)","tf.Tensor(0.063163996, shape=(), dtype=float32)","tf.Tensor(0.07242304, shape=(), dtype=float32)","tf.Tensor(0.10837272, shape=(), dtype=float32)","tf.Tensor(0.09888149, shape=(), dtype=float32)","tf.Tensor(0.011310847, shape=(), dtype=float32)"
2,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.1998444, shape=(), dtype=float32)","tf.Tensor(0.11009065, shape=(), dtype=float32)","tf.Tensor(0.29543468, shape=(), dtype=float32)","tf.Tensor(0.12711392, shape=(), dtype=float32)","tf.Tensor(0.092511535, shape=(), dtype=float32)","tf.Tensor(0.07194245, shape=(), dtype=float32)","tf.Tensor(0.043196544, shape=(), dtype=float32)","tf.Tensor(0.2604941, shape=(), dtype=float32)","tf.Tensor(0.040035274, shape=(), dtype=float32)","tf.Tensor(0.07313877, shape=(), dtype=float32)","tf.Tensor(0.08777998, shape=(), dtype=float32)","tf.Tensor(0.10895041, shape=(), dtype=float32)","tf.Tensor(0.104184136, shape=(), dtype=float32)","tf.Tensor(0.015992474, shape=(), dtype=float32)"
3,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.20802027, shape=(), dtype=float32)","tf.Tensor(0.12175904, shape=(), dtype=float32)","tf.Tensor(0.2958535, shape=(), dtype=float32)","tf.Tensor(0.14380708, shape=(), dtype=float32)","tf.Tensor(0.105426356, shape=(), dtype=float32)","tf.Tensor(0.0806166, shape=(), dtype=float32)","tf.Tensor(0.051592015, shape=(), dtype=float32)","tf.Tensor(0.27574188, shape=(), dtype=float32)","tf.Tensor(0.045338828, shape=(), dtype=float32)","tf.Tensor(0.08232089, shape=(), dtype=float32)","tf.Tensor(0.09979466, shape=(), dtype=float32)","tf.Tensor(0.11102417, shape=(), dtype=float32)","tf.Tensor(0.11008335, shape=(), dtype=float32)","tf.Tensor(0.016276704, shape=(), dtype=float32)"
4,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.21547742, shape=(), dtype=float32)","tf.Tensor(0.12987013, shape=(), dtype=float32)","tf.Tensor(0.2966756, shape=(), dtype=float32)","tf.Tensor(0.15794338, shape=(), dtype=float32)","tf.Tensor(0.11335379, shape=(), dtype=float32)","tf.Tensor(0.090596765, shape=(), dtype=float32)","tf.Tensor(0.05922093, shape=(), dtype=float32)","tf.Tensor(0.2884314, shape=(), dtype=float32)","tf.Tensor(0.04828379, shape=(), dtype=float32)","tf.Tensor(0.09051147, shape=(), dtype=float32)","tf.Tensor(0.110380754, shape=(), dtype=float32)","tf.Tensor(0.11316147, shape=(), dtype=float32)","tf.Tensor(0.114954054, shape=(), dtype=float32)","tf.Tensor(0.025052192, shape=(), dtype=float32)"
5,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.22228757, shape=(), dtype=float32)","tf.Tensor(0.13623281, shape=(), dtype=float32)","tf.Tensor(0.2983077, shape=(), dtype=float32)","tf.Tensor(0.17373084, shape=(), dtype=float32)","tf.Tensor(0.122210026, shape=(), dtype=float32)","tf.Tensor(0.0974653, shape=(), dtype=float32)","tf.Tensor(0.06662881, shape=(), dtype=float32)","tf.Tensor(0.29876363, shape=(), dtype=float32)","tf.Tensor(0.051315505, shape=(), dtype=float32)","tf.Tensor(0.09627133, shape=(), dtype=float32)","tf.Tensor(0.121238805, shape=(), dtype=float32)","tf.Tensor(0.116763726, shape=(), dtype=float32)","tf.Tensor(0.1212682, shape=(), dtype=float32)","tf.Tensor(0.033195022, shape=(), dtype=float32)"
6,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.22883038, shape=(), dtype=float32)","tf.Tensor(0.14226083, shape=(), dtype=float32)","tf.Tensor(0.30047312, shape=(), dtype=float32)","tf.Tensor(0.1871618, shape=(), dtype=float32)","tf.Tensor(0.12858877, shape=(), dtype=float32)","tf.Tensor(0.103630595, shape=(), dtype=float32)","tf.Tensor(0.06398401, shape=(), dtype=float32)","tf.Tensor(0.30904818, shape=(), dtype=float32)","tf.Tensor(0.05276892, shape=(), dtype=float32)","tf.Tensor(0.10266391, shape=(), dtype=float32)","tf.Tensor(0.13328776, shape=(), dtype=float32)","tf.Tensor(0.120755106, shape=(), dtype=float32)","tf.Tensor(0.12824178, shape=(), dtype=float32)","tf.Tensor(0.030075189, shape=(), dtype=float32)"
7,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.2342685, shape=(), dtype=float32)","tf.Tensor(0.14728682, shape=(), dtype=float32)","tf.Tensor(0.30238476, shape=(), dtype=float32)","tf.Tensor(0.1970547, shape=(), dtype=float32)","tf.Tensor(0.13235945, shape=(), dtype=float32)","tf.Tensor(0.10683934, shape=(), dtype=float32)","tf.Tensor(0.06438896, shape=(), dtype=float32)","tf.Tensor(0.3182898, shape=(), dtype=float32)","tf.Tensor(0.05474171, shape=(), dtype=float32)","tf.Tensor(0.10891365, shape=(), dtype=float32)","tf.Tensor(0.14441147, shape=(), dtype=float32)","tf.Tensor(0.1264244, shape=(), dtype=float32)","tf.Tensor(0.13639443, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
8,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.23955767, shape=(), dtype=float32)","tf.Tensor(0.15079969, shape=(), dtype=float32)","tf.Tensor(0.3049192, shape=(), dtype=float32)","tf.Tensor(0.20245788, shape=(), dtype=float32)","tf.Tensor(0.13636364, shape=(), dtype=float32)","tf.Tensor(0.104542345, shape=(), dtype=float32)","tf.Tensor(0.070909865, shape=(), dtype=float32)","tf.Tensor(0.32593524, shape=(), dtype=float32)","tf.Tensor(0.050632913, shape=(), dtype=float32)","tf.Tensor(0.114779875, shape=(), dtype=float32)","tf.Tensor(0.15241972, shape=(), dtype=float32)","tf.Tensor(0.1312539, shape=(), dtype=float32)","tf.Tensor(0.14134568, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
9,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.24414317, shape=(), dtype=float32)","tf.Tensor(0.1553925, shape=(), dtype=float32)","tf.Tensor(0.30823767, shape=(), dtype=float32)","tf.Tensor(0.2135124, shape=(), dtype=float32)","tf.Tensor(0.13966624, shape=(), dtype=float32)","tf.Tensor(0.107494324, shape=(), dtype=float32)","tf.Tensor(0.07178912, shape=(), dtype=float32)","tf.Tensor(0.33246854, shape=(), dtype=float32)","tf.Tensor(0.04556962, shape=(), dtype=float32)","tf.Tensor(0.11863812, shape=(), dtype=float32)","tf.Tensor(0.16100822, shape=(), dtype=float32)","tf.Tensor(0.13652678, shape=(), dtype=float32)","tf.Tensor(0.14425339, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
