label,thresholds,f1_most
No Finding,0.36683417085427134,0.7360928
Atelectasis,0.15577889447236182,0.30511275
Consolidation,0.12060301507537688,0.19270954
Infiltration,0.23115577889447236,0.3816385
Pneumothorax,0.1407035175879397,0.25378284
Edema,0.08542713567839195,0.17752948
Emphysema,0.08542713567839195,0.11553963
Fibrosis,0.035175879396984924,0.07192661
Effusion,0.20100502512562815,0.44941607
Pneumonia,0.03015075376884422,0.054516055
Pleural_Thickening,0.08040201005025126,0.1447619
Cardiomegaly,0.09045226130653267,0.23297785
Nodule,0.1306532663316583,0.18008415
Mass,0.1507537688442211,0.19246078
Hernia,0.010050251256281407,0.010526316
