,No Finding,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia
0,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.1879596, shape=(), dtype=float32)","tf.Tensor(0.08276334, shape=(), dtype=float32)","tf.Tensor(0.29540098, shape=(), dtype=float32)","tf.Tensor(0.09133081, shape=(), dtype=float32)","tf.Tensor(0.039174538, shape=(), dtype=float32)","tf.Tensor(0.043537058, shape=(), dtype=float32)","tf.Tensor(0.03013133, shape=(), dtype=float32)","tf.Tensor(0.21784224, shape=(), dtype=float32)","tf.Tensor(0.02510018, shape=(), dtype=float32)","tf.Tensor(0.05802373, shape=(), dtype=float32)","tf.Tensor(0.051442474, shape=(), dtype=float32)","tf.Tensor(0.10831787, shape=(), dtype=float32)","tf.Tensor(0.09667699, shape=(), dtype=float32)","tf.Tensor(0.0041831695, shape=(), dtype=float32)"
1,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.18808119, shape=(), dtype=float32)","tf.Tensor(0.08351326, shape=(), dtype=float32)","tf.Tensor(0.29540098, shape=(), dtype=float32)","tf.Tensor(0.09466673, shape=(), dtype=float32)","tf.Tensor(0.059713986, shape=(), dtype=float32)","tf.Tensor(0.04535459, shape=(), dtype=float32)","tf.Tensor(0.032759305, shape=(), dtype=float32)","tf.Tensor(0.2231452, shape=(), dtype=float32)","tf.Tensor(0.026084544, shape=(), dtype=float32)","tf.Tensor(0.058339894, shape=(), dtype=float32)","tf.Tensor(0.07069274, shape=(), dtype=float32)","tf.Tensor(0.108322434, shape=(), dtype=float32)","tf.Tensor(0.09680846, shape=(), dtype=float32)","tf.Tensor(0.007705987, shape=(), dtype=float32)"
2,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.19115044, shape=(), dtype=float32)","tf.Tensor(0.08911397, shape=(), dtype=float32)","tf.Tensor(0.29545712, shape=(), dtype=float32)","tf.Tensor(0.10120528, shape=(), dtype=float32)","tf.Tensor(0.0790321, shape=(), dtype=float32)","tf.Tensor(0.05162606, shape=(), dtype=float32)","tf.Tensor(0.03606728, shape=(), dtype=float32)","tf.Tensor(0.23667201, shape=(), dtype=float32)","tf.Tensor(0.030776167, shape=(), dtype=float32)","tf.Tensor(0.06046127, shape=(), dtype=float32)","tf.Tensor(0.0821318, shape=(), dtype=float32)","tf.Tensor(0.10834986, shape=(), dtype=float32)","tf.Tensor(0.097481586, shape=(), dtype=float32)","tf.Tensor(0.014010508, shape=(), dtype=float32)"
3,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.1972432, shape=(), dtype=float32)","tf.Tensor(0.09975746, shape=(), dtype=float32)","tf.Tensor(0.29554963, shape=(), dtype=float32)","tf.Tensor(0.10892236, shape=(), dtype=float32)","tf.Tensor(0.09676617, shape=(), dtype=float32)","tf.Tensor(0.059912007, shape=(), dtype=float32)","tf.Tensor(0.040408365, shape=(), dtype=float32)","tf.Tensor(0.25170416, shape=(), dtype=float32)","tf.Tensor(0.036166653, shape=(), dtype=float32)","tf.Tensor(0.06513995, shape=(), dtype=float32)","tf.Tensor(0.09448389, shape=(), dtype=float32)","tf.Tensor(0.108468845, shape=(), dtype=float32)","tf.Tensor(0.09886562, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
4,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.20430298, shape=(), dtype=float32)","tf.Tensor(0.110082924, shape=(), dtype=float32)","tf.Tensor(0.2957827, shape=(), dtype=float32)","tf.Tensor(0.11773603, shape=(), dtype=float32)","tf.Tensor(0.10855018, shape=(), dtype=float32)","tf.Tensor(0.06594086, shape=(), dtype=float32)","tf.Tensor(0.046340078, shape=(), dtype=float32)","tf.Tensor(0.26421568, shape=(), dtype=float32)","tf.Tensor(0.0435987, shape=(), dtype=float32)","tf.Tensor(0.07064839, shape=(), dtype=float32)","tf.Tensor(0.10131579, shape=(), dtype=float32)","tf.Tensor(0.10868736, shape=(), dtype=float32)","tf.Tensor(0.100683205, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
5,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.21110083, shape=(), dtype=float32)","tf.Tensor(0.12015556, shape=(), dtype=float32)","tf.Tensor(0.29620293, shape=(), dtype=float32)","tf.Tensor(0.12674157, shape=(), dtype=float32)","tf.Tensor(0.11748818, shape=(), dtype=float32)","tf.Tensor(0.07331829, shape=(), dtype=float32)","tf.Tensor(0.05034325, shape=(), dtype=float32)","tf.Tensor(0.27623227, shape=(), dtype=float32)","tf.Tensor(0.049303323, shape=(), dtype=float32)","tf.Tensor(0.07635948, shape=(), dtype=float32)","tf.Tensor(0.11147455, shape=(), dtype=float32)","tf.Tensor(0.10929102, shape=(), dtype=float32)","tf.Tensor(0.10352743, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
6,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.21685588, shape=(), dtype=float32)","tf.Tensor(0.12940395, shape=(), dtype=float32)","tf.Tensor(0.29705477, shape=(), dtype=float32)","tf.Tensor(0.1348504, shape=(), dtype=float32)","tf.Tensor(0.12371134, shape=(), dtype=float32)","tf.Tensor(0.07875342, shape=(), dtype=float32)","tf.Tensor(0.047881357, shape=(), dtype=float32)","tf.Tensor(0.28710148, shape=(), dtype=float32)","tf.Tensor(0.049763624, shape=(), dtype=float32)","tf.Tensor(0.08233545, shape=(), dtype=float32)","tf.Tensor(0.12200436, shape=(), dtype=float32)","tf.Tensor(0.109684944, shape=(), dtype=float32)","tf.Tensor(0.1072695, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
7,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.22287595, shape=(), dtype=float32)","tf.Tensor(0.13628319, shape=(), dtype=float32)","tf.Tensor(0.2981199, shape=(), dtype=float32)","tf.Tensor(0.14256182, shape=(), dtype=float32)","tf.Tensor(0.12633306, shape=(), dtype=float32)","tf.Tensor(0.08503442, shape=(), dtype=float32)","tf.Tensor(0.0485133, shape=(), dtype=float32)","tf.Tensor(0.29732463, shape=(), dtype=float32)","tf.Tensor(0.053944707, shape=(), dtype=float32)","tf.Tensor(0.088203266, shape=(), dtype=float32)","tf.Tensor(0.13452248, shape=(), dtype=float32)","tf.Tensor(0.110670894, shape=(), dtype=float32)","tf.Tensor(0.11024033, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
8,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.22855072, shape=(), dtype=float32)","tf.Tensor(0.1442924, shape=(), dtype=float32)","tf.Tensor(0.2994611, shape=(), dtype=float32)","tf.Tensor(0.15194935, shape=(), dtype=float32)","tf.Tensor(0.12943262, shape=(), dtype=float32)","tf.Tensor(0.090946786, shape=(), dtype=float32)","tf.Tensor(0.03238242, shape=(), dtype=float32)","tf.Tensor(0.3052405, shape=(), dtype=float32)","tf.Tensor(0.059160307, shape=(), dtype=float32)","tf.Tensor(0.09699382, shape=(), dtype=float32)","tf.Tensor(0.14457831, shape=(), dtype=float32)","tf.Tensor(0.11168666, shape=(), dtype=float32)","tf.Tensor(0.11431755, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
9,"tf.Tensor(0.6987001, shape=(), dtype=float32)","tf.Tensor(0.23314863, shape=(), dtype=float32)","tf.Tensor(0.15064253, shape=(), dtype=float32)","tf.Tensor(0.30090293, shape=(), dtype=float32)","tf.Tensor(0.1602518, shape=(), dtype=float32)","tf.Tensor(0.13469777, shape=(), dtype=float32)","tf.Tensor(0.09369541, shape=(), dtype=float32)","tf.Tensor(0.023904383, shape=(), dtype=float32)","tf.Tensor(0.31257498, shape=(), dtype=float32)","tf.Tensor(0.04882155, shape=(), dtype=float32)","tf.Tensor(0.09821428, shape=(), dtype=float32)","tf.Tensor(0.15481913, shape=(), dtype=float32)","tf.Tensor(0.114613995, shape=(), dtype=float32)","tf.Tensor(0.11848595, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
