label,thresholds,f1_most
No Finding,0.35678391959798994,0.7368384
Atelectasis,0.1457286432160804,0.30610034
Consolidation,0.12060301507537688,0.19499716
Infiltration,0.22110552763819097,0.37790528
Pneumothorax,0.1306532663316583,0.2586834
Edema,0.09045226130653267,0.17588933
Emphysema,0.08040201005025126,0.13661203
Fibrosis,0.04020100502512563,0.05570434
Effusion,0.20603015075376885,0.4417694
Pneumonia,0.035175879396984924,0.05806117
Pleural_Thickening,0.06532663316582915,0.14214547
Cardiomegaly,0.06030150753768844,0.14330497
Nodule,0.09547738693467336,0.14616498
Mass,0.09547738693467336,0.16373402
Hernia,0.010050251256281407,0.021276595
