,No Finding
0,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
1,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
2,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
3,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
4,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
5,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
6,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
7,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
8,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
9,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
10,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
11,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
12,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
13,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
14,"tf.Tensor(0.69510317, shape=(), dtype=float32)"
15,"tf.Tensor(0.6951436, shape=(), dtype=float32)"
16,"tf.Tensor(0.6952245, shape=(), dtype=float32)"
17,"tf.Tensor(0.69520676, shape=(), dtype=float32)"
18,"tf.Tensor(0.69525474, shape=(), dtype=float32)"
19,"tf.Tensor(0.6954217, shape=(), dtype=float32)"
20,"tf.Tensor(0.6957282, shape=(), dtype=float32)"
21,"tf.Tensor(0.69605786, shape=(), dtype=float32)"
22,"tf.Tensor(0.6964895, shape=(), dtype=float32)"
23,"tf.Tensor(0.6970494, shape=(), dtype=float32)"
24,"tf.Tensor(0.6974989, shape=(), dtype=float32)"
25,"tf.Tensor(0.6980629, shape=(), dtype=float32)"
26,"tf.Tensor(0.6983447, shape=(), dtype=float32)"
27,"tf.Tensor(0.6987647, shape=(), dtype=float32)"
28,"tf.Tensor(0.6996404, shape=(), dtype=float32)"
29,"tf.Tensor(0.70038724, shape=(), dtype=float32)"
30,"tf.Tensor(0.70119166, shape=(), dtype=float32)"
31,"tf.Tensor(0.7020246, shape=(), dtype=float32)"
32,"tf.Tensor(0.70338655, shape=(), dtype=float32)"
33,"tf.Tensor(0.70505065, shape=(), dtype=float32)"
34,"tf.Tensor(0.70582575, shape=(), dtype=float32)"
35,"tf.Tensor(0.7075027, shape=(), dtype=float32)"
36,"tf.Tensor(0.70905286, shape=(), dtype=float32)"
37,"tf.Tensor(0.71036816, shape=(), dtype=float32)"
38,"tf.Tensor(0.71108663, shape=(), dtype=float32)"
39,"tf.Tensor(0.71190095, shape=(), dtype=float32)"
40,"tf.Tensor(0.71297616, shape=(), dtype=float32)"
41,"tf.Tensor(0.7141522, shape=(), dtype=float32)"
42,"tf.Tensor(0.71463895, shape=(), dtype=float32)"
43,"tf.Tensor(0.71650344, shape=(), dtype=float32)"
44,"tf.Tensor(0.717551, shape=(), dtype=float32)"
45,"tf.Tensor(0.7187679, shape=(), dtype=float32)"
46,"tf.Tensor(0.7195344, shape=(), dtype=float32)"
47,"tf.Tensor(0.7204346, shape=(), dtype=float32)"
48,"tf.Tensor(0.720419, shape=(), dtype=float32)"
49,"tf.Tensor(0.72113353, shape=(), dtype=float32)"
50,"tf.Tensor(0.7223039, shape=(), dtype=float32)"
51,"tf.Tensor(0.7229272, shape=(), dtype=float32)"
52,"tf.Tensor(0.72415733, shape=(), dtype=float32)"
53,"tf.Tensor(0.7242837, shape=(), dtype=float32)"
54,"tf.Tensor(0.7251548, shape=(), dtype=float32)"
55,"tf.Tensor(0.72564465, shape=(), dtype=float32)"
56,"tf.Tensor(0.72623885, shape=(), dtype=float32)"
57,"tf.Tensor(0.7262269, shape=(), dtype=float32)"
58,"tf.Tensor(0.7266254, shape=(), dtype=float32)"
