epoch,accuracy,auc,f1_score,loss,val_accuracy,val_auc,val_f1_score,val_loss
0,8.919015090214089e-05,0.5905877351760864,"""[0.6990594]""",0.6859325766563416,0.0,0.6369893550872803,"""[0.70321536]""",0.6624231338500977
1,0.0,0.6594615578651428,"""[0.69908696]""",0.6527853012084961,0.0,0.69794762134552,"""[0.70321536]""",0.6339580416679382
2,0.0,0.7016925811767578,"""[0.69908696]""",0.6279287934303284,0.0,0.7148145437240601,"""[0.70321536]""",0.6177590489387512
3,0.0,0.7194207906723022,"""[0.69908696]""",0.6154953241348267,0.0,0.7329925894737244,"""[0.70321536]""",0.6063141226768494
4,0.0,0.7326091527938843,"""[0.69908696]""",0.6056039333343506,0.0,0.729820728302002,"""[0.70321536]""",0.6073688268661499
5,0.0,0.7412925362586975,"""[0.69908696]""",0.5988547205924988,0.0,0.7423986196517944,"""[0.70321536]""",0.5992224812507629
6,0.0,0.7498854398727417,"""[0.69908696]""",0.5915193557739258,0.0,0.7425010204315186,"""[0.70321536]""",0.5980750918388367
7,0.0,0.7572921514511108,"""[0.69908696]""",0.5848499536514282,0.0,0.7406598925590515,"""[0.70321536]""",0.6049187779426575
8,0.0,0.7635810375213623,"""[0.69908696]""",0.5791924595832825,0.0,0.7432528734207153,"""[0.70321536]""",0.5972327589988708
9,1.114876886276761e-05,0.7685564160346985,"""[0.69908696]""",0.5746062397956848,0.0,0.742472767829895,"""[0.70321536]""",0.6030998229980469
10,0.0,0.7750791311264038,"""[0.69908696]""",0.5685312151908875,0.0,0.7421291470527649,"""[0.70321536]""",0.6027036905288696
11,2.229753772553522e-05,0.780117928981781,"""[0.69908696]""",0.563221275806427,0.0,0.7399988174438477,"""[0.70321536]""",0.6051682829856873
12,2.229753772553522e-05,0.8014432787895203,"""[0.69908696]""",0.5407044887542725,0.0,0.7349765300750732,"""[0.70321536]""",0.6207659244537354
13,7.804138294886798e-05,0.8183485269546509,"""[0.69908696]""",0.5210518836975098,0.0,0.7291708588600159,"""[0.70321536]""",0.6407842040061951
14,4.459507545107044e-05,0.8333396315574646,"""[0.69908696]""",0.5023558735847473,0.0,0.7249182462692261,"""[0.70321536]""",0.6592357754707336
15,0.00033446308225393295,0.8542465567588806,"""[0.69908696]""",0.47377029061317444,4.459507545107044e-05,0.7075794339179993,"""[0.70321536]""",0.708132803440094
16,0.00045709952246397734,0.8664771914482117,"""[0.69909203]""",0.45533084869384766,0.00040135570452548563,0.7017564177513123,"""[0.70321536]""",0.7320333123207092
17,0.0008696040022186935,0.8774206638336182,"""[0.69908696]""",0.4381270408630371,0.00017838030180428177,0.6985496878623962,"""[0.70321536]""",0.7383207678794861
18,0.001415893668308854,0.8879311680793762,"""[0.69908696]""",0.4202338755130768,0.0008473064517602324,0.6913970112800598,"""[0.70321536]""",0.802661657333374
19,0.002419282915070653,0.8967149257659912,"""[0.69909716]""",0.4045259356498718,0.001783803105354309,0.6906307935714722,"""[0.7031982]""",0.8406760692596436
20,0.0034003746695816517,0.9029824137687683,"""[0.69909716]""",0.3927644193172455,0.002541919471696019,0.6871541142463684,"""[0.70321536]""",0.8627555966377258
21,0.004203085787594318,0.9049587249755859,"""[0.69910216]""",0.38899701833724976,0.0030324652325361967,0.6864562034606934,"""[0.7031607]""",0.8777627944946289
22,0.006064930465072393,0.9100502133369446,"""[0.6991428]""",0.3787900507450104,0.004058151971548796,0.6849321126937866,"""[0.7032014]""",0.8964622616767883
23,0.007001427002251148,0.9132118821144104,"""[0.6991326]""",0.37230634689331055,0.004058151971548796,0.6827293038368225,"""[0.703167]""",0.9113233089447021
24,0.006510881241410971,0.9129613637924194,"""[0.69918334]""",0.37323078513145447,0.003968962002545595,0.6833509802818298,"""[0.7031841]""",0.8959637880325317
25,0.00705717084929347,0.9145135879516602,"""[0.6991884]""",0.36971965432167053,0.005886550061404705,0.6847212314605713,"""[0.7032045]""",0.9103012084960938
26,0.007804138585925102,0.9182372689247131,"""[0.69918334]""",0.36201855540275574,0.005663574673235416,0.6820718050003052,"""[0.703167]""",0.9298585057258606
27,0.007804138585925102,0.9176915884017944,"""[0.6992391]""",0.36306431889533997,0.006243310868740082,0.6840834021568298,"""[0.703167]""",0.9177449941635132
28,0.008629146963357925,0.9203610420227051,"""[0.69927466]""",0.35717856884002686,0.005975740496069193,0.6838933825492859,"""[0.703167]""",0.9225507974624634
