epoch,accuracy,auc_4,f1_score,loss,val_accuracy,val_auc_4,val_f1_score,val_loss
0,0.00011148769408464432,0.5036266446113586,"""[0.699663]""",0.6976392865180969,0.0,0.4999232292175293,"""[0.70092404]""",0.6898534297943115
1,0.0,0.5019370913505554,"""[0.69966227]""",0.690305233001709,0.0,0.5,"""[0.70092404]""",0.6901170015335083
2,0.0,0.503341555595398,"""[0.69966227]""",0.6912907361984253,0.0,0.5013848543167114,"""[0.70092404]""",0.6898403763771057
3,0.0,0.5020716786384583,"""[0.69966227]""",0.6903156042098999,0.0,0.5,"""[0.70092404]""",0.6898351311683655
4,0.0,0.49979978799819946,"""[0.69966227]""",0.6902927756309509,0.0,0.5,"""[0.70092404]""",0.6900081038475037
5,0.0,0.4991459846496582,"""[0.69966227]""",0.6902893781661987,0.0,0.5,"""[0.70092404]""",0.6903594732284546
6,0.0,0.4997056722640991,"""[0.69966227]""",0.6902850866317749,0.0,0.5,"""[0.70092404]""",0.6903594732284546
7,0.0,0.5001091361045837,"""[0.69966227]""",0.6902540326118469,0.0,0.5,"""[0.70092404]""",0.6900081038475037
8,0.0,0.5001620054244995,"""[0.69966227]""",0.6902565360069275,0.0,0.5,"""[0.70092404]""",0.6900081038475037
9,0.0,0.5000509023666382,"""[0.69966227]""",0.6902561187744141,0.0,0.5,"""[0.70092404]""",0.6897078156471252
10,0.0,0.49979865550994873,"""[0.69966227]""",0.6902554631233215,0.0,0.5,"""[0.70092404]""",0.6900081038475037
11,0.0,0.49984121322631836,"""[0.69966227]""",0.6902540326118469,0.0,0.5,"""[0.70092404]""",0.6900293827056885
12,0.0,0.4999077022075653,"""[0.69966227]""",0.6902629733085632,0.0,0.5,"""[0.70092404]""",0.6897078156471252
13,0.0,0.4988611042499542,"""[0.69966227]""",0.690285861492157,0.0,0.5,"""[0.70092404]""",0.6900046467781067
14,0.0,0.4996013045310974,"""[0.69966227]""",0.690284252166748,0.0,0.5,"""[0.70092404]""",0.6900046467781067
15,0.0,0.49926912784576416,"""[0.69966227]""",0.6902687549591064,0.0,0.5,"""[0.70092404]""",0.6894451379776001
16,0.0,0.4991081655025482,"""[0.69966227]""",0.690265417098999,0.0,0.5,"""[0.70092404]""",0.6894451379776001
17,0.0,0.4990479052066803,"""[0.69966227]""",0.6902649998664856,0.0,0.5,"""[0.70092404]""",0.6894451379776001
18,0.0,0.4989573359489441,"""[0.69966227]""",0.6902724504470825,0.0,0.5,"""[0.70092404]""",0.6894451379776001
19,0.0,0.49884364008903503,"""[0.69966227]""",0.6902980208396912,0.0,0.5,"""[0.70092404]""",0.6898537874221802
20,0.0,0.4989338219165802,"""[0.69966227]""",0.6903024315834045,0.0,0.5,"""[0.70092404]""",0.6898537874221802
21,0.0,0.49928247928619385,"""[0.69966227]""",0.6903077363967896,0.0,0.5,"""[0.70092404]""",0.6898537874221802
22,0.0,0.4980336129665375,"""[0.69966227]""",0.6902849078178406,0.0,0.5,"""[0.70092404]""",0.6902727484703064
23,0.0,0.49797162413597107,"""[0.69966227]""",0.6903173923492432,0.0,0.5,"""[0.70092404]""",0.6898502707481384
24,0.0,0.4973098039627075,"""[0.69966227]""",0.6903210878372192,0.0,0.5,"""[0.70092404]""",0.6898502707481384
25,0.0,0.49981752038002014,"""[0.69966227]""",0.6903159618377686,0.0,0.5,"""[0.70092404]""",0.6901506185531616
26,0.0,0.49919113516807556,"""[0.69966227]""",0.6903191804885864,0.0,0.5,"""[0.70092404]""",0.6898502707481384
27,0.0,0.49905529618263245,"""[0.69966227]""",0.6903209090232849,0.0,0.5,"""[0.70092404]""",0.6901506185531616
28,0.0,0.5,"""[0.69966227]""",0.6902793645858765,0.0,0.5,"""[0.70092404]""",0.6901506185531616
29,0.0,0.5,"""[0.69966227]""",0.6902903914451599,0.0,0.5,"""[0.70092404]""",0.6901506185531616
30,0.0,0.5,"""[0.69966227]""",0.6902906894683838,0.0,0.5,"""[0.70092404]""",0.6901506185531616
31,0.0,0.5,"""[0.69966227]""",0.6903699636459351,0.0,0.5,"""[0.70092404]""",0.6901506185531616
32,0.0,0.5,"""[0.69966227]""",0.6903705596923828,0.0,0.5,"""[0.70092404]""",0.6901506185531616
33,0.0,0.5,"""[0.69966227]""",0.6903697848320007,0.0,0.5,"""[0.70092404]""",0.6901506185531616
34,0.0,0.5,"""[0.69966227]""",0.6903753280639648,0.0,0.5,"""[0.70092404]""",0.6901506185531616
35,0.0,0.5,"""[0.69966227]""",0.6903753280639648,0.0,0.5,"""[0.70092404]""",0.6901506185531616
