epoch,f1_score,loss,precision,recall,val_f1_score,val_loss,val_precision,val_recall
0,"""[0.23783118, 0.22789785, 0.27210885, 0.22296843]""",1.606289029121399,0.23999999463558197,0.02812499925494194,"""[0.0, 0.41584155, 0.0, 0.0]""",1.3928320407867432,0.0,0.0
1,"""[0.2460606, 0.26713532, 0.23569952, 0.2518797]""",1.4265819787979126,0.2896551787853241,0.013124999590218067,"""[0.0, 0.0, 0.40478566, 0.0]""",1.3899608850479126,0.0,0.0
2,"""[0.26035503, 0.22526637, 0.30676857, 0.29077116]""",1.3919775485992432,0.3382352888584137,0.0071875001303851604,"""[0.0, 0.0, 0.40478566, 0.0]""",1.38671875,0.0,0.0
3,"""[0.19909501, 0.29036143, 0.2940863, 0.2743078]""",1.393984317779541,0.2545454502105713,0.0043750000186264515,"""[0.009900991, 0.32848233, 0.24509804, 0.34509802]""",1.3986718654632568,0.3333333432674408,0.0037499999161809683
4,"""[0.2658643, 0.20245399, 0.29600888, 0.23726541]""",1.4062108993530273,0.25925925374031067,0.006562499795109034,"""[0.30641824, 0.009345795, 0.3312102, 0.14545454]""",1.4389257431030273,0.30000001192092896,0.01875000074505806
5,"""[0.28272253, 0.25253808, 0.23367198, 0.25225225]""",1.3913867473602295,0.23529411852359772,0.0012499999720603228,"""[0.1627907, 0.4226254, 0.0093896715, 0.0]""",1.3852930068969727,0.3333333432674408,0.0012499999720603228
6,"""[0.18421051, 0.27670753, 0.31723484, 0.2283237]""",1.392114281654358,0.29032257199287415,0.002812500111758709,"""[0.020202022, 0.28211588, 0.3482143, 0.22099449]""",1.4337304830551147,0.20000000298023224,0.0037499999161809683
7,"""[0.10052356, 0.19939117, 0.32082653, 0.35131633]""",1.389868140220642,0.3636363744735718,0.0024999999441206455,"""[0.020202022, 0.06425703, 0.39568344, 0.19814241]""",1.3864648342132568,0.5,0.0037499999161809683
8,"""[0.25354013, 0.20634922, 0.33888346, 0.31032375]""",1.3744336366653442,0.30000001192092896,0.0009374999790452421,"""[0.11864407, 0.009345795, 0.21546961, 0.3929024]""",1.4006445407867432,0.2857142984867096,0.007499999832361937
9,"""[0.12387612, 0.4028436, 0.23728813, 0.42570284]""",1.3501367568969727,0.5161290168762207,0.004999999888241291,"""[0.03, 0.026666665, 0.37958536, 0.4160584]""",1.3530077934265137,0.4444444477558136,0.004999999888241291
10,"""[0.14671814, 0.42206746, 0.29866666, 0.43343344]""",1.336972713470459,0.41791045665740967,0.008750000037252903,"""[0.1025641, 0.41810346, 0.40150094, 0.3523035]""",1.343808650970459,0.39393940567970276,0.016249999403953552
11,"""[0.18328841, 0.46015933, 0.3342071, 0.40888387]""",1.322597622871399,0.47058823704719543,0.019999999552965164,"""[0.11290323, 0.48717952, 0.38970587, 0.32258064]""",1.3113086223602295,0.6000000238418579,0.02250000089406967
12,"""[0.17032966, 0.47880298, 0.34827814, 0.4219457]""",1.3052148818969727,0.5190839767456055,0.042500000447034836,"""[0.09649123, 0.48031497, 0.4065934, 0.3333333]""",1.3406835794448853,0.5087719559669495,0.07249999791383743
13,"""[0.18538326, 0.5104686, 0.33666, 0.4322799]""",1.2863671779632568,0.5364077687263489,0.0690625011920929,"""[0.16216217, 0.4734694, 0.40888888, 0.39900246]""",1.3396289348602295,0.49358972907066345,0.09624999761581421
14,"""[0.2458629, 0.55187404, 0.36133924, 0.434172]""",1.2392382621765137,0.5888324975967407,0.10875000059604645,"""[0.136, 0.4229075, 0.396728, 0.37346438]""",1.4929882287979126,0.4112149477005005,0.16500000655651093
15,"""[0.3485415, 0.67052025, 0.45577395, 0.5099648]""",1.073667049407959,0.6359890103340149,0.2893750071525574,"""[0.25082508, 0.4134367, 0.4339964, 0.3697479]""",1.5102343559265137,0.4390243887901306,0.20250000059604645
16,"""[0.4059702, 0.7423887, 0.5382775, 0.5687091]""",0.9498022198677063,0.6851106882095337,0.4256249964237213,"""[0.29971182, 0.3846154, 0.3944773, 0.34554973]""",1.8186523914337158,0.3612479567527771,0.2750000059604645
17,"""[0.50034946, 0.78743964, 0.61002946, 0.64567906]""",0.8295178413391113,0.7373431324958801,0.5325000286102295,"""[0.2654321, 0.40686277, 0.41237113, 0.25174826]""",1.951171875,0.36160001158714294,0.2824999988079071
18,"""[0.63238364, 0.8517619, 0.7203791, 0.7596804]""",0.6228222846984863,0.821819543838501,0.6803125143051147,"""[0.3019802, 0.37468356, 0.42330098, 0.23776221]""",2.2602930068969727,0.34621328115463257,0.2800000011920929
19,"""[0.7053271, 0.87315273, 0.7840096, 0.8177887]""",0.49373167753219604,0.8571938872337341,0.7503125071525574,"""[0.314433, 0.3857868, 0.4090909, 0.25517243]""",2.4346680641174316,0.3609898090362549,0.3100000023841858
