epoch,f1_score,loss,precision_4,recall_4,val_f1_score,val_loss,val_precision_4,val_recall_4
0,"""[0.23042648, 0.20152883, 0.23682408, 0.2928091]""",1.5180712938308716,0.23423422873020172,0.02437499910593033,"""[0.38872102, 0.0, 0.0, 0.0]""",1.392578125,0.0,0.0
1,"""[0.17865612, 0.2521525, 0.23118278, 0.30965212]""",1.420566439628601,0.3100775182247162,0.012500000186264515,"""[0.0, 0.0, 0.0, 0.38546923]""",1.3859374523162842,0.0,0.0
2,"""[0.27272725, 0.33288592, 0.14246574, 0.20963171]""",1.403964877128601,0.2857142984867096,0.0043750000186264515,"""[0.38872102, 0.0, 0.0, 0.0]""",1.3911913633346558,0.0,0.0
3,"""[0.2651558, 0.24605678, 0.15143603, 0.2863092]""",1.4214550256729126,0.3255814015865326,0.008750000037252903,"""[0.0, 0.020202022, 0.008888889, 0.3886063]""",5.217226505279541,0.25996533036231995,0.1875
4,"""[0.19261637, 0.3375421, 0.24302542, 0.15986678]""",1.396420955657959,0.32258063554763794,0.0031250000465661287,"""[0.10958905, 0.31521738, 0.12666667, 0.34862387]""",1.381191372871399,1.0,0.0012499999720603228
5,"""[0.14259927, 0.3615739, 0.17214397, 0.16887417]""",1.394262671470642,0.34210526943206787,0.004062499850988388,"""[0.026548672, 0.30666667, 0.17831326, 0.26158038]""",1.5176562070846558,0.18840579688549042,0.016249999403953552
6,"""[0.18708609, 0.3815261, 0.060133625, 0.20180723]""",1.392358422279358,0.3199999928474426,0.004999999888241291,"""[0.039215684, 0.32825717, 0.0, 0.3196046]""",1.411074161529541,0.34375,0.013749999925494194
7,"""[0.19896063, 0.36474383, 0.16123189, 0.16917923]""",1.3940527439117432,0.32499998807907104,0.004062499850988388,"""[0.13274336, 0.37913486, 0.008849558, 0.25414366]""",1.3903906345367432,0.2857142984867096,0.007499999832361937
8,"""[0.17213117, 0.39501438, 0.002528445, 0.21356197]""",1.3822216987609863,0.3333333432674408,0.0003124999930150807,"""[0.05633803, 0.38445377, 0.0, 0.04716981]""",1.3845117092132568,1.0,0.0012499999720603228
9,"""[0.1414914, 0.39802152, 0.010088273, 0.16416593]""",1.3818066120147705,0.4166666567325592,0.0015625000232830644,"""[0.13168724, 0.3949772, 0.0, 0.17760617]""",1.3804882764816284,0.0,0.0
10,"""[0.22347267, 0.4035572, 0.0075949365, 0.16921692]""",1.3785693645477295,0.5384615659713745,0.0021875000093132257,"""[0.048543688, 0.3921162, 0.0, 0.048309177]""",1.386386752128601,0.0,0.0
11,"""[0.19645731, 0.38808036, 0.13793103, 0.19611022]""",1.3753857612609863,0.5714285969734192,0.0012499999720603228,"""[0.20625001, 0.38389263, 0.041493773, 0.24749166]""",1.4279102087020874,0.5714285969734192,0.014999999664723873
12,"""[0.25577813, 0.4008674, 0.0099502485, 0.14113277]""",1.3796337842941284,0.29411765933036804,0.0015625000232830644,"""[0.30769232, 0.3786531, 0.0, 0.0657277]""",1.3780077695846558,0.5,0.007499999832361937
13,"""[0.26686883, 0.36987326, 0.2501747, 0.098000005]""",1.3754785060882568,0.3571428656578064,0.0015625000232830644,"""[0.30945557, 0.38566133, 0.0, 0.11009174]""",1.3733007907867432,0.5,0.0024999999441206455
14,"""[0.18508998, 0.3741786, 0.21757321, 0.2080262]""",1.3715624809265137,0.2222222238779068,0.0012499999720603228,"""[0.24581006, 0.34974536, 0.0, 0.28637415]""",1.4412304162979126,0.32894736528396606,0.03125
15,"""[0.18343723, 0.41566986, 0.012642224, 0.19130434]""",1.366025447845459,0.4117647111415863,0.0043750000186264515,"""[0.057142854, 0.39487728, 0.0, 0.08658009]""",1.3896484375,0.4000000059604645,0.0024999999441206455
16,"""[0.24447949, 0.41070276, 0.06859593, 0.16770741]""",1.3608300685882568,0.44999998807907104,0.011250000447034836,"""[0.24691358, 0.40240964, 0.008928572, 0.072072074]""",1.3813085556030273,0.5,0.0024999999441206455
17,"""[0.28698224, 0.42222223, 0.010152284, 0.16585366]""",1.3562304973602295,0.4693877696990967,0.0071875001303851604,"""[0.11715481, 0.39653304, 0.0, 0.009302326]""",1.3804491758346558,0.5,0.0012499999720603228
18,"""[0.29250187, 0.42663303, 0.0074999994, 0.20460829]""",1.3433398008346558,0.5267857313156128,0.018437499180436134,"""[0.2197802, 0.40231213, 0.008810573, 0.15319149]""",1.375820279121399,0.1666666716337204,0.0012499999720603228
19,"""[0.24632952, 0.43237907, 0.035842292, 0.3085188]""",1.3354541063308716,0.5092024803161621,0.025937499478459358,"""[0.19157088, 0.4038461, 0.041841, 0.2007435]""",1.3705859184265137,0.5,0.007499999832361937
20,"""[0.2533438, 0.43955252, 0.08368201, 0.3279152]""",1.3162548542022705,0.5273631811141968,0.03312499821186066,"""[0.22360249, 0.43120566, 0.008695653, 0.31791908]""",1.3640234470367432,0.380952388048172,0.009999999776482582
21,"""[0.24216765, 0.44348657, 0.32241812, 0.39742768]""",1.3016895055770874,0.511945366859436,0.046875,"""[0.07239819, 0.34986946, 0.17704919, 0.37229434]""",1.3623046875,0.3076923191547394,0.004999999888241291
22,"""[0.2629816, 0.50973123, 0.3106529, 0.4427767]""",1.258115291595459,0.553903341293335,0.09312500059604645,"""[0.15079366, 0.3944316, 0.38934427, 0.4055944]""",1.3805859088897705,0.4587155878543854,0.0625
23,"""[0.24845818, 0.5250129, 0.38060606, 0.4895771]""",1.2080492973327637,0.5929304361343384,0.16249999403953552,"""[0.2137931, 0.43064183, 0.29974163, 0.37641722]""",1.4010547399520874,0.3448275923728943,0.03750000149011612
24,"""[0.2964783, 0.59076923, 0.39285713, 0.5194961]""",1.150292992591858,0.642276406288147,0.19750000536441803,"""[0.26822156, 0.43764704, 0.39840636, 0.3123123]""",1.4157421588897705,0.43043479323387146,0.1237500011920929
25,"""[0.38161993, 0.6879823, 0.49436796, 0.5657511]""",0.9936694502830505,0.6796352863311768,0.34937500953674316,"""[0.27605635, 0.4058577, 0.26210827, 0.3798077]""",1.5812207460403442,0.37804877758026123,0.19374999403953552
26,"""[0.43931496, 0.7563422, 0.59041923, 0.6272889]""",0.87109375,0.7193472981452942,0.48218750953674316,"""[0.2770781, 0.37563452, 0.3429844, 0.40331492]""",1.6137890815734863,0.4000000059604645,0.21250000596046448
27,"""[0.52913594, 0.8355501, 0.6786824, 0.66747725]""",0.7369164824485779,0.7655993700027466,0.582812488079071,"""[0.29756096, 0.38164252, 0.37662336, 0.29746836]""",1.75439453125,0.3704414665699005,0.24124999344348907
28,"""[0.63860106, 0.87014556, 0.7501573, 0.7344423]""",0.6029077172279358,0.8064159154891968,0.6834375262260437,"""[0.30414748, 0.40694788, 0.3837472, 0.34375]""",1.9377539157867432,0.371048241853714,0.2787500023841858
29,"""[0.70426065, 0.90666664, 0.80335265, 0.7693266]""",0.5059924125671387,0.8345373272895813,0.7581250071525574,"""[0.2979684, 0.3932039, 0.35545024, 0.33846152]""",2.091132879257202,0.37699681520462036,0.29499998688697815
30,"""[0.7618462, 0.91620797, 0.8394114, 0.8073511]""",0.4467089772224426,0.8657627105712891,0.7981250286102295,"""[0.30172414, 0.3944316, 0.31034485, 0.3076923]""",2.220273494720459,0.3549848794937134,0.29374998807907104
31,"""[0.7858017, 0.9325153, 0.8567775, 0.82697207]""",0.3816007971763611,0.8782435059547424,0.824999988079071,"""[0.34105265, 0.36416188, 0.3364486, 0.35327634]""",2.3827929496765137,0.34954407811164856,0.2874999940395355
32,"""[0.811077, 0.94009787, 0.8664537, 0.85206354]""",0.34604552388191223,0.8940943479537964,0.846875011920929,"""[0.3153527, 0.3554217, 0.34389138, 0.33139536]""",2.4813671112060547,0.3425253927707672,0.29499998688697815
33,"""[0.84, 0.9378462, 0.89204913, 0.8587714]""",0.3287719786167145,0.9045588970184326,0.8618749976158142,"""[0.34016392, 0.37423313, 0.3356009, 0.36416188]""",2.5094921588897705,0.3519313335418701,0.3075000047683716
34,"""[0.8497597, 0.94736844, 0.887468, 0.872914]""",0.30114227533340454,0.9120340347290039,0.8715624809265137,"""[0.32443532, 0.35076922, 0.35010943, 0.3253012]""",2.6020312309265137,0.33660587668418884,0.30000001192092896
35,"""[0.86998785, 0.9485431, 0.9083921, 0.89943075]""",0.25993698835372925,0.9275268316268921,0.8918750286102295,"""[0.32712215, 0.35403726, 0.3544858, 0.31858408]""",2.715214729309082,0.3448753356933594,0.3112500011920929
36,"""[0.86453205, 0.9501538, 0.90897435, 0.8962916]""",0.269542932510376,0.9201154708862305,0.8962500095367432,"""[0.34024897, 0.35692307, 0.35652173, 0.3363363]""",2.7480859756469727,0.34752747416496277,0.3162499964237213
37,"""[0.88753057, 0.95167285, 0.91234803, 0.90989286]""",0.25494566559791565,0.9315245747566223,0.9012500047683716,"""[0.31712472, 0.37014925, 0.35021096, 0.3134796]""",2.702285051345825,0.34854772686958313,0.3149999976158142
38,"""[0.87813836, 0.9642857, 0.918746, 0.9082859]""",0.23144932091236115,0.9353169202804565,0.9037500023841858,"""[0.32842106, 0.37317783, 0.34632036, 0.3125]""",2.7674803733825684,0.3429751992225647,0.3112500011920929
39,"""[0.89945817, 0.9514444, 0.91828793, 0.91788673]""",0.24285155534744263,0.9395409226417542,0.9081249833106995,"""[0.32, 0.36201784, 0.34468088, 0.2955975]""",2.7764649391174316,0.33564493060112,0.30250000953674316
40,"""[0.8886123, 0.9573284, 0.92522174, 0.91989994]""",0.22760066390037537,0.938347339630127,0.9084374904632568,"""[0.33402923, 0.3493976, 0.3524416, 0.3081761]""",2.80029296875,0.3384401202201843,0.30375000834465027
41,"""[0.89294404, 0.95527947, 0.9168798, 0.90771174]""",0.23587669432163239,0.9349017143249512,0.9065625071525574,"""[0.32285115, 0.36094677, 0.34672305, 0.30128205]""",2.8237109184265137,0.3360995948314667,0.30375000834465027
