label,thresholds,f1_most
No Finding,0.08542713567839195,0.72972876
Atelectasis,0.23115577889447236,0.32100025
Consolidation,0.12060301507537688,0.20004588
Infiltration,0.35678391959798994,0.3447727
Pneumothorax,0.22110552763819097,0.2805851
Edema,0.1457286432160804,0.20034945
Emphysema,0.1708542713567839,0.13678373
Fibrosis,0.08542713567839195,0.07763975
Effusion,0.271356783919598,0.43890765
Pneumonia,0.04522613065326633,0.06167401
Pleural_Thickening,0.1306532663316583,0.1637044
Cardiomegaly,0.2964824120603015,0.26753977
Nodule,0.11557788944723618,0.12905757
Mass,0.1507537688442211,0.2004008
Hernia,0.01507537688442211,0.017953321
