label,thresholds,f1_most
No Finding,0.07035175879396985,0.73425627
Atelectasis,0.21608040201005024,0.31582117
Consolidation,0.10050251256281408,0.1927129
Infiltration,0.2663316582914573,0.36183065
Pneumothorax,0.22613065326633167,0.2882883
Edema,0.12562814070351758,0.21122113
Emphysema,0.1658291457286432,0.17733231
Fibrosis,0.06030150753768844,0.071694285
Effusion,0.22110552763819097,0.44005084
Pneumonia,0.05025125628140704,0.06428572
Pleural_Thickening,0.12060301507537688,0.16666667
Cardiomegaly,0.33668341708542715,0.29508197
Nodule,0.11055276381909548,0.1305842
Mass,0.1306532663316583,0.21385176
Hernia,0.010050251256281407,0.018930959
