label,thresholds,f1_most
No Finding,0.09045226130653267,0.73404866
Atelectasis,0.24120603015075376,0.3261397
Consolidation,0.12060301507537688,0.20009597
Infiltration,0.33668341708542715,0.34662247
Pneumothorax,0.22110552763819097,0.26125512
Edema,0.1457286432160804,0.20911855
Emphysema,0.11557788944723618,0.1308615
Fibrosis,0.07537688442211055,0.06384976
Effusion,0.23618090452261306,0.4747183
Pneumonia,0.035175879396984924,0.06418219
Pleural_Thickening,0.10552763819095477,0.17306946
Cardiomegaly,0.36180904522613067,0.34053588
Nodule,0.11055276381909548,0.118560486
Mass,0.16080402010050251,0.22304833
Hernia,0.020100502512562814,0.028169014
