label,thresholds,f1_most
No Finding,0.2964824120603015,0.71361893
Atelectasis,0.36180904522613067,0.26447082
Consolidation,0.32160804020100503,0.1640336
Infiltration,0.4321608040201005,0.33077565
Pneumothorax,0.32663316582914576,0.13598609
Edema,0.3015075376884422,0.14893617
Emphysema,0.24623115577889448,0.05826844
Fibrosis,0.2562814070351759,0.049046323
Effusion,0.4020100502512563,0.34395894
Pneumonia,0.19597989949748743,0.041764624
Pleural_Thickening,0.2864321608040201,0.09247028
Cardiomegaly,0.2613065326633166,0.08413649
Nodule,0.32160804020100503,0.113674596
Mass,0.32160804020100503,0.113399304
Hernia,0.135678391959799,0.011176653
