epoch,auc,f1_score,loss,precision,recall,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.501783013343811,"""[0.015240031, 0.034723572, 0.0026041667, 0.48323447, 0.0023228803, 0.0, 0.0, 0.0014609204, 0.05416116, 0.0, 0.0, 0.0, 0.0058027077, 0.0, 0.0]""",0.2913546860218048,0.1860119104385376,0.0034360955469310284,0.5137650370597839,"""[0.0, 0.0, 0.0, 0.29960188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2583998143672943,0.0,0.0
1,0.5413428544998169,"""[0.06339469, 0.004865151, 0.0, 0.48909953, 0.0, 0.0, 0.0, 0.0, 0.01252155, 0.0, 0.0007334067, 0.0, 0.00039572618, 0.0, 0.0]""",0.2849147617816925,0.3103448152542114,0.0004947977722622454,0.6102489233016968,"""[0.08013693, 0.0, 0.0, 0.2943916, 0.0, 0.0, 0.0, 0.0, 0.09659714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.24700376391410828,0.5,3.553786518750712e-05
2,0.5823971033096313,"""[0.17921516, 0.04191033, 0.0, 0.48536903, 0.0, 0.0, 0.0, 0.0, 0.07069536, 0.0, 0.00073394494, 0.0, 0.0, 0.0, 0.0]""",0.28060364723205566,0.48906561732292175,0.003381117945536971,0.5883343815803528,"""[0.1314011, 0.015391194, 0.0, 0.28616592, 0.0, 0.0, 0.0, 0.0, 0.24378182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2600540220737457,0.0,0.0
3,0.5985339879989624,"""[0.20327489, 0.082641646, 0.0, 0.4777509, 0.0, 0.0, 0.0, 0.0, 0.18085106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2783451974391937,0.47381243109703064,0.0053465645760297775,0.6486014723777771,"""[0.37229863, 0.10076252, 0.0, 0.30714518, 0.0, 0.0, 0.0, 0.0, 0.26138997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.24285995960235596,0.37735849618911743,0.0028430293314158916
4,0.6232554316520691,"""[0.22334702, 0.18816099, 0.0, 0.46576688, 0.0, 0.0, 0.0, 0.0, 0.29357165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.27521657943725586,0.49640288949012756,0.011380348354578018,0.6518382430076599,"""[0.35427642, 0.15696202, 0.0, 0.2996795, 0.0, 0.0, 0.0, 0.0, 0.32401124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.24341155588626862,0.38785505294799805,0.028145989403128624
5,0.6402402520179749,"""[0.27181447, 0.2280764, 0.0, 0.45382845, 0.0, 0.0, 0.0, 0.0, 0.38930678, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.27169597148895264,0.5227799415588379,0.02791484072804451,0.6623270511627197,"""[0.22027111, 0.15278646, 0.0, 0.27847838, 0.0, 0.0, 0.0, 0.0, 0.38508594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.24340616166591644,0.41241195797920227,0.033298980444669724
6,0.6510137915611267,"""[0.28539544, 0.24587873, 0.0, 0.44909465, 0.0, 0.0, 0.0, 0.0, 0.4221742, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2701091766357422,0.5343482494354248,0.03859422355890274,0.6648319363594055,"""[0.16398242, 0.151656, 0.0, 0.27670857, 0.0, 0.0, 0.0, 0.0, 0.3749808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.24101026356220245,0.40103188157081604,0.03038487583398819
7,0.6583367586135864,"""[0.29049495, 0.26620653, 0.0, 0.451936, 0.0041909195, 0.0, 0.0, 0.0, 0.42374787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.26878753304481506,0.535269021987915,0.043074894696474075,0.6607978343963623,"""[0.24275537, 0.11439002, 0.0, 0.2799662, 0.0, 0.0, 0.0, 0.0, 0.37174627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2461436539888382,0.370972603559494,0.04378265142440796
8,0.6670696139335632,"""[0.2950014, 0.2772092, 0.0, 0.45466864, 0.018678814, 0.0, 0.0, 0.0, 0.43770126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.26730620861053467,0.5516207218170166,0.05309454724192619,0.6895465850830078,"""[0.3747525, 0.1493752, 0.0, 0.26664114, 0.08372828, 0.0, 0.0, 0.0, 0.41059938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.23966923356056213,0.4047549068927765,0.049006715416908264
9,0.6743629574775696,"""[0.296125, 0.27106878, 0.0, 0.45442957, 0.10679048, 0.0, 0.0, 0.0, 0.43824193, 0.0, 0.0, 0.0, 0.00039627502, 0.0012897678, 0.0]""",0.2662847340106964,0.5541113018989563,0.053905464708805084,0.6856063008308411,"""[0.41803864, 0.19585143, 0.0, 0.28903866, 0.12903227, 0.0, 0.0, 0.0, 0.38016266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2361752688884735,0.420634925365448,0.043320659548044205
10,0.6764746904373169,"""[0.29947507, 0.28405952, 0.0, 0.4520709, 0.14443652, 0.0, 0.0, 0.0, 0.43662825, 0.0, 0.0, 0.0, 0.0, 0.00042964556, 0.0]""",0.26563507318496704,0.5568028092384338,0.05658562108874321,0.6897194981575012,"""[0.38203907, 0.1977333, 0.0, 0.28245956, 0.16856493, 0.0, 0.0, 0.0, 0.39423078, 0.0, 0.0, 0.0, 0.0, 0.0017316017, 0.0]""",0.237024188041687,0.41362228989601135,0.04747859016060829
11,0.6848728060722351,"""[0.30426896, 0.2900046, 0.0, 0.4505515, 0.17622045, 0.0, 0.0, 0.0, 0.4445675, 0.0, 0.0, 0.0, 0.0, 0.0012886599, 0.0]""",0.26425907015800476,0.5584734678268433,0.05933449789881706,0.6873990893363953,"""[0.34421328, 0.18560606, 0.0, 0.28156072, 0.19322205, 0.0, 0.0, 0.0, 0.40006015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2384728640317917,0.40025871992111206,0.05497707799077034
12,0.6881279349327087,"""[0.304047, 0.29942518, 0.0, 0.4491346, 0.19221371, 0.0, 0.0, 0.0, 0.4541656, 0.0, 0.0, 0.0, 0.0, 0.0034290613, 0.0]""",0.2634238004684448,0.5615476369857788,0.06483224779367447,0.6989930868148804,"""[0.36061877, 0.17513512, 0.0, 0.2863524, 0.2065934, 0.0, 0.0, 0.0, 0.39919153, 0.0, 0.0, 0.0, 0.0, 0.0017421602, 0.0]""",0.23570062220096588,0.4328582286834717,0.041010696440935135
13,0.691604495048523,"""[0.2990562, 0.2942601, 0.0, 0.44884408, 0.19179872, 0.0, 0.0, 0.0, 0.45632178, 0.0, 0.0, 0.042087544, 0.000792393, 0.004670913, 0.0]""",0.26310715079307556,0.5594843626022339,0.06502467393875122,0.7084506750106812,"""[0.3621142, 0.18798955, 0.0, 0.28091133, 0.1922511, 0.0, 0.0, 0.0, 0.428801, 0.0, 0.0, 0.051696282, 0.0, 0.015, 0.0]""",0.2324906885623932,0.4194679856300354,0.05099683627486229
14,0.7024666666984558,"""[0.3246631, 0.31526968, 0.0, 0.4488535, 0.22497325, 0.0, 0.0, 0.0, 0.46475115, 0.0, 0.0, 0.19934212, 0.0, 0.005959983, 0.0]""",0.2605242133140564,0.5744383335113525,0.07907143235206604,0.7074601650238037,"""[0.3326034, 0.20828618, 0.0, 0.27601522, 0.20343347, 0.0, 0.0, 0.0, 0.4309126, 0.0, 0.0, 0.15119363, 0.0, 0.0, 0.0]""",0.23482085764408112,0.43894389271736145,0.05199189856648445
15,0.706030547618866,"""[0.32382253, 0.30959472, 0.0, 0.4476564, 0.2258015, 0.0, 0.0, 0.0, 0.46927315, 0.0, 0.0, 0.2548239, 0.0, 0.006766758, 0.0]""",0.25962576270103455,0.5750951766967773,0.08099564164876938,0.7087368369102478,"""[0.36965173, 0.17179555, 0.0, 0.2902725, 0.20076239, 0.0, 0.0, 0.0, 0.4149626, 0.0, 0.0, 0.13920455, 0.0, 0.005176877, 0.0]""",0.2339848428964615,0.4101582467556,0.057109348475933075
