epoch,auc_4,f1_score,loss,precision_4,recall_4,val_auc_4,val_f1_score,val_loss,val_precision_4,val_recall_4
0,0.5587331056594849,"""[0.13333333, 0.04985507, 0.0005336179, 0.47520036, 0.0018561485, 0.0021321962, 0.0019851117, 0.0, 0.12561813, 0.0, 0.0014630579, 0.000888494, 0.0049827523, 0.0012995452, 0.0]""",0.2859853506088257,0.2705953121185303,0.006202362477779388,0.6268937587738037,"""[0.012131148, 0.0, 0.0, 0.30239454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.24428264796733856,0.36986300349235535,0.005729848053306341
1,0.6120404601097107,"""[0.22873572, 0.18538433, 0.0, 0.46431133, 0.0, 0.0, 0.0, 0.0, 0.28158277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.275985985994339,0.48998749256134033,0.010792111046612263,0.669079065322876,"""[0.49607468, 0.21477117, 0.0, 0.32539636, 0.0, 0.0, 0.0, 0.0, 0.21444955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.23196974396705627,0.3679880201816559,0.017401762306690216
2,0.6366353631019592,"""[0.24763216, 0.23038207, 0.0, 0.4500402, 0.0, 0.0, 0.0, 0.0, 0.38085315, 0.0, 0.0, 0.0, 0.0, 0.00043487718, 0.0]""",0.272758811712265,0.529037594795227,0.026366932317614555,0.6872015595436096,"""[0.35906732, 0.19024605, 0.0, 0.31747368, 0.0, 0.0, 0.0, 0.0, 0.2717308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.23200497031211853,0.39538806676864624,0.024864712730050087
3,0.6617844700813293,"""[0.28065038, 0.2737975, 0.0, 0.44296047, 0.027385158, 0.0, 0.0, 0.0, 0.42876837, 0.0, 0.0, 0.021682566, 0.00078140263, 0.0, 0.0]""",0.2682909071445465,0.5457656383514404,0.04396785795688629,0.6813462376594543,"""[0.21571127, 0.20674603, 0.0, 0.30197516, 0.09856263, 0.0, 0.0, 0.0, 0.25025383, 0.0, 0.0, 0.14559387, 0.0, 0.0049792533, 0.0]""",0.23706167936325073,0.3689839541912079,0.03660736232995987
4,0.6734089255332947,"""[0.2856728, 0.28621057, 0.0, 0.44123012, 0.07034968, 0.0, 0.0, 0.0, 0.4400705, 0.0, 0.0, 0.13501485, 0.00078308536, 0.0004339336, 0.0]""",0.26622509956359863,0.5590437650680542,0.05350571125745773,0.7045605778694153,"""[0.57009536, 0.20388122, 0.0, 0.33720228, 0.06196747, 0.0, 0.0, 0.0, 0.29020005, 0.0, 0.0, 0.19112629, 0.0, 0.0, 0.0]""",0.22544710338115692,0.3856191039085388,0.04912814497947693
5,0.6850175261497498,"""[0.3025424, 0.2818819, 0.0, 0.43931562, 0.10627112, 0.0, 0.0, 0.0, 0.4486733, 0.0, 0.0, 0.21506083, 0.0, 0.0008682439, 0.0]""",0.26428645849227905,0.5616623759269714,0.05718578025698662,0.7182407975196838,"""[0.48027948, 0.22921711, 0.0, 0.33007655, 0.11267606, 0.0, 0.0, 0.0, 0.27459124, 0.0, 0.0, 0.2479339, 0.0, 0.00821018, 0.0]""",0.22626157104969025,0.3921678364276886,0.04958794638514519
6,0.679068386554718,"""[0.2862607, 0.28095847, 0.0, 0.44331825, 0.11250954, 0.0, 0.0, 0.0, 0.43829593, 0.0, 0.0, 0.2019588, 0.0, 0.0017346053, 0.0]""",0.2654480040073395,0.5622867941856384,0.05679985508322716,0.7108363509178162,"""[0.5210654, 0.21875633, 0.0, 0.3332883, 0.13718411, 0.0, 0.0, 0.0, 0.31515712, 0.0, 0.0, 0.21037464, 0.0, 0.0, 0.0]""",0.2273278832435608,0.38526254892349243,0.046970609575510025
7,0.6888815760612488,"""[0.30401477, 0.2948869, 0.0, 0.4400158, 0.13308957, 0.0, 0.0, 0.0, 0.45203266, 0.0, 0.0, 0.23421137, 0.0, 0.00043383948, 0.0]""",0.26357167959213257,0.5636852979660034,0.06349840760231018,0.7154130339622498,"""[0.37399793, 0.22337078, 0.0, 0.3186922, 0.1138889, 0.0, 0.0, 0.0, 0.2975952, 0.0, 0.0, 0.26135105, 0.0, 0.0, 0.0]""",0.2277049869298935,0.39450380206108093,0.04569730907678604
8,0.7089225649833679,"""[0.32409382, 0.3211465, 0.0, 0.44052133, 0.1795594, 0.0, 0.0, 0.0, 0.4858828, 0.0, 0.0, 0.3091226, 0.0015612803, 0.0017331023, 0.0]""",0.25883346796035767,0.5775567889213562,0.08165065199136734,0.7323064208030701,"""[0.4641162, 0.25613526, 0.0, 0.31312388, 0.1966206, 0.0, 0.0, 0.0, 0.3945096, 0.0, 0.0, 0.29721364, 0.0, 0.0, 0.0]""",0.2223014086484909,0.44474074244499207,0.05308952182531357
9,0.719136118888855,"""[0.33522922, 0.326879, 0.0, 0.44282976, 0.23334824, 0.0, 0.0, 0.0, 0.50260055, 0.0, 0.0, 0.33369985, 0.0042405548, 0.007269617, 0.0]""",0.25671112537384033,0.5866749286651611,0.09114716202020645,0.7366670966148376,"""[0.5205672, 0.25393453, 0.0, 0.32527095, 0.22274143, 0.0, 0.0, 0.0, 0.38324758, 0.0, 0.0, 0.29025847, 0.0, 0.008, 0.0]""",0.22238537669181824,0.47513294219970703,0.05372617021203041
