epoch,auc,f1_score,loss,precision,recall,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.4994886517524719,"""[0.0010554091, 0.0019434246, 0.0, 0.49101907, 0.00047114256, 0.0, 0.0009837679, 0.012048193, 0.012115649, 0.0, 0.0007317966, 0.0009090909, 0.0003950227, 0.00042927667, 0.0]""",0.2895616888999939,0.056179776787757874,0.0003451989614404738,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25960788130760193,0.0,0.0
1,0.49705418944358826,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2855583429336548,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2590005695819855,0.0,0.0
2,0.5018640756607056,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28506219387054443,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25931915640830994,0.0,0.0
3,0.5008867979049683,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28486543893814087,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2588478624820709,0.0,0.0
4,0.5002260208129883,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2847912907600403,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2585252821445465,0.0,0.0
5,0.49930259585380554,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2847469449043274,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25841444730758667,0.0,0.0
6,0.49972423911094666,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28473708033561707,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2584145665168762,0.0,0.0
7,0.499780535697937,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2847297191619873,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2584154009819031,0.0,0.0
8,0.4995628893375397,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2847234904766083,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.258479505777359,0.0,0.0
9,0.4990881681442261,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2846245765686035,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25817880034446716,0.0,0.0
10,0.49929994344711304,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2846231460571289,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25816768407821655,0.0,0.0
11,0.49949896335601807,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2846220135688782,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.258181095123291,0.0,0.0
12,0.49931448698043823,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2846214175224304,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2581762671470642,0.0,0.0
13,0.49899107217788696,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28456899523735046,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25788795948028564,0.0,0.0
14,0.4988458454608917,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28456708788871765,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2579011619091034,0.0,0.0
15,0.4989539384841919,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845664918422699,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25789350271224976,0.0,0.0
16,0.4988458454608917,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28456583619117737,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2578980326652527,0.0,0.0
17,0.49850913882255554,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845459580421448,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25771695375442505,0.0,0.0
18,0.49852973222732544,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28454238176345825,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2577160894870758,0.0,0.0
19,0.4983922839164734,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.284543514251709,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25772225856781006,0.0,0.0
20,0.498386025428772,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845427095890045,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2576679289340973,0.0,0.0
21,0.4986782371997833,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28452619910240173,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25748491287231445,0.0,0.0
22,0.4988209307193756,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845238745212555,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2574961483478546,0.0,0.0
23,0.49897828698158264,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28452563285827637,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2574782967567444,0.0,0.0
24,0.4988478422164917,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.284525990486145,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25748082995414734,0.0,0.0
25,0.49886757135391235,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845149040222168,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2572581171989441,0.0,0.0
26,0.49895888566970825,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28452068567276,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25727012753486633,0.0,0.0
27,0.4988402724266052,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845175862312317,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25727012753486633,0.0,0.0
28,0.4989376664161682,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28451627492904663,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2572864294052124,0.0,0.0
29,0.49917125701904297,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845058739185333,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2571612596511841,0.0,0.0
30,0.4989534318447113,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845039665699005,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25710925459861755,0.0,0.0
31,0.4989908039569855,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28450268507003784,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2570662200450897,0.0,0.0
32,0.498977392911911,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.284502774477005,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25706562399864197,0.0,0.0
33,0.4992063641548157,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845032811164856,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25706037878990173,0.0,0.0
34,0.4998551607131958,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845004200935364,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25698602199554443,0.0,0.0
35,0.49970972537994385,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845030725002289,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2569895088672638,0.0,0.0
36,0.49923795461654663,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28450503945350647,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2569427788257599,0.0,0.0
37,0.49922168254852295,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28450748324394226,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25694283843040466,0.0,0.0
38,0.4998113214969635,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28450170159339905,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2569345235824585,0.0,0.0
39,0.4998467266559601,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845008075237274,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2569345235824585,0.0,0.0
40,0.49983394145965576,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.284502774477005,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25694477558135986,0.0,0.0
41,0.49978795647621155,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28449830412864685,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25694581866264343,0.0,0.0
42,0.4997645616531372,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.284496933221817,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.256875216960907,0.0,0.0
43,0.4998374581336975,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28449758887290955,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.256875216960907,0.0,0.0
44,0.4998703896999359,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2844950258731842,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.256875216960907,0.0,0.0
45,0.49983417987823486,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28449422121047974,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25687775015830994,0.0,0.0
46,0.49979811906814575,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28449583053588867,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25687775015830994,0.0,0.0
47,0.4997933804988861,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2844957411289215,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25687775015830994,0.0,0.0
48,0.49981096386909485,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28449323773384094,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25687775015830994,0.0,0.0
49,0.5,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2844996452331543,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25687775015830994,0.0,0.0
50,0.5,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845001816749573,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2568826973438263,0.0,0.0
51,0.4999491274356842,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845013737678528,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2568826973438263,0.0,0.0
52,0.5,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845059335231781,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2568826973438263,0.0,0.0
53,0.5,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845039963722229,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2568739056587219,0.0,0.0
54,0.5,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28450360894203186,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2568826973438263,0.0,0.0
55,0.5,"""[0.0, 0.0, 0.0, 0.49308488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845051884651184,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.29540098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2568739056587219,0.0,0.0
