epoch,auc_1,f1_score,loss,precision_1,recall_1,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.49862560629844666,"""[0.0021119325, 0.02152742, 0.0, 0.48827156, 0.00047169812, 0.0021598272, 0.0, 0.0, 0.0127551025, 0.0017094016, 0.0, 0.0, 0.0, 0.00042946104, 0.0]""",0.28936171531677246,0.24705882370471954,0.002029265509918332,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2597281336784363,0.0,0.0
1,0.49661222100257874,"""[0.0, 0.0, 0.0, 0.48996705, 0.0, 0.0, 0.0, 0.0, 0.00056258787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2855691611766815,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2602585554122925,0.0,0.0
2,0.49668553471565247,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2850881516933441,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.26008397340774536,0.0,0.0
3,0.49777209758758545,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28486981987953186,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2597915828227997,0.0,0.0
4,0.4977510869503021,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2846195697784424,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.259094774723053,0.0,0.0
5,0.49847376346588135,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28459352254867554,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25906825065612793,0.0,0.0
6,0.4967113435268402,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845904529094696,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2590239644050598,0.0,0.0
7,0.4970933198928833,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2845700681209564,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25905829668045044,0.0,0.0
8,0.497419536113739,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28449517488479614,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25821149349212646,0.0,0.0
9,0.4979632496833801,"""[0.0, 0.0, 0.0, 0.49002233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28448495268821716,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.3023696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25819918513298035,0.0,0.0
