epoch,auc_3,f1_score,loss,precision_3,recall_3,val_auc_3,val_f1_score,val_loss,val_precision_3,val_recall_3
0,0.500778317451477,"""[0.004438643, 0.009100529, 0.0, 0.4841763, 0.0, 0.0, 0.0009847366, 0.0, 0.04466543, 0.0, 0.0, 0.0017211704, 0.00156832, 0.0, 0.0]""",0.28941911458969116,0.28131869435310364,0.0017709644744172692,0.4999966323375702,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2634102404117584,0.0,0.0
1,0.501815915107727,"""[0.0, 0.0, 0.0, 0.4892939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28603383898735046,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2586634159088135,0.0,0.0
2,0.49963611364364624,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28546813130378723,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2580600380897522,0.0,0.0
3,0.49865835905075073,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28526613116264343,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2585280239582062,0.0,0.0
4,0.498730331659317,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2851683497428894,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25826501846313477,0.0,0.0
5,0.49900686740875244,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2850828170776367,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25833550095558167,0.0,0.0
6,0.49680450558662415,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2849457263946533,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25805583596229553,0.0,0.0
7,0.4963918924331665,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2849368453025818,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2580636739730835,0.0,0.0
8,0.4958553910255432,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2849327325820923,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.25806424021720886,0.0,0.0
9,0.497109591960907,"""[0.0, 0.0, 0.0, 0.4893097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28487274050712585,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.30787805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2574900686740875,0.0,0.0
