epoch,auc_1,f1_score,loss,precision_1,recall_1,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.5017332434654236,"""[0.042828396, 0.06509986, 0.011388801, 0.4729102, 0.0017396347, 0.0025575447, 0.0, 0.0033613443, 0.08315688, 0.006, 0.011489173, 0.004412576, 0.008037825, 0.007770008, 0.0]""",0.3067049980163574,0.16865672171115875,0.015543595887720585,0.4999806582927704,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859514653682709,0.0,0.0
1,0.5004059076309204,"""[0.0, 0.00026896183, 0.0, 0.49230236, 0.0, 0.0, 0.0, 0.0, 0.0014076246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2874149680137634,0.0,0.0,0.500113308429718,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859117388725281,0.0,0.0
2,0.5000568628311157,"""[0.0, 0.0, 0.0, 0.49223912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.286617636680603,0.0,0.0,0.4999508261680603,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28594785928726196,0.0,0.0
3,0.4973629415035248,"""[0.00033096145, 0.001343003, 0.0, 0.49195147, 0.0, 0.0, 0.0, 0.0, 0.0009376465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28764963150024414,0.3333333432674408,0.00017194243264384568,0.5,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28590232133865356,0.0,0.0
4,0.500732421875,"""[0.0, 0.0, 0.0, 0.49223912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28611600399017334,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.285805344581604,0.0,0.0
5,0.5001705288887024,"""[0.0, 0.0, 0.0, 0.4922675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28615084290504456,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858338952064514,0.0,0.0
6,0.5014658570289612,"""[0.0, 0.0, 0.0, 0.49227753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28610557317733765,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28577038645744324,0.0,0.0
7,0.5026936531066895,"""[0.0, 0.0, 0.0, 0.4922291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858819365501404,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857816517353058,0.0,0.0
8,0.501363217830658,"""[0.0, 0.0, 0.0, 0.4922681, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858582139015198,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857901155948639,0.0,0.0
9,0.4984148144721985,"""[0.0, 0.0, 0.0, 0.49224856, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28594470024108887,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.48373386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28577059507369995,0.0,0.0
