epoch,auc,f1_score,loss,precision,recall,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.5031293630599976,"""[0.049965106, 0.049534883, 0.0026041667, 0.47479618, 0.0011651616, 0.0013227513, 0.0, 0.0068434556, 0.091505684, 0.0076923077, 0.0009178522, 0.0011179431, 0.013108614, 0.0037463207, 0.0]""",0.30574527382850647,0.15003572404384613,0.010821209289133549,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.285651832818985,0.0,0.0
1,0.5010819435119629,"""[0.0, 0.0, 0.0, 0.4915743, 0.0, 0.0, 0.0, 0.0, 0.0020942406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2878827452659607,0.0,0.0,0.4998921751976013,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2856226861476898,0.0,0.0
2,0.49628886580467224,"""[0.00032916394, 0.0, 0.0, 0.4911862, 0.0, 0.0, 0.0, 0.0, 0.004629094, 0.0, 0.0, 0.0, 0.0, 0.00054318307, 0.0]""",0.2886408865451813,0.28735631704330444,0.000429413077654317,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28553372621536255,0.0,0.0
3,0.4971807897090912,"""[0.0, 0.0, 0.0, 0.49166906, 0.0, 0.0, 0.0, 0.0, 0.0002340824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2865986227989197,1.0,1.7176522305817343e-05,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2855704128742218,0.0,0.0
4,0.4994816780090332,"""[0.00032976095, 0.0, 0.0, 0.4917264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28629806637763977,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2855520248413086,0.0,0.0
5,0.5026675462722778,"""[0.0, 0.0, 0.0, 0.4916785, 0.0, 0.0, 0.0, 0.0, 0.00023402761, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2862086296081543,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28558221459388733,0.0,0.0
6,0.49842676520347595,"""[0.0, 0.0, 0.0, 0.4917075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28606224060058594,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28542056679725647,0.0,0.0
7,0.4990406632423401,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859608232975006,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854646146297455,0.0,0.0
8,0.5002726912498474,"""[0.00032976095, 0.00026748696, 0.0, 0.4916785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859450578689575,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854122519493103,0.0,0.0
9,0.4992559552192688,"""[0.0, 0.0, 0.0, 0.49169803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858673632144928,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28546878695487976,0.0,0.0
10,0.5007227659225464,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857688367366791,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28545287251472473,0.0,0.0
11,0.498780220746994,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28577256202697754,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28537073731422424,0.0,0.0
12,0.500140905380249,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28573867678642273,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854069471359253,0.0,0.0
13,0.4976964294910431,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28578123450279236,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854521572589874,0.0,0.0
14,0.5014238357543945,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28566068410873413,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28546828031539917,0.0,0.0
15,0.49927133321762085,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857359051704407,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28545087575912476,0.0,0.0
16,0.49850648641586304,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28573617339134216,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854247987270355,0.0,0.0
17,0.5004047751426697,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.285701185464859,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854650020599365,0.0,0.0
18,0.49950581789016724,"""[0.0, 0.0, 0.0, 0.4916886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28572678565979004,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.4860736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854686677455902,0.0,0.0
