epoch,auc_1,f1_score,loss,precision_1,recall_1,val_auc_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.5015127062797546,"""[0.04118404, 0.04292566, 0.0044714147, 0.4749739, 0.0066500423, 0.0025542784, 0.0011848342, 0.0, 0.087414525, 0.0021459227, 0.0008976661, 0.0021715527, 0.008884732, 0.009736101, 0.0]""",0.3038902282714844,0.19966110587120056,0.012150689028203487,0.49985966086387634,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28557682037353516,0.0,0.0
1,0.5021931529045105,"""[0.0, 0.00026907035, 0.0, 0.49008435, 0.0, 0.0, 0.0, 0.0, 0.0023226107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2876630425453186,0.09090909361839294,1.7186264813062735e-05,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28554651141166687,0.0,0.0
2,0.5005340576171875,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2867768704891205,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28547370433807373,0.0,0.0
3,0.5004164576530457,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28652143478393555,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28548464179039,0.0,0.0
4,0.4969693720340729,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2864155173301697,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2854344844818115,0.0,0.0
5,0.4990382492542267,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28623607754707336,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28544846177101135,0.0,0.0
6,0.5010377168655396,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2860327363014221,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2853114902973175,0.0,0.0
7,0.4990483224391937,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28603965044021606,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28528323769569397,0.0,0.0
8,0.5015508532524109,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28598323464393616,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2853281497955322,0.0,0.0
9,0.5012801885604858,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859559953212738,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28532642126083374,0.0,0.0
10,0.49932605028152466,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859281897544861,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28531360626220703,0.0,0.0
11,0.499319463968277,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859029173851013,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28530028462409973,0.0,0.0
12,0.49508076906204224,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2859622538089752,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852928340435028,0.0,0.0
13,0.4995811879634857,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28586649894714355,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2852942943572998,0.0,0.0
14,0.49833640456199646,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2858589291572571,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28528153896331787,0.0,0.0
15,0.500537633895874,"""[0.0, 0.0, 0.0, 0.4904993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.2857901155948639,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49084756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.28529229760169983,0.0,0.0
