epoch,auc,f1_score,loss,precision,recall,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.5001180171966553,"""[0.042227045, 0.05371758, 0.007766991, 0.46882617, 0.010491441, 0.0013404826, 0.003569304, 0.0017621145, 0.11337284, 0.0, 0.0034737298, 0.005219206, 0.015704388, 0.021174205, 0.0]""",0.08790148049592972,0.19130268692970276,0.017212383449077606,0.4999738931655884,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07649186998605728,0.0,0.0
1,0.5000177621841431,"""[0.0, 0.0010586211, 0.0, 0.48975262, 0.0, 0.0, 0.0, 0.0, 0.00370499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07720670849084854,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07647661119699478,0.0,0.0
2,0.5000274777412415,"""[0.0, 0.00026511133, 0.0, 0.4899067, 0.0, 0.0, 0.0, 0.0, 0.00023432924, 0.0, 0.0009128252, 0.0, 0.0, 0.0, 0.0]""",0.07697548717260361,0.20000000298023224,5.148270065546967e-05,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.0764913409948349,0.0,0.0
3,0.49585527181625366,"""[0.0, 0.0, 0.0, 0.4900056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07687102258205414,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07646958529949188,0.0,0.0
4,0.4949542284011841,"""[0.0, 0.0, 0.0, 0.4900056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.0768013596534729,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.076444111764431,0.0,0.0
5,0.4967767000198364,"""[0.0, 0.0, 0.0, 0.4900056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07677751034498215,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07644365727901459,0.0,0.0
6,0.4971572756767273,"""[0.0, 0.0, 0.0, 0.4900056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07675433158874512,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07643791288137436,0.0,0.0
7,0.4985464811325073,"""[0.0, 0.0, 0.0, 0.4900056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07672355324029922,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.0764259397983551,0.0,0.0
8,0.4950994551181793,"""[0.0, 0.0, 0.0, 0.4900056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.0767284408211708,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07642588764429092,0.0,0.0
9,0.503374457359314,"""[0.0, 0.0, 0.0, 0.4900056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.07669450342655182,0.0,0.0,0.5,"""[0.0, 0.0, 0.0, 0.49281824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]""",0.0764189288020134,0.0,0.0
