thresholds,TP,TN,FP,FN
-1e-07,"[12117.0, 2333.0, 928.0, 3994.0, 1078.0, 467.0, 499.0, 350.0, 2662.0, 277.0, 674.0, 575.0, 1249.0, 1141.0, 52.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10307.0, 20091.0, 21496.0, 18430.0, 21346.0, 21957.0, 21925.0, 22074.0, 19762.0, 22147.0, 21750.0, 21849.0, 21175.0, 21283.0, 22372.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.005025125628140704,"[12117.0, 2328.0, 921.0, 3994.0, 1066.0, 433.0, 476.0, 338.0, 2638.0, 253.0, 669.0, 542.0, 1249.0, 1137.0, 34.0]","[0.0, 513.0, 1435.0, 12.0, 2279.0, 13281.0, 4268.0, 4222.0, 1869.0, 4932.0, 1867.0, 10358.0, 4.0, 204.0, 17655.0]","[10307.0, 19578.0, 20061.0, 18418.0, 19067.0, 8676.0, 17657.0, 17852.0, 17893.0, 17215.0, 19883.0, 11491.0, 21171.0, 21079.0, 4717.0]","[0.0, 5.0, 7.0, 0.0, 12.0, 34.0, 23.0, 12.0, 24.0, 24.0, 5.0, 33.0, 0.0, 4.0, 18.0]"
0.010050251256281407,"[12117.0, 2317.0, 889.0, 3993.0, 1022.0, 399.0, 450.0, 305.0, 2613.0, 210.0, 635.0, 491.0, 1248.0, 1125.0, 15.0]","[0.0, 1571.0, 4956.0, 55.0, 5703.0, 16131.0, 8537.0, 8172.0, 4162.0, 11224.0, 5517.0, 13587.0, 20.0, 1017.0, 21003.0]","[10307.0, 18520.0, 16540.0, 18375.0, 15643.0, 5826.0, 13388.0, 13902.0, 15600.0, 10923.0, 16233.0, 8262.0, 21155.0, 20266.0, 1369.0]","[0.0, 16.0, 39.0, 1.0, 56.0, 68.0, 49.0, 45.0, 49.0, 67.0, 39.0, 84.0, 1.0, 16.0, 37.0]"
0.01507537688442211,"[12117.0, 2296.0, 859.0, 3990.0, 975.0, 376.0, 405.0, 269.0, 2587.0, 177.0, 586.0, 437.0, 1246.0, 1114.0, 1.0]","[0.0, 2668.0, 7738.0, 130.0, 8728.0, 17279.0, 11594.0, 11789.0, 5891.0, 15027.0, 8881.0, 15694.0, 71.0, 2154.0, 22103.0]","[10307.0, 17423.0, 13758.0, 18300.0, 12618.0, 4678.0, 10331.0, 10285.0, 13871.0, 7120.0, 12869.0, 6155.0, 21104.0, 19129.0, 269.0]","[0.0, 37.0, 69.0, 4.0, 103.0, 91.0, 94.0, 81.0, 75.0, 100.0, 88.0, 138.0, 3.0, 27.0, 51.0]"
0.020100502512562814,"[12117.0, 2268.0, 825.0, 3986.0, 918.0, 354.0, 368.0, 212.0, 2550.0, 139.0, 530.0, 399.0, 1240.0, 1087.0, 0.0]","[0.0, 3747.0, 9770.0, 255.0, 11008.0, 17983.0, 13707.0, 14738.0, 7166.0, 17234.0, 11517.0, 17358.0, 226.0, 3492.0, 22349.0]","[10307.0, 16344.0, 11726.0, 18175.0, 10338.0, 3974.0, 8218.0, 7336.0, 12596.0, 4913.0, 10233.0, 4491.0, 20949.0, 17791.0, 23.0]","[0.0, 65.0, 103.0, 8.0, 160.0, 113.0, 131.0, 138.0, 112.0, 138.0, 144.0, 176.0, 9.0, 54.0, 52.0]"
0.02512562814070352,"[12117.0, 2232.0, 795.0, 3982.0, 867.0, 337.0, 335.0, 165.0, 2521.0, 116.0, 474.0, 350.0, 1235.0, 1050.0, 0.0]","[0.0, 4708.0, 11205.0, 428.0, 12794.0, 18435.0, 15354.0, 16872.0, 8171.0, 18533.0, 13440.0, 18474.0, 607.0, 4843.0, 22372.0]","[10307.0, 15383.0, 10291.0, 18002.0, 8552.0, 3522.0, 6571.0, 5202.0, 11591.0, 3614.0, 8310.0, 3375.0, 20568.0, 16440.0, 0.0]","[0.0, 101.0, 133.0, 12.0, 211.0, 130.0, 164.0, 185.0, 141.0, 161.0, 200.0, 225.0, 14.0, 91.0, 52.0]"
0.03015075376884422,"[12117.0, 2200.0, 779.0, 3973.0, 820.0, 323.0, 307.0, 131.0, 2490.0, 91.0, 433.0, 312.0, 1224.0, 1018.0, 0.0]","[0.0, 5550.0, 12337.0, 657.0, 14084.0, 18760.0, 16514.0, 18536.0, 8994.0, 19438.0, 14897.0, 19168.0, 1178.0, 6228.0, 22372.0]","[10307.0, 14541.0, 9159.0, 17773.0, 7262.0, 3197.0, 5411.0, 3538.0, 10768.0, 2709.0, 6853.0, 2681.0, 19997.0, 15055.0, 0.0]","[0.0, 133.0, 149.0, 21.0, 258.0, 144.0, 192.0, 219.0, 172.0, 186.0, 241.0, 263.0, 25.0, 123.0, 52.0]"
0.035175879396984924,"[12117.0, 2173.0, 756.0, 3954.0, 778.0, 312.0, 284.0, 96.0, 2464.0, 79.0, 389.0, 293.0, 1201.0, 989.0, 0.0]","[0.0, 6371.0, 13129.0, 905.0, 15176.0, 19046.0, 17408.0, 19688.0, 9700.0, 20155.0, 16099.0, 19658.0, 2088.0, 7572.0, 22372.0]","[10307.0, 13720.0, 8367.0, 17525.0, 6170.0, 2911.0, 4517.0, 2386.0, 10062.0, 1992.0, 5651.0, 2191.0, 19087.0, 13711.0, 0.0]","[0.0, 160.0, 172.0, 40.0, 300.0, 155.0, 215.0, 254.0, 198.0, 198.0, 285.0, 282.0, 48.0, 152.0, 52.0]"
0.04020100502512563,"[12117.0, 2142.0, 725.0, 3940.0, 741.0, 298.0, 264.0, 61.0, 2430.0, 60.0, 349.0, 276.0, 1165.0, 958.0, 0.0]","[0.0, 7107.0, 13813.0, 1180.0, 15984.0, 19244.0, 18046.0, 20597.0, 10275.0, 20670.0, 16980.0, 20002.0, 3197.0, 8901.0, 22372.0]","[10307.0, 12984.0, 7683.0, 17250.0, 5362.0, 2713.0, 3879.0, 1477.0, 9487.0, 1477.0, 4770.0, 1847.0, 17978.0, 12382.0, 0.0]","[0.0, 191.0, 203.0, 54.0, 337.0, 169.0, 235.0, 289.0, 232.0, 217.0, 325.0, 299.0, 84.0, 183.0, 52.0]"
0.04522613065326633,"[12117.0, 2106.0, 703.0, 3917.0, 702.0, 288.0, 251.0, 37.0, 2400.0, 46.0, 319.0, 264.0, 1117.0, 927.0, 0.0]","[0.0, 7741.0, 14443.0, 1495.0, 16653.0, 19439.0, 18550.0, 21202.0, 10856.0, 21048.0, 17637.0, 20238.0, 4567.0, 10116.0, 22372.0]","[10307.0, 12350.0, 7053.0, 16935.0, 4693.0, 2518.0, 3375.0, 872.0, 8906.0, 1099.0, 4113.0, 1611.0, 16608.0, 11167.0, 0.0]","[0.0, 227.0, 225.0, 77.0, 376.0, 179.0, 248.0, 313.0, 262.0, 231.0, 355.0, 311.0, 132.0, 214.0, 52.0]"
