thresholds,TP,TN,FP,FN
-1e-07,"[11945.0, 2329.0, 923.0, 4080.0, 1068.0, 463.0, 516.0, 371.0, 2704.0, 271.0, 691.0, 525.0, 1285.0, 1173.0, 44.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10479.0, 20095.0, 21501.0, 18344.0, 21356.0, 21961.0, 21908.0, 22053.0, 19720.0, 22153.0, 21733.0, 21899.0, 21139.0, 21251.0, 22380.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.005025125628140704,"[11945.0, 2327.0, 915.0, 4079.0, 1055.0, 443.0, 497.0, 342.0, 2701.0, 260.0, 682.0, 504.0, 1285.0, 1168.0, 10.0]","[0.0, 325.0, 2058.0, 2.0, 2003.0, 11355.0, 5355.0, 5480.0, 2198.0, 5159.0, 1117.0, 8616.0, 31.0, 242.0, 20264.0]","[10479.0, 19770.0, 19443.0, 18342.0, 19353.0, 10606.0, 16553.0, 16573.0, 17522.0, 16994.0, 20616.0, 13283.0, 21108.0, 21009.0, 2116.0]","[0.0, 2.0, 8.0, 1.0, 13.0, 20.0, 19.0, 29.0, 3.0, 11.0, 9.0, 21.0, 0.0, 5.0, 34.0]"
0.010050251256281407,"[11945.0, 2321.0, 900.0, 4079.0, 1021.0, 421.0, 462.0, 308.0, 2682.0, 231.0, 660.0, 462.0, 1285.0, 1158.0, 3.0]","[0.0, 1710.0, 5423.0, 4.0, 5282.0, 14376.0, 9162.0, 10107.0, 4546.0, 9817.0, 4753.0, 12848.0, 57.0, 1268.0, 21923.0]","[10479.0, 18385.0, 16078.0, 18340.0, 16074.0, 7585.0, 12746.0, 11946.0, 15174.0, 12336.0, 16980.0, 9051.0, 21082.0, 19983.0, 457.0]","[0.0, 8.0, 23.0, 1.0, 47.0, 42.0, 54.0, 63.0, 22.0, 40.0, 31.0, 63.0, 0.0, 15.0, 41.0]"
0.01507537688442211,"[11945.0, 2291.0, 878.0, 4079.0, 993.0, 392.0, 435.0, 268.0, 2658.0, 179.0, 616.0, 405.0, 1282.0, 1144.0, 1.0]","[0.0, 3272.0, 7456.0, 5.0, 7711.0, 15837.0, 11642.0, 13232.0, 6187.0, 13726.0, 8339.0, 15455.0, 182.0, 2806.0, 22316.0]","[10479.0, 16823.0, 14045.0, 18339.0, 13645.0, 6124.0, 10266.0, 8821.0, 13533.0, 8427.0, 13394.0, 6444.0, 20957.0, 18445.0, 64.0]","[0.0, 38.0, 45.0, 1.0, 75.0, 71.0, 81.0, 103.0, 46.0, 92.0, 75.0, 120.0, 3.0, 29.0, 43.0]"
0.020100502512562814,"[11945.0, 2255.0, 860.0, 4079.0, 963.0, 381.0, 412.0, 228.0, 2641.0, 148.0, 561.0, 357.0, 1278.0, 1116.0, 0.0]","[1.0, 4539.0, 8704.0, 7.0, 9620.0, 16779.0, 13268.0, 15379.0, 7297.0, 16502.0, 11123.0, 17206.0, 596.0, 4413.0, 22371.0]","[10478.0, 15556.0, 12797.0, 18337.0, 11736.0, 5182.0, 8640.0, 6674.0, 12423.0, 5651.0, 10610.0, 4693.0, 20543.0, 16838.0, 9.0]","[0.0, 74.0, 63.0, 1.0, 105.0, 82.0, 104.0, 143.0, 63.0, 123.0, 130.0, 168.0, 7.0, 57.0, 44.0]"
0.02512562814070352,"[11945.0, 2232.0, 844.0, 4079.0, 939.0, 367.0, 392.0, 182.0, 2620.0, 114.0, 507.0, 311.0, 1264.0, 1078.0, 0.0]","[1.0, 5471.0, 9708.0, 14.0, 11045.0, 17353.0, 14515.0, 17160.0, 8146.0, 18111.0, 13200.0, 18470.0, 1322.0, 5961.0, 22380.0]","[10478.0, 14624.0, 11793.0, 18330.0, 10311.0, 4608.0, 7393.0, 4893.0, 11574.0, 4042.0, 8533.0, 3429.0, 19817.0, 15290.0, 0.0]","[0.0, 97.0, 79.0, 1.0, 129.0, 96.0, 124.0, 189.0, 84.0, 157.0, 184.0, 214.0, 21.0, 95.0, 44.0]"
0.03015075376884422,"[11944.0, 2202.0, 829.0, 4079.0, 915.0, 353.0, 368.0, 133.0, 2595.0, 89.0, 461.0, 270.0, 1243.0, 1049.0, 0.0]","[2.0, 6192.0, 10493.0, 32.0, 12163.0, 17782.0, 15482.0, 18766.0, 8818.0, 19202.0, 14744.0, 19348.0, 2411.0, 7417.0, 22380.0]","[10477.0, 13903.0, 11008.0, 18312.0, 9193.0, 4179.0, 6426.0, 3287.0, 10902.0, 2951.0, 6989.0, 2551.0, 18728.0, 13834.0, 0.0]","[1.0, 127.0, 94.0, 1.0, 153.0, 110.0, 148.0, 238.0, 109.0, 182.0, 230.0, 255.0, 42.0, 124.0, 44.0]"
0.035175879396984924,"[11942.0, 2176.0, 808.0, 4076.0, 890.0, 337.0, 350.0, 83.0, 2567.0, 62.0, 421.0, 237.0, 1215.0, 1004.0, 0.0]","[2.0, 6819.0, 11216.0, 80.0, 13063.0, 18141.0, 16260.0, 20096.0, 9394.0, 20104.0, 15814.0, 19999.0, 3696.0, 8740.0, 22380.0]","[10477.0, 13276.0, 10285.0, 18264.0, 8293.0, 3820.0, 5648.0, 1957.0, 10326.0, 2049.0, 5919.0, 1900.0, 17443.0, 12511.0, 0.0]","[3.0, 153.0, 115.0, 4.0, 178.0, 126.0, 166.0, 288.0, 137.0, 209.0, 270.0, 288.0, 70.0, 169.0, 44.0]"
0.04020100502512563,"[11942.0, 2143.0, 791.0, 4075.0, 866.0, 328.0, 331.0, 38.0, 2539.0, 48.0, 383.0, 201.0, 1163.0, 958.0, 0.0]","[2.0, 7384.0, 11966.0, 145.0, 13821.0, 18439.0, 16880.0, 21117.0, 9895.0, 20765.0, 16728.0, 20473.0, 5097.0, 9908.0, 22380.0]","[10477.0, 12711.0, 9535.0, 18199.0, 7535.0, 3522.0, 5028.0, 936.0, 9825.0, 1388.0, 5005.0, 1426.0, 16042.0, 11343.0, 0.0]","[3.0, 186.0, 132.0, 5.0, 202.0, 135.0, 185.0, 333.0, 165.0, 223.0, 308.0, 324.0, 122.0, 215.0, 44.0]"
0.04522613065326633,"[11941.0, 2112.0, 777.0, 4069.0, 847.0, 322.0, 316.0, 20.0, 2516.0, 29.0, 344.0, 180.0, 1107.0, 913.0, 0.0]","[2.0, 8000.0, 12657.0, 244.0, 14470.0, 18709.0, 17423.0, 21613.0, 10314.0, 21324.0, 17424.0, 20813.0, 6497.0, 10976.0, 22380.0]","[10477.0, 12095.0, 8844.0, 18100.0, 6886.0, 3252.0, 4485.0, 440.0, 9406.0, 829.0, 4309.0, 1086.0, 14642.0, 10275.0, 0.0]","[4.0, 217.0, 146.0, 11.0, 221.0, 141.0, 200.0, 351.0, 188.0, 242.0, 347.0, 345.0, 178.0, 260.0, 44.0]"
