thresholds,TP,TN,FP,FN
-1e-07,"[12160.0, 2225.0, 894.0, 3951.0, 1046.0, 446.0, 487.0, 319.0, 2625.0, 294.0, 663.0, 557.0, 1285.0, 1141.0, 46.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10264.0, 20199.0, 21530.0, 18473.0, 21378.0, 21978.0, 21937.0, 22105.0, 19799.0, 22130.0, 21761.0, 21867.0, 21139.0, 21283.0, 22378.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.005025125628140704,"[12160.0, 2225.0, 889.0, 3951.0, 1035.0, 420.0, 476.0, 311.0, 2616.0, 274.0, 657.0, 521.0, 1285.0, 1138.0, 10.0]","[0.0, 171.0, 2449.0, 0.0, 1864.0, 11877.0, 3551.0, 4634.0, 1801.0, 4192.0, 1988.0, 10562.0, 7.0, 195.0, 20645.0]","[10264.0, 20028.0, 19081.0, 18473.0, 19514.0, 10101.0, 18386.0, 17471.0, 17998.0, 17938.0, 19773.0, 11305.0, 21132.0, 21088.0, 1733.0]","[0.0, 0.0, 5.0, 0.0, 11.0, 26.0, 11.0, 8.0, 9.0, 20.0, 6.0, 36.0, 0.0, 3.0, 36.0]"
0.010050251256281407,"[12160.0, 2218.0, 858.0, 3951.0, 992.0, 393.0, 448.0, 283.0, 2594.0, 242.0, 621.0, 494.0, 1282.0, 1131.0, 3.0]","[0.0, 963.0, 6133.0, 0.0, 5516.0, 15015.0, 8021.0, 9003.0, 4089.0, 10992.0, 5987.0, 14039.0, 129.0, 1356.0, 22204.0]","[10264.0, 19236.0, 15397.0, 18473.0, 15862.0, 6963.0, 13916.0, 13102.0, 15710.0, 11138.0, 15774.0, 7828.0, 21010.0, 19927.0, 174.0]","[0.0, 7.0, 36.0, 0.0, 54.0, 53.0, 39.0, 36.0, 31.0, 52.0, 42.0, 63.0, 3.0, 10.0, 43.0]"
0.01507537688442211,"[12160.0, 2210.0, 818.0, 3951.0, 953.0, 373.0, 411.0, 249.0, 2577.0, 181.0, 571.0, 467.0, 1274.0, 1110.0, 1.0]","[0.0, 1845.0, 8485.0, 0.0, 8371.0, 16220.0, 11149.0, 12454.0, 5725.0, 15098.0, 9042.0, 15981.0, 494.0, 3050.0, 22356.0]","[10264.0, 18354.0, 13045.0, 18473.0, 13007.0, 5758.0, 10788.0, 9651.0, 14074.0, 7032.0, 12719.0, 5886.0, 20645.0, 18233.0, 22.0]","[0.0, 15.0, 76.0, 0.0, 93.0, 73.0, 76.0, 70.0, 48.0, 113.0, 92.0, 90.0, 11.0, 31.0, 45.0]"
0.020100502512562814,"[12160.0, 2198.0, 791.0, 3951.0, 912.0, 364.0, 372.0, 207.0, 2554.0, 138.0, 520.0, 432.0, 1251.0, 1089.0, 0.0]","[0.0, 2641.0, 10108.0, 0.0, 10491.0, 16977.0, 13312.0, 15113.0, 6978.0, 17253.0, 11337.0, 17178.0, 1036.0, 4892.0, 22375.0]","[10264.0, 17558.0, 11422.0, 18473.0, 10887.0, 5001.0, 8625.0, 6992.0, 12821.0, 4877.0, 10424.0, 4689.0, 20103.0, 16391.0, 3.0]","[0.0, 27.0, 103.0, 0.0, 134.0, 82.0, 115.0, 112.0, 71.0, 156.0, 143.0, 125.0, 34.0, 52.0, 46.0]"
0.02512562814070352,"[12160.0, 2180.0, 766.0, 3951.0, 877.0, 349.0, 339.0, 154.0, 2533.0, 122.0, 492.0, 400.0, 1226.0, 1061.0, 0.0]","[0.0, 3469.0, 11262.0, 3.0, 12010.0, 17541.0, 14822.0, 17131.0, 7934.0, 18543.0, 12994.0, 18051.0, 1744.0, 6693.0, 22378.0]","[10264.0, 16730.0, 10268.0, 18470.0, 9368.0, 4437.0, 7115.0, 4974.0, 11865.0, 3587.0, 8767.0, 3816.0, 19395.0, 14590.0, 0.0]","[0.0, 45.0, 128.0, 0.0, 169.0, 97.0, 148.0, 165.0, 92.0, 172.0, 171.0, 157.0, 59.0, 80.0, 46.0]"
0.03015075376884422,"[12160.0, 2160.0, 745.0, 3950.0, 855.0, 338.0, 311.0, 104.0, 2507.0, 102.0, 462.0, 380.0, 1205.0, 1022.0, 0.0]","[0.0, 4309.0, 12148.0, 10.0, 13139.0, 17949.0, 16074.0, 18934.0, 8727.0, 19481.0, 14278.0, 18696.0, 2721.0, 8329.0, 22378.0]","[10264.0, 15890.0, 9382.0, 18463.0, 8239.0, 4029.0, 5863.0, 3171.0, 11072.0, 2649.0, 7483.0, 3171.0, 18418.0, 12954.0, 0.0]","[0.0, 65.0, 149.0, 1.0, 191.0, 108.0, 176.0, 215.0, 118.0, 192.0, 201.0, 177.0, 80.0, 119.0, 46.0]"
0.035175879396984924,"[12160.0, 2134.0, 717.0, 3950.0, 834.0, 331.0, 286.0, 48.0, 2479.0, 68.0, 435.0, 363.0, 1174.0, 982.0, 0.0]","[0.0, 5164.0, 12928.0, 50.0, 14028.0, 18315.0, 17039.0, 20750.0, 9374.0, 20169.0, 15253.0, 19160.0, 3860.0, 9816.0, 22378.0]","[10264.0, 15035.0, 8602.0, 18423.0, 7350.0, 3663.0, 4898.0, 1355.0, 10425.0, 1961.0, 6508.0, 2707.0, 17279.0, 11467.0, 0.0]","[0.0, 91.0, 177.0, 1.0, 212.0, 115.0, 201.0, 271.0, 146.0, 226.0, 228.0, 194.0, 111.0, 159.0, 46.0]"
0.04020100502512563,"[12160.0, 2107.0, 692.0, 3948.0, 808.0, 317.0, 262.0, 10.0, 2460.0, 51.0, 409.0, 340.0, 1133.0, 933.0, 0.0]","[0.0, 6044.0, 13711.0, 142.0, 14769.0, 18605.0, 17755.0, 21734.0, 9956.0, 20687.0, 16031.0, 19550.0, 5111.0, 11071.0, 22378.0]","[10264.0, 14155.0, 7819.0, 18331.0, 6609.0, 3373.0, 4182.0, 371.0, 9843.0, 1443.0, 5730.0, 2317.0, 16028.0, 10212.0, 0.0]","[0.0, 118.0, 202.0, 3.0, 238.0, 129.0, 225.0, 309.0, 165.0, 243.0, 254.0, 217.0, 152.0, 208.0, 46.0]"
0.04522613065326633,"[12160.0, 2081.0, 656.0, 3943.0, 783.0, 310.0, 238.0, 2.0, 2444.0, 39.0, 383.0, 325.0, 1075.0, 896.0, 0.0]","[0.0, 6884.0, 14505.0, 294.0, 15377.0, 18880.0, 18262.0, 21950.0, 10458.0, 21009.0, 16626.0, 19830.0, 6389.0, 12174.0, 22378.0]","[10264.0, 13315.0, 7025.0, 18179.0, 6001.0, 3098.0, 3675.0, 155.0, 9341.0, 1121.0, 5135.0, 2037.0, 14750.0, 9109.0, 0.0]","[0.0, 144.0, 238.0, 8.0, 263.0, 136.0, 249.0, 317.0, 181.0, 255.0, 280.0, 232.0, 210.0, 245.0, 46.0]"
