thresholds,TP,TN,FP,FN
-1e-07,"[12040.0, 2326.0, 968.0, 3886.0, 1073.0, 448.0, 499.0, 343.0, 2741.0, 285.0, 670.0, 592.0, 1284.0, 1139.0, 47.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10384.0, 20098.0, 21456.0, 18538.0, 21351.0, 21976.0, 21925.0, 22081.0, 19683.0, 22139.0, 21754.0, 21832.0, 21140.0, 21285.0, 22377.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.005025125628140704,"[12040.0, 2326.0, 968.0, 3886.0, 1073.0, 448.0, 499.0, 343.0, 2741.0, 285.0, 670.0, 583.0, 1284.0, 1139.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 368.0, 0.0, 0.0, 22374.0]","[10384.0, 20098.0, 21456.0, 18538.0, 21351.0, 21976.0, 21925.0, 22081.0, 19683.0, 22139.0, 21754.0, 21464.0, 21140.0, 21285.0, 3.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 47.0]"
0.010050251256281407,"[12040.0, 2326.0, 968.0, 3886.0, 1073.0, 448.0, 499.0, 343.0, 2741.0, 285.0, 670.0, 170.0, 1284.0, 1139.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 18.0, 0.0, 17.0, 0.0, 0.0, 0.0, 14855.0, 0.0, 0.0, 22377.0]","[10384.0, 20098.0, 21456.0, 18538.0, 21351.0, 21958.0, 21925.0, 22064.0, 19683.0, 22139.0, 21754.0, 6977.0, 21140.0, 21285.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 422.0, 0.0, 0.0, 47.0]"
0.01507537688442211,"[12040.0, 2326.0, 968.0, 3886.0, 1073.0, 433.0, 497.0, 197.0, 2741.0, 259.0, 670.0, 11.0, 1284.0, 1139.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 723.0, 102.0, 10836.0, 0.0, 1272.0, 0.0, 21448.0, 0.0, 0.0, 22377.0]","[10384.0, 20098.0, 21456.0, 18538.0, 21351.0, 21253.0, 21823.0, 11245.0, 19683.0, 20867.0, 21754.0, 384.0, 21140.0, 21285.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 2.0, 146.0, 0.0, 26.0, 0.0, 581.0, 0.0, 0.0, 47.0]"
0.020100502512562814,"[12040.0, 2326.0, 968.0, 3886.0, 1073.0, 302.0, 312.0, 7.0, 2741.0, 47.0, 670.0, 1.0, 1284.0, 1139.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 5165.0, 8700.0, 21862.0, 0.0, 17172.0, 28.0, 21818.0, 0.0, 0.0, 22377.0]","[10384.0, 20098.0, 21456.0, 18538.0, 21351.0, 16811.0, 13225.0, 219.0, 19683.0, 4967.0, 21726.0, 14.0, 21140.0, 21285.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 146.0, 187.0, 336.0, 0.0, 238.0, 0.0, 591.0, 0.0, 0.0, 47.0]"
0.02512562814070352,"[12040.0, 2326.0, 968.0, 3886.0, 1073.0, 101.0, 17.0, 0.0, 2741.0, 1.0, 505.0, 0.0, 1284.0, 1139.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 4.0, 13075.0, 20656.0, 22061.0, 0.0, 21975.0, 6900.0, 21832.0, 0.0, 0.0, 22377.0]","[10384.0, 20098.0, 21456.0, 18538.0, 21347.0, 8901.0, 1269.0, 20.0, 19683.0, 164.0, 14854.0, 0.0, 21140.0, 21285.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 347.0, 482.0, 343.0, 0.0, 284.0, 165.0, 592.0, 0.0, 0.0, 47.0]"
0.03015075376884422,"[12040.0, 2326.0, 968.0, 3886.0, 1046.0, 27.0, 1.0, 0.0, 2741.0, 0.0, 59.0, 0.0, 1284.0, 1139.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 557.0, 18792.0, 21837.0, 22076.0, 1.0, 22131.0, 20465.0, 21832.0, 0.0, 0.0, 22377.0]","[10384.0, 20098.0, 21456.0, 18538.0, 20794.0, 3184.0, 88.0, 5.0, 19682.0, 8.0, 1289.0, 0.0, 21140.0, 21285.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 27.0, 421.0, 498.0, 343.0, 0.0, 285.0, 611.0, 592.0, 0.0, 0.0, 47.0]"
0.035175879396984924,"[12040.0, 2326.0, 968.0, 3886.0, 735.0, 3.0, 0.0, 0.0, 2741.0, 0.0, 5.0, 0.0, 1284.0, 1139.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 8420.0, 21050.0, 21905.0, 22078.0, 2.0, 22138.0, 21643.0, 21832.0, 0.0, 0.0, 22377.0]","[10384.0, 20098.0, 21451.0, 18538.0, 12931.0, 926.0, 20.0, 3.0, 19681.0, 1.0, 111.0, 0.0, 21140.0, 21285.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 338.0, 445.0, 499.0, 343.0, 0.0, 285.0, 665.0, 592.0, 0.0, 0.0, 47.0]"
0.04020100502512563,"[12040.0, 2326.0, 966.0, 3886.0, 226.0, 1.0, 0.0, 0.0, 2740.0, 0.0, 0.0, 0.0, 1284.0, 1135.0, 0.0]","[0.0, 0.0, 52.0, 0.0, 18546.0, 21781.0, 21919.0, 22080.0, 17.0, 22139.0, 21726.0, 21832.0, 0.0, 144.0, 22377.0]","[10384.0, 20098.0, 21404.0, 18538.0, 2805.0, 195.0, 6.0, 1.0, 19666.0, 0.0, 28.0, 0.0, 21140.0, 21141.0, 0.0]","[0.0, 0.0, 2.0, 0.0, 847.0, 447.0, 499.0, 343.0, 1.0, 285.0, 670.0, 592.0, 0.0, 4.0, 47.0]"
0.04522613065326633,"[12040.0, 2326.0, 949.0, 3886.0, 30.0, 0.0, 0.0, 0.0, 2725.0, 0.0, 0.0, 0.0, 1278.0, 974.0, 0.0]","[0.0, 0.0, 352.0, 0.0, 20916.0, 21940.0, 21921.0, 22081.0, 78.0, 22139.0, 21743.0, 21832.0, 123.0, 3575.0, 22377.0]","[10384.0, 20098.0, 21104.0, 18538.0, 435.0, 36.0, 4.0, 0.0, 19605.0, 0.0, 11.0, 0.0, 21017.0, 17710.0, 0.0]","[0.0, 0.0, 19.0, 0.0, 1043.0, 448.0, 499.0, 343.0, 16.0, 285.0, 670.0, 592.0, 6.0, 165.0, 47.0]"
0.05025125628140704,"[12040.0, 2326.0, 880.0, 3886.0, 4.0, 0.0, 0.0, 0.0, 2676.0, 0.0, 0.0, 0.0, 1058.0, 418.0, 0.0]","[0.0, 0.0, 1367.0, 0.0, 21262.0, 21968.0, 21923.0, 22081.0, 322.0, 22139.0, 21747.0, 21832.0, 4219.0, 14624.0, 22377.0]","[10384.0, 20098.0, 20089.0, 18538.0, 89.0, 8.0, 2.0, 0.0, 19361.0, 0.0, 7.0, 0.0, 16921.0, 6661.0, 0.0]","[0.0, 0.0, 88.0, 0.0, 1069.0, 448.0, 499.0, 343.0, 65.0, 285.0, 670.0, 592.0, 226.0, 721.0, 47.0]"
0.05527638190954774,"[12040.0, 2325.0, 774.0, 3886.0, 1.0, 0.0, 0.0, 0.0, 2594.0, 0.0, 0.0, 0.0, 504.0, 84.0, 0.0]","[0.0, 0.0, 3702.0, 0.0, 21325.0, 21976.0, 21925.0, 22081.0, 882.0, 22139.0, 21752.0, 21832.0, 14218.0, 20091.0, 22377.0]","[10384.0, 20098.0, 17754.0, 18538.0, 26.0, 0.0, 0.0, 0.0, 18801.0, 0.0, 2.0, 0.0, 6922.0, 1194.0, 0.0]","[0.0, 1.0, 194.0, 0.0, 1072.0, 448.0, 499.0, 343.0, 147.0, 285.0, 670.0, 592.0, 780.0, 1055.0, 47.0]"
