thresholds,TP,TN,FP,FN
-1e-07,"[12160.0, 2225.0, 894.0, 3951.0, 1046.0, 446.0, 487.0, 319.0, 2625.0, 294.0, 663.0, 557.0, 1285.0, 1141.0, 46.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10264.0, 20199.0, 21530.0, 18473.0, 21378.0, 21978.0, 21937.0, 22105.0, 19799.0, 22130.0, 21761.0, 21867.0, 21139.0, 21283.0, 22378.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0.005025125628140704,"[12160.0, 2225.0, 883.0, 3951.0, 1037.0, 421.0, 470.0, 297.0, 2621.0, 280.0, 661.0, 539.0, 1285.0, 1141.0, 16.0]","[0.0, 22.0, 1495.0, 0.0, 1003.0, 10552.0, 3593.0, 5622.0, 843.0, 2504.0, 886.0, 3939.0, 0.0, 24.0, 19725.0]","[10264.0, 20177.0, 20035.0, 18473.0, 20375.0, 11426.0, 18344.0, 16483.0, 18956.0, 19626.0, 20875.0, 17928.0, 21139.0, 21259.0, 2653.0]","[0.0, 0.0, 11.0, 0.0, 9.0, 25.0, 17.0, 22.0, 4.0, 14.0, 2.0, 18.0, 0.0, 0.0, 30.0]"
0.010050251256281407,"[12160.0, 2221.0, 850.0, 3951.0, 1001.0, 401.0, 436.0, 252.0, 2604.0, 252.0, 619.0, 517.0, 1285.0, 1137.0, 6.0]","[0.0, 401.0, 4655.0, 1.0, 3747.0, 13157.0, 8427.0, 10683.0, 2646.0, 8027.0, 4605.0, 7308.0, 0.0, 364.0, 21688.0]","[10264.0, 19798.0, 16875.0, 18472.0, 17631.0, 8821.0, 13510.0, 11422.0, 17153.0, 14103.0, 17156.0, 14559.0, 21139.0, 20919.0, 690.0]","[0.0, 4.0, 44.0, 0.0, 45.0, 45.0, 51.0, 67.0, 21.0, 42.0, 44.0, 40.0, 0.0, 4.0, 40.0]"
0.01507537688442211,"[12160.0, 2212.0, 815.0, 3950.0, 960.0, 389.0, 382.0, 193.0, 2586.0, 212.0, 566.0, 485.0, 1283.0, 1129.0, 2.0]","[0.0, 1172.0, 7387.0, 7.0, 6768.0, 14512.0, 11991.0, 14642.0, 4291.0, 12637.0, 8549.0, 10145.0, 8.0, 1239.0, 22266.0]","[10264.0, 19027.0, 14143.0, 18466.0, 14610.0, 7466.0, 9946.0, 7463.0, 15508.0, 9493.0, 13212.0, 11722.0, 21131.0, 20044.0, 112.0]","[0.0, 13.0, 79.0, 1.0, 86.0, 57.0, 105.0, 126.0, 39.0, 82.0, 97.0, 72.0, 2.0, 12.0, 44.0]"
0.020100502512562814,"[12160.0, 2196.0, 784.0, 3948.0, 910.0, 380.0, 326.0, 139.0, 2570.0, 166.0, 512.0, 457.0, 1281.0, 1106.0, 0.0]","[0.0, 2124.0, 9419.0, 24.0, 9365.0, 15396.0, 14323.0, 17383.0, 5648.0, 15829.0, 11697.0, 12449.0, 94.0, 2627.0, 22362.0]","[10264.0, 18075.0, 12111.0, 18449.0, 12013.0, 6582.0, 7614.0, 4722.0, 14151.0, 6301.0, 10064.0, 9418.0, 21045.0, 18656.0, 16.0]","[0.0, 29.0, 110.0, 3.0, 136.0, 66.0, 161.0, 180.0, 55.0, 128.0, 151.0, 100.0, 4.0, 35.0, 46.0]"
0.02512562814070352,"[12160.0, 2171.0, 756.0, 3947.0, 857.0, 365.0, 289.0, 100.0, 2548.0, 119.0, 446.0, 424.0, 1272.0, 1079.0, 0.0]","[0.0, 3147.0, 10881.0, 64.0, 11357.0, 16068.0, 15952.0, 19083.0, 6681.0, 18002.0, 14018.0, 14241.0, 436.0, 4419.0, 22373.0]","[10264.0, 17052.0, 10649.0, 18409.0, 10021.0, 5910.0, 5985.0, 3022.0, 13118.0, 4128.0, 7743.0, 7626.0, 20703.0, 16864.0, 5.0]","[0.0, 54.0, 138.0, 4.0, 189.0, 81.0, 198.0, 219.0, 77.0, 175.0, 217.0, 133.0, 13.0, 62.0, 46.0]"
0.03015075376884422,"[12160.0, 2144.0, 738.0, 3947.0, 818.0, 355.0, 259.0, 77.0, 2521.0, 77.0, 390.0, 382.0, 1258.0, 1015.0, 0.0]","[0.0, 4110.0, 11824.0, 118.0, 12943.0, 16659.0, 17156.0, 20193.0, 7564.0, 19466.0, 15745.0, 15650.0, 1061.0, 6427.0, 22378.0]","[10264.0, 16089.0, 9706.0, 18355.0, 8435.0, 5319.0, 4781.0, 1912.0, 12235.0, 2664.0, 6016.0, 6217.0, 20078.0, 14856.0, 0.0]","[0.0, 81.0, 156.0, 4.0, 228.0, 91.0, 228.0, 242.0, 104.0, 217.0, 273.0, 175.0, 27.0, 126.0, 46.0]"
0.035175879396984924,"[12160.0, 2113.0, 719.0, 3940.0, 774.0, 343.0, 229.0, 55.0, 2488.0, 59.0, 348.0, 350.0, 1232.0, 946.0, 0.0]","[0.0, 5018.0, 12516.0, 203.0, 14189.0, 17120.0, 18036.0, 20845.0, 8300.0, 20487.0, 16985.0, 16696.0, 1889.0, 8306.0, 22378.0]","[10264.0, 15181.0, 9014.0, 18270.0, 7189.0, 4858.0, 3901.0, 1260.0, 11499.0, 1643.0, 4776.0, 5171.0, 19250.0, 12977.0, 0.0]","[0.0, 112.0, 175.0, 11.0, 272.0, 103.0, 258.0, 264.0, 137.0, 235.0, 315.0, 207.0, 53.0, 195.0, 46.0]"
0.04020100502512563,"[12160.0, 2076.0, 704.0, 3936.0, 728.0, 329.0, 203.0, 36.0, 2462.0, 36.0, 318.0, 308.0, 1192.0, 877.0, 0.0]","[0.0, 5866.0, 13099.0, 320.0, 15172.0, 17582.0, 18755.0, 21306.0, 8994.0, 21163.0, 17835.0, 17586.0, 2938.0, 10162.0, 22378.0]","[10264.0, 14333.0, 8431.0, 18153.0, 6206.0, 4396.0, 3182.0, 799.0, 10805.0, 967.0, 3926.0, 4281.0, 18201.0, 11121.0, 0.0]","[0.0, 149.0, 190.0, 15.0, 318.0, 117.0, 284.0, 283.0, 163.0, 258.0, 345.0, 249.0, 93.0, 264.0, 46.0]"
0.04522613065326633,"[12160.0, 2037.0, 679.0, 3930.0, 682.0, 321.0, 185.0, 24.0, 2431.0, 24.0, 294.0, 289.0, 1128.0, 808.0, 0.0]","[0.0, 6676.0, 13591.0, 444.0, 15897.0, 17964.0, 19355.0, 21606.0, 9565.0, 21595.0, 18478.0, 18343.0, 4324.0, 11895.0, 22378.0]","[10264.0, 13523.0, 7939.0, 18029.0, 5481.0, 4014.0, 2582.0, 499.0, 10234.0, 535.0, 3283.0, 3524.0, 16815.0, 9388.0, 0.0]","[0.0, 188.0, 215.0, 21.0, 364.0, 125.0, 302.0, 295.0, 194.0, 270.0, 369.0, 268.0, 157.0, 333.0, 46.0]"
0.05025125628140704,"[12160.0, 2005.0, 666.0, 3921.0, 645.0, 306.0, 164.0, 13.0, 2404.0, 12.0, 268.0, 263.0, 1058.0, 749.0, 0.0]","[0.0, 7492.0, 14044.0, 611.0, 16532.0, 18354.0, 19770.0, 21811.0, 10069.0, 21843.0, 18975.0, 18913.0, 5983.0, 13275.0, 22378.0]","[10264.0, 12707.0, 7486.0, 17862.0, 4846.0, 3624.0, 2167.0, 294.0, 9730.0, 287.0, 2786.0, 2954.0, 15156.0, 8008.0, 0.0]","[0.0, 220.0, 228.0, 30.0, 401.0, 140.0, 323.0, 306.0, 221.0, 282.0, 395.0, 294.0, 227.0, 392.0, 46.0]"
0.05527638190954774,"[12160.0, 1959.0, 647.0, 3915.0, 611.0, 296.0, 150.0, 4.0, 2376.0, 6.0, 248.0, 246.0, 971.0, 692.0, 0.0]","[0.0, 8246.0, 14446.0, 807.0, 16996.0, 18656.0, 20148.0, 21956.0, 10515.0, 22015.0, 19371.0, 19399.0, 7851.0, 14480.0, 22378.0]","[10264.0, 11953.0, 7084.0, 17666.0, 4382.0, 3322.0, 1789.0, 149.0, 9284.0, 115.0, 2390.0, 2468.0, 13288.0, 6803.0, 0.0]","[0.0, 266.0, 247.0, 36.0, 435.0, 150.0, 337.0, 315.0, 249.0, 288.0, 415.0, 311.0, 314.0, 449.0, 46.0]"
0.06030150753768844,"[12160.0, 1904.0, 634.0, 3904.0, 583.0, 277.0, 134.0, 1.0, 2345.0, 2.0, 231.0, 220.0, 858.0, 626.0, 0.0]","[0.0, 8962.0, 14867.0, 1008.0, 17404.0, 18920.0, 20386.0, 22056.0, 10969.0, 22110.0, 19638.0, 19780.0, 9729.0, 15428.0, 22378.0]","[10264.0, 11237.0, 6663.0, 17465.0, 3974.0, 3058.0, 1551.0, 49.0, 8830.0, 20.0, 2123.0, 2087.0, 11410.0, 5855.0, 0.0]","[0.0, 321.0, 260.0, 47.0, 463.0, 169.0, 353.0, 318.0, 280.0, 292.0, 432.0, 337.0, 427.0, 515.0, 46.0]"
0.06532663316582915,"[12160.0, 1861.0, 618.0, 3892.0, 560.0, 260.0, 116.0, 0.0, 2323.0, 1.0, 209.0, 199.0, 745.0, 572.0, 0.0]","[0.0, 9644.0, 15263.0, 1274.0, 17746.0, 19199.0, 20629.0, 22085.0, 11303.0, 22120.0, 19900.0, 20093.0, 11761.0, 16215.0, 22378.0]","[10264.0, 10555.0, 6267.0, 17199.0, 3632.0, 2779.0, 1308.0, 20.0, 8496.0, 10.0, 1861.0, 1774.0, 9378.0, 5068.0, 0.0]","[0.0, 364.0, 276.0, 59.0, 486.0, 186.0, 371.0, 319.0, 302.0, 293.0, 454.0, 358.0, 540.0, 569.0, 46.0]"
0.07035175879396985,"[12160.0, 1824.0, 600.0, 3872.0, 538.0, 241.0, 102.0, 0.0, 2294.0, 0.0, 196.0, 175.0, 630.0, 529.0, 0.0]","[0.0, 10249.0, 15600.0, 1543.0, 18038.0, 19494.0, 20826.0, 22099.0, 11613.0, 22127.0, 20120.0, 20377.0, 13577.0, 16853.0, 22378.0]","[10264.0, 9950.0, 5930.0, 16930.0, 3340.0, 2484.0, 1111.0, 6.0, 8186.0, 3.0, 1641.0, 1490.0, 7562.0, 4430.0, 0.0]","[0.0, 401.0, 294.0, 79.0, 508.0, 205.0, 385.0, 319.0, 331.0, 294.0, 467.0, 382.0, 655.0, 612.0, 46.0]"
0.07537688442211055,"[12160.0, 1777.0, 579.0, 3851.0, 510.0, 221.0, 87.0, 0.0, 2268.0, 0.0, 171.0, 160.0, 528.0, 491.0, 0.0]","[0.0, 10831.0, 15941.0, 1800.0, 18295.0, 19794.0, 20984.0, 22103.0, 11956.0, 22129.0, 20293.0, 20599.0, 15217.0, 17395.0, 22378.0]","[10264.0, 9368.0, 5589.0, 16673.0, 3083.0, 2184.0, 953.0, 2.0, 7843.0, 1.0, 1468.0, 1268.0, 5922.0, 3888.0, 0.0]","[0.0, 448.0, 315.0, 100.0, 536.0, 225.0, 400.0, 319.0, 357.0, 294.0, 492.0, 397.0, 757.0, 650.0, 46.0]"
0.08040201005025126,"[12160.0, 1740.0, 564.0, 3818.0, 487.0, 203.0, 76.0, 0.0, 2240.0, 0.0, 153.0, 144.0, 423.0, 462.0, 0.0]","[0.0, 11368.0, 16250.0, 2105.0, 18532.0, 20112.0, 21127.0, 22103.0, 12232.0, 22130.0, 20478.0, 20768.0, 16540.0, 17831.0, 22378.0]","[10264.0, 8831.0, 5280.0, 16368.0, 2846.0, 1866.0, 810.0, 2.0, 7567.0, 0.0, 1283.0, 1099.0, 4599.0, 3452.0, 0.0]","[0.0, 485.0, 330.0, 133.0, 559.0, 243.0, 411.0, 319.0, 385.0, 294.0, 510.0, 413.0, 862.0, 679.0, 46.0]"
0.08542713567839195,"[12160.0, 1690.0, 543.0, 3787.0, 465.0, 185.0, 61.0, 0.0, 2208.0, 0.0, 137.0, 129.0, 349.0, 434.0, 0.0]","[0.0, 11871.0, 16556.0, 2450.0, 18751.0, 20382.0, 21259.0, 22104.0, 12467.0, 22130.0, 20640.0, 20917.0, 17662.0, 18201.0, 22378.0]","[10264.0, 8328.0, 4974.0, 16023.0, 2627.0, 1596.0, 678.0, 1.0, 7332.0, 0.0, 1121.0, 950.0, 3477.0, 3082.0, 0.0]","[0.0, 535.0, 351.0, 164.0, 581.0, 261.0, 426.0, 319.0, 417.0, 294.0, 526.0, 428.0, 936.0, 707.0, 46.0]"
0.09045226130653267,"[12160.0, 1639.0, 514.0, 3754.0, 446.0, 165.0, 51.0, 0.0, 2193.0, 0.0, 122.0, 118.0, 273.0, 408.0, 0.0]","[0.0, 12332.0, 16857.0, 2813.0, 18954.0, 20623.0, 21371.0, 22105.0, 12716.0, 22130.0, 20787.0, 21048.0, 18561.0, 18482.0, 22378.0]","[10264.0, 7867.0, 4673.0, 15660.0, 2424.0, 1355.0, 566.0, 0.0, 7083.0, 0.0, 974.0, 819.0, 2578.0, 2801.0, 0.0]","[0.0, 586.0, 380.0, 197.0, 600.0, 281.0, 436.0, 319.0, 432.0, 294.0, 541.0, 439.0, 1012.0, 733.0, 46.0]"
0.09547738693467336,"[12160.0, 1591.0, 478.0, 3718.0, 416.0, 148.0, 36.0, 0.0, 2165.0, 0.0, 108.0, 110.0, 198.0, 383.0, 0.0]","[0.0, 12811.0, 17240.0, 3191.0, 19165.0, 20839.0, 21492.0, 22105.0, 12938.0, 22130.0, 20920.0, 21128.0, 19209.0, 18779.0, 22378.0]","[10264.0, 7388.0, 4290.0, 15282.0, 2213.0, 1139.0, 445.0, 0.0, 6861.0, 0.0, 841.0, 739.0, 1930.0, 2504.0, 0.0]","[0.0, 634.0, 416.0, 233.0, 630.0, 298.0, 451.0, 319.0, 460.0, 294.0, 555.0, 447.0, 1087.0, 758.0, 46.0]"
0.10050251256281408,"[12160.0, 1552.0, 448.0, 3682.0, 388.0, 132.0, 29.0, 0.0, 2133.0, 0.0, 95.0, 105.0, 161.0, 365.0, 0.0]","[0.0, 13233.0, 17614.0, 3565.0, 19345.0, 21032.0, 21592.0, 22105.0, 13173.0, 22130.0, 21031.0, 21217.0, 19721.0, 18999.0, 22378.0]","[10264.0, 6966.0, 3916.0, 14908.0, 2033.0, 946.0, 345.0, 0.0, 6626.0, 0.0, 730.0, 650.0, 1418.0, 2284.0, 0.0]","[0.0, 673.0, 446.0, 269.0, 658.0, 314.0, 458.0, 319.0, 492.0, 294.0, 568.0, 452.0, 1124.0, 776.0, 46.0]"
0.10552763819095477,"[12160.0, 1489.0, 411.0, 3631.0, 366.0, 115.0, 25.0, 0.0, 2100.0, 0.0, 85.0, 101.0, 122.0, 348.0, 0.0]","[1.0, 13632.0, 18092.0, 3978.0, 19508.0, 21159.0, 21697.0, 22105.0, 13409.0, 22130.0, 21145.0, 21287.0, 20150.0, 19196.0, 22378.0]","[10263.0, 6567.0, 3438.0, 14495.0, 1870.0, 819.0, 240.0, 0.0, 6390.0, 0.0, 616.0, 580.0, 989.0, 2087.0, 0.0]","[0.0, 736.0, 483.0, 320.0, 680.0, 331.0, 462.0, 319.0, 525.0, 294.0, 578.0, 456.0, 1163.0, 793.0, 46.0]"
0.11055276381909548,"[12160.0, 1435.0, 370.0, 3573.0, 352.0, 98.0, 18.0, 0.0, 2088.0, 0.0, 74.0, 97.0, 81.0, 331.0, 0.0]","[1.0, 14010.0, 18624.0, 4412.0, 19673.0, 21297.0, 21775.0, 22105.0, 13669.0, 22130.0, 21233.0, 21342.0, 20486.0, 19363.0, 22378.0]","[10263.0, 6189.0, 2906.0, 14061.0, 1705.0, 681.0, 162.0, 0.0, 6130.0, 0.0, 528.0, 525.0, 653.0, 1920.0, 0.0]","[0.0, 790.0, 524.0, 378.0, 694.0, 348.0, 469.0, 319.0, 537.0, 294.0, 589.0, 460.0, 1204.0, 810.0, 46.0]"
0.11557788944723618,"[12160.0, 1380.0, 325.0, 3520.0, 330.0, 84.0, 8.0, 0.0, 2060.0, 0.0, 58.0, 92.0, 63.0, 310.0, 0.0]","[3.0, 14358.0, 19089.0, 4846.0, 19803.0, 21432.0, 21825.0, 22105.0, 13891.0, 22130.0, 21320.0, 21397.0, 20741.0, 19518.0, 22378.0]","[10261.0, 5841.0, 2441.0, 13627.0, 1575.0, 546.0, 112.0, 0.0, 5908.0, 0.0, 441.0, 470.0, 398.0, 1765.0, 0.0]","[0.0, 845.0, 569.0, 431.0, 716.0, 362.0, 479.0, 319.0, 565.0, 294.0, 605.0, 465.0, 1222.0, 831.0, 46.0]"
0.12060301507537688,"[12160.0, 1343.0, 280.0, 3465.0, 306.0, 64.0, 4.0, 0.0, 2039.0, 0.0, 46.0, 85.0, 36.0, 293.0, 0.0]","[6.0, 14681.0, 19526.0, 5337.0, 19925.0, 21569.0, 21878.0, 22105.0, 14135.0, 22130.0, 21386.0, 21433.0, 20913.0, 19662.0, 22378.0]","[10258.0, 5518.0, 2004.0, 13136.0, 1453.0, 409.0, 59.0, 0.0, 5664.0, 0.0, 375.0, 434.0, 226.0, 1621.0, 0.0]","[0.0, 882.0, 614.0, 486.0, 740.0, 382.0, 483.0, 319.0, 586.0, 294.0, 617.0, 472.0, 1249.0, 848.0, 46.0]"
0.12562814070351758,"[12160.0, 1299.0, 234.0, 3379.0, 294.0, 43.0, 2.0, 0.0, 2002.0, 0.0, 39.0, 82.0, 17.0, 274.0, 0.0]","[7.0, 14980.0, 19898.0, 5845.0, 20040.0, 21717.0, 21906.0, 22105.0, 14343.0, 22130.0, 21449.0, 21473.0, 21027.0, 19793.0, 22378.0]","[10257.0, 5219.0, 1632.0, 12628.0, 1338.0, 261.0, 31.0, 0.0, 5456.0, 0.0, 312.0, 394.0, 112.0, 1490.0, 0.0]","[0.0, 926.0, 660.0, 572.0, 752.0, 403.0, 485.0, 319.0, 623.0, 294.0, 624.0, 475.0, 1268.0, 867.0, 46.0]"
0.1306532663316583,"[12159.0, 1255.0, 191.0, 3295.0, 273.0, 28.0, 2.0, 0.0, 1969.0, 0.0, 34.0, 79.0, 3.0, 260.0, 0.0]","[10.0, 15278.0, 20241.0, 6420.0, 20143.0, 21816.0, 21923.0, 22105.0, 14555.0, 22130.0, 21499.0, 21499.0, 21107.0, 19914.0, 22378.0]","[10254.0, 4921.0, 1289.0, 12053.0, 1235.0, 162.0, 14.0, 0.0, 5244.0, 0.0, 262.0, 368.0, 32.0, 1369.0, 0.0]","[1.0, 970.0, 703.0, 656.0, 773.0, 418.0, 485.0, 319.0, 656.0, 294.0, 629.0, 478.0, 1282.0, 881.0, 46.0]"
