thresholds,TP,TN,FP,FN
-1e-07,"[12160.  2225.   894.  3951.  1046.   446.   487.   319.  2625.   294.
   663.   557.  1285.  1141.    46.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10264. 20199. 21530. 18473. 21378. 21978. 21937. 22105. 19799. 22130.
 21761. 21867. 21139. 21283. 22378.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[12160.  2210.   866.  3951.  1010.   411.   456.   299.  2580.   264.
   637.   518.  1283.  1132.    19.]","[0.0000e+00 1.4870e+03 4.9860e+03 1.5000e+01 4.8410e+03 1.1891e+04
 6.6540e+03 4.6030e+03 4.2930e+03 6.4990e+03 2.9060e+03 8.3430e+03
 1.6000e+02 9.5400e+02 1.8331e+04]","[10264. 18712. 16544. 18458. 16537. 10087. 15283. 17502. 15506. 15631.
 18855. 13524. 20979. 20329.  4047.]",[ 0. 15. 28.  0. 36. 35. 31. 20. 45. 30. 26. 39.  2.  9. 27.]
0.010050251256281407,"[1.216e+04 2.168e+03 8.440e+02 3.951e+03 9.660e+02 3.910e+02 4.220e+02
 2.670e+02 2.549e+03 2.400e+02 5.890e+02 4.690e+02 1.276e+03 1.112e+03
 5.000e+00]","[    0.  3233.  7581.    65.  7858. 14056.  9884.  9725.  6455. 10492.
  6765. 11804.   505.  2853. 21646.]","[10264. 16966. 13949. 18408. 13520.  7922. 12053. 12380. 13344. 11638.
 14996. 10063. 20634. 18430.   732.]",[ 0. 57. 50.  0. 80. 55. 65. 52. 76. 54. 74. 88.  9. 29. 41.]
0.01507537688442211,"[12160.  2138.   814.  3947.   912.   380.   382.   219.  2500.   205.
   548.   420.  1262.  1076.     0.]","[    0.  4652.  9193.   140. 10112. 15280. 12193. 13188.  7791. 13362.
  9842. 13962.  1114.  4917. 22250.]","[10264. 15547. 12337. 18333. 11266.  6698.  9744.  8917. 12008.  8768.
 11919.  7905. 20025. 16366.   128.]","[  0.  87.  80.   4. 134.  66. 105. 100. 125.  89. 115. 137.  23.  65.
  46.]"
0.020100502512562814,"[12160.  2101.   789.  3944.   867.   363.   355.   181.  2475.   171.
   499.   382.  1234.  1031.     0.]","[    0.  5736. 10289.   264. 11800. 16120. 13876. 15476.  8771. 15412.
 12100. 15550.  2177.  6847. 22358.]","[10264. 14463. 11241. 18209.  9578.  5858.  8061.  6629. 11028.  6718.
  9661.  6317. 18962. 14436.    20.]","[  0. 124. 105.   7. 179.  83. 132. 138. 150. 123. 164. 175.  51. 110.
  46.]"
0.02512562814070352,"[12160.  2069.   772.  3937.   827.   349.   333.   154.  2446.   133.
   465.   354.  1183.   979.     0.]","[    0.  6623. 11135.   384. 13036. 16714. 15024. 17054.  9482. 16999.
 13739. 16754.  3665.  8507. 22376.]","[1.0264e+04 1.3576e+04 1.0395e+04 1.8089e+04 8.3420e+03 5.2640e+03
 6.9130e+03 5.0510e+03 1.0317e+04 5.1310e+03 8.0220e+03 5.1130e+03
 1.7474e+04 1.2776e+04 2.0000e+00]","[  0. 156. 122.  14. 219.  97. 154. 165. 179. 161. 198. 203. 102. 162.
  46.]"
0.03015075376884422,"[12160.  2032.   745.  3926.   795.   342.   315.   124.  2424.   102.
   424.   324.  1123.   937.     0.]","[    0.  7352. 11870.   553. 13964. 17177. 15849. 18302. 10055. 18167.
 14986. 17719.  5306.  9881. 22378.]","[10264. 12847.  9660. 17920.  7414.  4801.  6088.  3803.  9744.  3963.
  6775.  4148. 15833. 11402.     0.]","[  0. 193. 149.  25. 251. 104. 172. 195. 201. 192. 239. 233. 162. 204.
  46.]"
0.035175879396984924,"[12160.  1997.   721.  3915.   768.   324.   300.    94.  2396.    86.
   393.   286.  1056.   893.     0.]","[    0.  8054. 12513.   729. 14698. 17558. 16589. 19230. 10488. 19159.
 15946. 18467.  7038. 11069. 22378.]","[10264. 12145.  9017. 17744.  6680.  4420.  5348.  2875.  9311.  2971.
  5815.  3400. 14101. 10214.     0.]","[  0. 228. 173.  36. 278. 122. 187. 225. 229. 208. 270. 271. 229. 248.
  46.]"
0.04020100502512563,"[12160.  1964.   697.  3903.   749.   309.   286.    68.  2374.    62.
   368.   262.   991.   865.     0.]","[    0.  8683. 13042.   971. 15295. 17843. 17192. 20036. 10922. 19863.
 16724. 19040.  8653. 12106. 22378.]","[10264. 11516.  8488. 17502.  6083.  4135.  4745.  2069.  8877.  2267.
  5037.  2827. 12486.  9177.     0.]","[  0. 261. 197.  48. 297. 137. 201. 251. 251. 232. 295. 295. 294. 276.
  46.]"
0.04522613065326633,"[12160.  1923.   682.  3886.   725.   296.   269.    51.  2350.    47.
   341.   246.   936.   824.     0.]","[    0.  9321. 13575.  1265. 15764. 18147. 17681. 20707. 11304. 20447.
 17407. 19507.  9990. 12929. 22378.]","[10264. 10878.  7955. 17208.  5614.  3831.  4256.  1398.  8495.  1683.
  4354.  2360. 11149.  8354.     0.]","[  0. 302. 212.  65. 321. 150. 218. 268. 275. 247. 322. 311. 349. 317.
  46.]"
