thresholds,TP,TN,FP,FN
-1e-07,"[12099.  2346.   954.  3983.  1037.   479.   515.   303.  2585.   304.
   687.   527.  1228.  1188.    38.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10325. 20078. 21470. 18441. 21387. 21945. 21909. 22121. 19839. 22120.
 21737. 21897. 21196. 21236. 22386.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[1.2099e+04 2.3310e+03 9.1000e+02 3.9830e+03 9.8400e+02 4.5000e+02
 4.8400e+02 2.8400e+02 2.5700e+03 2.5600e+02 6.7100e+02 5.0200e+02
 1.2270e+03 1.1790e+03 4.0000e+00]","[0.0000e+00 1.4840e+03 5.7100e+03 2.0000e+00 5.9420e+03 1.1449e+04
 6.2810e+03 4.9290e+03 2.8020e+03 7.8760e+03 2.4990e+03 6.7840e+03
 7.0000e+00 9.6100e+02 2.1264e+04]","[10325. 18594. 15760. 18439. 15445. 10496. 15628. 17192. 17037. 14244.
 19238. 15113. 21189. 20275.  1122.]",[ 0. 15. 44.  0. 53. 29. 31. 19. 15. 48. 16. 25.  1.  9. 34.]
0.010050251256281407,"[12099.  2304.   879.  3981.   929.   418.   442.   239.  2541.   226.
   626.   485.  1225.  1122.     0.]","[    0.  2983.  8659.    61.  8895. 14176. 10142. 10203.  4910. 11917.
  6687.  9330.    81.  3480. 22364.]","[10325. 17095. 12811. 18380. 12492.  7769. 11767. 11918. 14929. 10203.
 15050. 12567. 21115. 17756.    22.]","[  0.  42.  75.   2. 108.  61.  73.  64.  44.  78.  61.  42.   3.  66.
  38.]"
0.01507537688442211,"[12099.  2263.   844.  3973.   889.   409.   408.   190.  2507.   191.
   581.   466.  1218.  1065.     0.]","[    0.  4161. 10244.   267. 10816. 15445. 12867. 13741.  6404. 14524.
  9725. 11335.   336.  5773. 22386.]","[10325. 15917. 11226. 18174. 10571.  6500.  9042.  8380. 13435.  7596.
 12012. 10562. 20860. 15463.     0.]","[  0.  83. 110.  10. 148.  70. 107. 113.  78. 113. 106.  61.  10. 123.
  38.]"
0.020100502512562814,"[12099.  2239.   817.  3964.   859.   399.   369.   161.  2483.   168.
   543.   447.  1191.  1009.     0.]","[    0.  5106. 11238.   533. 12286. 16188. 14810. 16081.  7497. 16281.
 12010. 12988.  1068.  7642. 22386.]","[10325. 14972. 10232. 17908.  9101.  5757.  7099.  6040. 12342.  5839.
  9727.  8909. 20128. 13594.     0.]","[  0. 107. 137.  19. 178.  80. 146. 142. 102. 136. 144.  80.  37. 179.
  38.]"
0.02512562814070352,"[12099.  2206.   801.  3946.   821.   387.   327.   127.  2452.   145.
   489.   423.  1157.   963.     0.]","[    0.  5915. 11956.   797. 13460. 16718. 16284. 17754.  8285. 17407.
 13732. 14375.  2349.  9257. 22386.]","[10325. 14163.  9514. 17644.  7927.  5227.  5625.  4367. 11554.  4713.
  8005.  7522. 18847. 11979.     0.]","[  0. 140. 153.  37. 216.  92. 188. 176. 133. 159. 198. 104.  71. 225.
  38.]"
0.03015075376884422,"[12099.  2171.   785.  3933.   796.   373.   287.   100.  2427.   125.
   455.   399.  1089.   915.     0.]","[    0.  6584. 12534.  1051. 14414. 17124. 17389. 19022.  8930. 18292.
 15011. 15520.  4129. 10782. 22386.]","[10325. 13494.  8936. 17390.  6973.  4821.  4520.  3099. 10909.  3828.
  6726.  6377. 17067. 10454.     0.]","[  0. 175. 169.  50. 241. 106. 228. 203. 158. 179. 232. 128. 139. 273.
  38.]"
0.035175879396984924,"[12099.  2142.   766.  3920.   762.   361.   259.    81.  2406.   113.
   418.   368.  1003.   849.     0.]","[    0.  7285. 13054.  1294. 15170. 17472. 18224. 19883.  9500. 18960.
 16051. 16399.  6266. 12070. 22386.]","[10325. 12793.  8416. 17147.  6217.  4473.  3685.  2238. 10339.  3160.
  5686.  5498. 14930.  9166.     0.]","[  0. 204. 188.  63. 275. 118. 256. 222. 179. 191. 269. 159. 225. 339.
  38.]"
0.04020100502512563,"[12099.  2117.   753.  3899.   727.   356.   236.    64.  2388.    90.
   388.   343.   910.   800.     0.]","[    0.  7885. 13575.  1564. 15809. 17751. 18883. 20566.  9967. 19534.
 16847. 17099.  8329. 13112. 22386.]","[10325. 12193.  7895. 16877.  5578.  4194.  3026.  1555.  9872.  2586.
  4890.  4798. 12867.  8124.     0.]","[  0. 229. 201.  84. 310. 123. 279. 239. 197. 214. 299. 184. 318. 388.
  38.]"
0.04522613065326633,"[12099.  2067.   736.  3884.   698.   349.   209.    46.  2369.    79.
   367.   322.   797.   743.     0.]","[    0.  8481. 14026.  1808. 16378. 18005. 19383. 21082. 10366. 20075.
 17510. 17692. 10340. 14074. 22386.]","[10325. 11597.  7444. 16633.  5009.  3940.  2526.  1039.  9473.  2045.
  4227.  4205. 10856.  7162.     0.]","[  0. 279. 218.  99. 339. 130. 306. 257. 216. 225. 320. 205. 431. 445.
  38.]"
