thresholds,TP,TN,FP,FN
-1e-07,"[12160.  2225.   894.  3951.  1046.   446.   487.   319.  2625.   294.
   663.   557.  1285.  1141.    46.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10264. 20199. 21530. 18473. 21378. 21978. 21937. 22105. 19799. 22130.
 21761. 21867. 21139. 21283. 22378.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[12160.  2225.   891.  3951.  1026.   425.   457.   300.  2622.   283.
   656.   553.  1285.  1139.    15.]","[0.0000e+00 2.9500e+02 8.8300e+02 1.0000e+00 2.6510e+03 8.9750e+03
 6.1480e+03 5.2490e+03 1.2190e+03 3.7480e+03 1.9830e+03 5.6530e+03
 3.0000e+00 3.0100e+02 1.7963e+04]","[10264. 19904. 20647. 18472. 18727. 13003. 15789. 16856. 18580. 18382.
 19778. 16214. 21136. 20982.  4415.]",[ 0.  0.  3.  0. 20. 21. 30. 19.  3. 11.  7.  4.  0.  2. 31.]
0.010050251256281407,"[1.216e+04 2.220e+03 8.710e+02 3.951e+03 9.940e+02 4.080e+02 4.320e+02
 2.600e+02 2.607e+03 2.530e+02 6.140e+02 5.400e+02 1.285e+03 1.131e+03
 2.000e+00]","[0.0000e+00 1.0980e+03 3.4470e+03 2.0000e+00 6.0970e+03 1.2251e+04
 9.9720e+03 1.0133e+04 3.0390e+03 8.8400e+03 5.5110e+03 9.2880e+03
 9.3000e+01 1.5880e+03 2.1825e+04]","[10264. 19101. 18083. 18471. 15281.  9727. 11965. 11972. 16760. 13290.
 16250. 12579. 21046. 19695.   553.]",[ 0.  5. 23.  0. 52. 38. 55. 59. 18. 41. 49. 17.  0. 10. 44.]
0.01507537688442211,"[12160.  2205.   852.  3951.   960.   392.   390.   210.  2593.   206.
   571.   521.  1277.  1107.     0.]","[0.0000e+00 1.8800e+03 5.7930e+03 4.0000e+00 8.6630e+03 1.4022e+04
 1.2423e+04 1.3778e+04 4.5390e+03 1.2793e+04 8.5460e+03 1.1813e+04
 5.7000e+02 3.3540e+03 2.2361e+04]","[1.0264e+04 1.8319e+04 1.5737e+04 1.8469e+04 1.2715e+04 7.9560e+03
 9.5140e+03 8.3270e+03 1.5260e+04 9.3370e+03 1.3215e+04 1.0054e+04
 2.0569e+04 1.7929e+04 1.7000e+01]","[  0.  20.  42.   0.  86.  54.  97. 109.  32.  88.  92.  36.   8.  34.
  46.]"
0.020100502512562814,"[12160.  2194.   830.  3950.   920.   378.   370.   166.  2575.   177.
   533.   495.  1256.  1084.     0.]","[0.0000e+00 2.6230e+03 7.6870e+03 6.0000e+00 1.0620e+04 1.5184e+04
 1.4048e+04 1.6503e+04 5.7190e+03 1.5488e+04 1.0962e+04 1.3656e+04
 1.5500e+03 5.2800e+03 2.2378e+04]","[10264. 17576. 13843. 18467. 10758.  6794.  7889.  5602. 14080.  6642.
 10799.  8211. 19589. 16003.     0.]","[  0.  31.  64.   1. 126.  68. 117. 153.  50. 117. 130.  62.  29.  57.
  46.]"
0.02512562814070352,"[12160.  2176.   816.  3950.   864.   371.   345.   128.  2555.   146.
   495.   470.  1226.  1045.     0.]","[0.0000e+00 3.3250e+03 9.0210e+03 1.4000e+01 1.2040e+04 1.6066e+04
 1.5259e+04 1.8513e+04 6.6940e+03 1.7121e+04 1.2895e+04 1.5070e+04
 2.9680e+03 7.0840e+03 2.2378e+04]","[10264. 16874. 12509. 18459.  9338.  5912.  6678.  3592. 13105.  5009.
  8866.  6797. 18171. 14199.     0.]","[  0.  49.  78.   1. 182.  75. 142. 191.  70. 148. 168.  87.  59.  96.
  46.]"
0.03015075376884422,"[12160.  2163.   799.  3950.   825.   358.   322.    82.  2540.   114.
   452.   438.  1181.   991.     0.]","[    0.  4000.  9980.    30. 13162. 16744. 16231. 19886.  7493. 18235.
 14358. 16199.  4612.  8720. 22378.]","[10264. 16199. 11550. 18443.  8216.  5234.  5706.  2219. 12306.  3895.
  7403.  5668. 16527. 12563.     0.]","[  0.  62.  95.   1. 221.  88. 165. 237.  85. 180. 211. 119. 104. 150.
  46.]"
0.035175879396984924,"[12160.  2152.   786.  3949.   800.   341.   295.    46.  2527.    94.
   421.   417.  1116.   955.     0.]","[    0.  4658. 10746.    69. 14059. 17323. 17026. 20806.  8192. 19136.
 15460. 17071.  6328. 10090. 22378.]","[10264. 15541. 10784. 18404.  7319.  4655.  4911.  1299. 11607.  2994.
  6301.  4796. 14811. 11193.     0.]","[  0.  73. 108.   2. 246. 105. 192. 273.  98. 200. 242. 140. 169. 186.
  46.]"
0.04020100502512563,"[12160.  2136.   764.  3948.   777.   329.   267.    20.  2516.    74.
   389.   397.  1050.   918.     0.]","[    0.  5304. 11316.   145. 14795. 17795. 17684. 21449.  8737. 19990.
 16344. 17757.  7949. 11292. 22378.]","[10264. 14895. 10214. 18328.  6583.  4183.  4253.   656. 11062.  2140.
  5417.  4110. 13190.  9991.     0.]","[  0.  89. 130.   3. 269. 117. 220. 299. 109. 220. 274. 160. 235. 223.
  46.]"
0.04522613065326633,"[1.216e+04 2.112e+03 7.440e+02 3.947e+03 7.400e+02 3.220e+02 2.430e+02
 3.000e+00 2.504e+03 4.600e+01 3.630e+02 3.710e+02 9.910e+02 8.840e+02
 0.000e+00]","[    0.  5989. 11843.   297. 15402. 18198. 18279. 21839.  9216. 20728.
 17111. 18353.  9473. 12344. 22378.]","[10264. 14210.  9687. 18176.  5976.  3780.  3658.   266. 10583.  1402.
  4650.  3514. 11666.  8939.     0.]","[  0. 113. 150.   4. 306. 124. 244. 316. 121. 248. 300. 186. 294. 257.
  46.]"
0.05025125628140704,"[1.216e+04 2.097e+03 7.260e+02 3.933e+03 7.180e+02 3.100e+02 2.190e+02
 1.000e+00 2.486e+03 2.900e+01 3.420e+02 3.560e+02 9.250e+02 8.510e+02
 0.000e+00]","[    0.  6648. 12324.   515. 15933. 18535. 18784. 22008.  9643. 21418.
 17690. 18829. 10887. 13204. 22378.]","[10264. 13551.  9206. 17958.  5445.  3443.  3153.    97. 10156.   712.
  4071.  3038. 10252.  8079.     0.]","[  0. 128. 168.  18. 328. 136. 268. 318. 139. 265. 321. 201. 360. 290.
  46.]"
0.05527638190954774,"[12160.  2071.   709.  3922.   692.   300.   196.     0.  2472.    13.
   316.   346.   861.   811.     0.]","[    0.  7227. 12793.   768. 16383. 18861. 19281. 22086. 10017. 21829.
 18209. 19198. 12088. 14021. 22378.]","[10264. 12972.  8737. 17705.  4995.  3117.  2656.    19.  9782.   301.
  3552.  2669.  9051.  7262.     0.]","[  0. 154. 185.  29. 354. 146. 291. 319. 153. 281. 347. 211. 424. 330.
  46.]"
0.06030150753768844,"[1.216e+04 2.044e+03 6.960e+02 3.909e+03 6.730e+02 2.860e+02 1.670e+02
 0.000e+00 2.458e+03 9.000e+00 2.970e+02 3.360e+02 7.830e+02 7.690e+02
 0.000e+00]","[1.0000e+00 7.8280e+03 1.3208e+04 1.0670e+03 1.6762e+04 1.9129e+04
 1.9719e+04 2.2098e+04 1.0384e+04 2.2037e+04 1.8650e+04 1.9532e+04
 1.3187e+04 1.4710e+04 2.2378e+04]","[1.0263e+04 1.2371e+04 8.3220e+03 1.7406e+04 4.6160e+03 2.8490e+03
 2.2180e+03 7.0000e+00 9.4150e+03 9.3000e+01 3.1110e+03 2.3350e+03
 7.9520e+03 6.5730e+03 0.0000e+00]","[  0. 181. 198.  42. 373. 160. 320. 319. 167. 285. 366. 221. 502. 372.
  46.]"
0.06532663316582915,"[1.216e+04 2.012e+03 6.790e+02 3.894e+03 6.360e+02 2.730e+02 1.450e+02
 0.000e+00 2.443e+03 2.000e+00 2.720e+02 3.240e+02 7.260e+02 7.360e+02
 0.000e+00]","[1.0000e+00 8.3300e+03 1.3603e+04 1.4060e+03 1.7096e+04 1.9391e+04
 2.0078e+04 2.2100e+04 1.0699e+04 2.2112e+04 1.9064e+04 1.9797e+04
 1.4205e+04 1.5342e+04 2.2378e+04]","[1.0263e+04 1.1869e+04 7.9270e+03 1.7067e+04 4.2820e+03 2.5870e+03
 1.8590e+03 5.0000e+00 9.1000e+03 1.8000e+01 2.6970e+03 2.0700e+03
 6.9340e+03 5.9410e+03 0.0000e+00]","[  0. 213. 215.  57. 410. 173. 342. 319. 182. 292. 391. 233. 559. 405.
  46.]"
0.07035175879396985,"[1.216e+04 1.986e+03 6.660e+02 3.876e+03 6.080e+02 2.590e+02 1.260e+02
 0.000e+00 2.426e+03 1.000e+00 2.460e+02 3.050e+02 6.710e+02 7.030e+02
 0.000e+00]","[1.0000e+00 8.8220e+03 1.4041e+04 1.7730e+03 1.7440e+04 1.9642e+04
 2.0410e+04 2.2105e+04 1.1000e+04 2.2129e+04 1.9409e+04 2.0023e+04
 1.5068e+04 1.5890e+04 2.2378e+04]","[1.0263e+04 1.1377e+04 7.4890e+03 1.6700e+04 3.9380e+03 2.3360e+03
 1.5270e+03 0.0000e+00 8.7990e+03 1.0000e+00 2.3520e+03 1.8440e+03
 6.0710e+03 5.3930e+03 0.0000e+00]","[  0. 239. 228.  75. 438. 187. 361. 319. 199. 293. 417. 252. 614. 438.
  46.]"
0.07537688442211055,"[12160.  1967.   641.  3850.   591.   238.   100.     0.  2409.     0.
   216.   289.   626.   666.     0.]","[2.0000e+00 9.3000e+03 1.4417e+04 2.1360e+03 1.7735e+04 1.9875e+04
 2.0684e+04 2.2105e+04 1.1300e+04 2.2130e+04 1.9744e+04 2.0219e+04
 1.5815e+04 1.6387e+04 2.2378e+04]","[10262. 10899.  7113. 16337.  3643.  2103.  1253.     0.  8499.     0.
  2017.  1648.  5324.  4896.     0.]","[  0. 258. 253. 101. 455. 208. 387. 319. 216. 294. 447. 268. 659. 475.
  46.]"
0.08040201005025126,"[12160.  1949.   630.  3820.   551.   226.    84.     0.  2393.     0.
   193.   277.   574.   639.     0.]","[4.0000e+00 9.7230e+03 1.4812e+04 2.5040e+03 1.8037e+04 2.0091e+04
 2.0912e+04 2.2105e+04 1.1540e+04 2.2130e+04 2.0046e+04 2.0385e+04
 1.6462e+04 1.6803e+04 2.2378e+04]","[10260. 10476.  6718. 15969.  3341.  1887.  1025.     0.  8259.     0.
  1715.  1482.  4677.  4480.     0.]","[  0. 276. 264. 131. 495. 220. 403. 319. 232. 294. 470. 280. 711. 502.
  46.]"
0.08542713567839195,"[12160.  1929.   602.  3787.   528.   203.    69.     0.  2376.     0.
   165.   263.   534.   617.     0.]","[4.0000e+00 1.0144e+04 1.5170e+04 2.9290e+03 1.8314e+04 2.0282e+04
 2.1134e+04 2.2105e+04 1.1784e+04 2.2130e+04 2.0302e+04 2.0511e+04
 1.6997e+04 1.7154e+04 2.2378e+04]","[10260. 10055.  6360. 15544.  3064.  1696.   803.     0.  8015.     0.
  1459.  1356.  4142.  4129.     0.]","[  0. 296. 292. 164. 518. 243. 418. 319. 249. 294. 498. 294. 751. 524.
  46.]"
0.09045226130653267,"[12160.  1902.   584.  3742.   497.   183.    52.     0.  2368.     0.
   143.   250.   480.   581.     0.]","[6.0000e+00 1.0551e+04 1.5530e+04 3.3800e+03 1.8560e+04 2.0458e+04
 2.1324e+04 2.2105e+04 1.2011e+04 2.2130e+04 2.0538e+04 2.0654e+04
 1.7555e+04 1.7489e+04 2.2378e+04]","[10258.  9648.  6000. 15093.  2818.  1520.   613.     0.  7788.     0.
  1223.  1213.  3584.  3794.     0.]","[  0. 323. 310. 209. 549. 263. 435. 319. 257. 294. 520. 307. 805. 560.
  46.]"
0.09547738693467336,"[12159.  1867.   569.  3696.   475.   162.    44.     0.  2354.     0.
   123.   234.   437.   562.     0.]","[1.1000e+01 1.0912e+04 1.5881e+04 3.8080e+03 1.8786e+04 2.0624e+04
 2.1479e+04 2.2105e+04 1.2249e+04 2.2130e+04 2.0710e+04 2.0745e+04
 1.8023e+04 1.7794e+04 2.2378e+04]","[10253.  9287.  5649. 14665.  2592.  1354.   458.     0.  7550.     0.
  1051.  1122.  3116.  3489.     0.]","[  1. 358. 325. 255. 571. 284. 443. 319. 271. 294. 540. 323. 848. 579.
  46.]"
0.10050251256281408,"[12158.  1830.   539.  3633.   445.   150.    34.     0.  2330.     0.
   106.   221.   403.   531.     0.]","[1.7000e+01 1.1282e+04 1.6220e+04 4.3000e+03 1.8974e+04 2.0786e+04
 2.1638e+04 2.2105e+04 1.2479e+04 2.2130e+04 2.0879e+04 2.0842e+04
 1.8391e+04 1.8079e+04 2.2378e+04]","[10247.  8917.  5310. 14173.  2404.  1192.   299.     0.  7320.     0.
   882.  1025.  2748.  3204.     0.]","[  2. 395. 355. 318. 601. 296. 453. 319. 295. 294. 557. 336. 882. 610.
  46.]"
0.10552763819095477,"[12158.  1794.   514.  3561.   417.   131.    23.     0.  2319.     0.
    84.   212.   377.   509.     0.]","[2.1000e+01 1.1625e+04 1.6538e+04 4.7870e+03 1.9200e+04 2.0942e+04
 2.1752e+04 2.2105e+04 1.2673e+04 2.2130e+04 2.1026e+04 2.0917e+04
 1.8703e+04 1.8330e+04 2.2378e+04]","[10243.  8574.  4992. 13686.  2178.  1036.   185.     0.  7126.     0.
   735.   950.  2436.  2953.     0.]","[  2. 431. 380. 390. 629. 315. 464. 319. 306. 294. 579. 345. 908. 632.
  46.]"
0.11055276381909548,"[1.2158e+04 1.7570e+03 4.9000e+02 3.4930e+03 3.8800e+02 1.1500e+02
 1.1000e+01 0.0000e+00 2.3000e+03 0.0000e+00 7.0000e+01 2.0100e+02
 3.4900e+02 4.8700e+02 0.0000e+00]","[   29. 11964. 16925.  5313. 19407. 21070. 21842. 22105. 12853. 22130.
 21154. 21003. 19001. 18554. 22378.]","[10235.  8235.  4605. 13160.  1971.   908.    95.     0.  6946.     0.
   607.   864.  2138.  2729.     0.]","[  2. 468. 404. 458. 658. 331. 476. 319. 325. 294. 593. 356. 936. 654.
  46.]"
0.11557788944723618,"[1.2158e+04 1.7180e+03 4.6500e+02 3.4260e+03 3.6100e+02 1.1000e+02
 4.0000e+00 0.0000e+00 2.2800e+03 0.0000e+00 5.9000e+01 1.9700e+02
 3.3400e+02 4.6100e+02 0.0000e+00]","[   36. 12274. 17311.  5858. 19599. 21186. 21904. 22105. 13044. 22130.
 21254. 21078. 19240. 18751. 22378.]","[10228.  7925.  4219. 12615.  1779.   792.    33.     0.  6755.     0.
   507.   789.  1899.  2532.     0.]","[  2. 507. 429. 525. 685. 336. 483. 319. 345. 294. 604. 360. 951. 680.
  46.]"
0.12060301507537688,"[1.2155e+04 1.6920e+03 4.3100e+02 3.3620e+03 3.3500e+02 9.7000e+01
 1.0000e+00 0.0000e+00 2.2640e+03 0.0000e+00 5.3000e+01 1.8800e+02
 3.1000e+02 4.4100e+02 0.0000e+00]","[   44. 12560. 17701.  6332. 19774. 21279. 21933. 22105. 13216. 22130.
 21344. 21149. 19444. 18945. 22378.]","[1.0220e+04 7.6390e+03 3.8290e+03 1.2141e+04 1.6040e+03 6.9900e+02
 4.0000e+00 0.0000e+00 6.5830e+03 0.0000e+00 4.1700e+02 7.1800e+02
 1.6950e+03 2.3380e+03 0.0000e+00]","[  5. 533. 463. 589. 711. 349. 486. 319. 361. 294. 610. 369. 975. 700.
  46.]"
0.12562814070351758,"[12154.  1655.   406.  3289.   310.    86.     0.     0.  2242.     0.
    46.   183.   280.   419.     0.]","[   50. 12872. 18110.  6826. 19919. 21384. 21937. 22105. 13402. 22130.
 21428. 21194. 19633. 19101. 22378.]","[10214.  7327.  3420. 11647.  1459.   594.     0.     0.  6397.     0.
   333.   673.  1506.  2182.     0.]","[   6.  570.  488.  662.  736.  360.  487.  319.  383.  294.  617.  374.
 1005.  722.   46.]"
0.1306532663316583,"[12152.  1622.   374.  3216.   291.    72.     0.     0.  2222.     0.
    39.   181.   252.   399.     0.]","[   62. 13188. 18563.  7303. 20057. 21480. 21937. 22105. 13586. 22130.
 21483. 21235. 19814. 19281. 22378.]","[10202.  7011.  2967. 11170.  1321.   498.     0.     0.  6213.     0.
   278.   632.  1325.  2002.     0.]","[   8.  603.  520.  735.  755.  374.  487.  319.  403.  294.  624.  376.
 1033.  742.   46.]"
0.135678391959799,"[12150.  1587.   344.  3132.   271.    56.     0.     0.  2204.     0.
    29.   172.   238.   379.     0.]","[   77. 13485. 18988.  7722. 20174. 21589. 21937. 22105. 13758. 22130.
 21536. 21271. 19955. 19435. 22378.]","[10187.  6714.  2542. 10751.  1204.   389.     0.     0.  6041.     0.
   225.   596.  1184.  1848.     0.]","[  10.  638.  550.  819.  775.  390.  487.  319.  421.  294.  634.  385.
 1047.  762.   46.]"
0.1407035175879397,"[12146.  1556.   291.  3064.   255.    42.     0.     0.  2183.     0.
    23.   165.   216.   356.     0.]","[   90. 13792. 19385.  8172. 20292. 21694. 21937. 22105. 13920. 22130.
 21576. 21301. 20101. 19572. 22378.]","[10174.  6407.  2145. 10301.  1086.   284.     0.     0.  5879.     0.
   185.   566.  1038.  1711.     0.]","[  14.  669.  603.  887.  791.  404.  487.  319.  442.  294.  640.  392.
 1069.  785.   46.]"
0.1457286432160804,"[12142.  1521.   250.  2990.   233.    23.     0.     0.  2159.     0.
    19.   158.   199.   328.     0.]","[  108. 14108. 19797.  8576. 20410. 21806. 21937. 22105. 14096. 22130.
 21618. 21339. 20227. 19698. 22378.]","[10156.  6091.  1733.  9897.   968.   172.     0.     0.  5703.     0.
   143.   528.   912.  1585.     0.]","[  18.  704.  644.  961.  813.  423.  487.  319.  466.  294.  644.  399.
 1086.  813.   46.]"
0.1507537688442211,"[12133.  1484.   207.  2917.   219.    13.     0.     0.  2140.     0.
    16.   156.   172.   316.     0.]","[  128. 14358. 20201.  9013. 20510. 21880. 21937. 22105. 14265. 22130.
 21649. 21368. 20337. 19817. 22378.]","[10136.  5841.  1329.  9460.   868.    98.     0.     0.  5534.     0.
   112.   499.   802.  1466.     0.]","[  27.  741.  687. 1034.  827.  433.  487.  319.  485.  294.  647.  401.
 1113.  825.   46.]"
0.15577889447236182,"[1.2127e+04 1.4570e+03 1.3000e+02 2.8600e+03 2.0200e+02 3.0000e+00
 0.0000e+00 0.0000e+00 2.1210e+03 0.0000e+00 1.1000e+01 1.5200e+02
 1.5100e+02 2.9400e+02 0.0000e+00]","[  151. 14643. 20723.  9388. 20596. 21953. 21937. 22105. 14414. 22130.
 21684. 21395. 20458. 19915. 22378.]","[10113.  5556.   807.  9085.   782.    25.     0.     0.  5385.     0.
    77.   472.   681.  1368.     0.]","[  33.  768.  764. 1091.  844.  443.  487.  319.  504.  294.  652.  405.
 1134.  847.   46.]"
0.16080402010050251,"[1.2127e+04 1.4270e+03 8.9000e+01 2.8060e+03 1.9200e+02 0.0000e+00
 0.0000e+00 0.0000e+00 2.1080e+03 0.0000e+00 8.0000e+00 1.4800e+02
 1.3100e+02 2.7400e+02 0.0000e+00]","[  177. 14909. 20982.  9742. 20664. 21973. 21937. 22105. 14572. 22130.
 21714. 21419. 20546. 20027. 22378.]","[1.0087e+04 5.2900e+03 5.4800e+02 8.7310e+03 7.1400e+02 5.0000e+00
 0.0000e+00 0.0000e+00 5.2270e+03 0.0000e+00 4.7000e+01 4.4800e+02
 5.9300e+02 1.2560e+03 0.0000e+00]","[  33.  798.  805. 1145.  854.  446.  487.  319.  517.  294.  655.  409.
 1154.  867.   46.]"
0.1658291457286432,"[1.2116e+04 1.3900e+03 6.3000e+01 2.7380e+03 1.7400e+02 0.0000e+00
 0.0000e+00 0.0000e+00 2.0860e+03 0.0000e+00 5.0000e+00 1.4300e+02
 1.2100e+02 2.5500e+02 0.0000e+00]","[  222. 15157. 21203. 10123. 20735. 21978. 21937. 22105. 14705. 22130.
 21735. 21435. 20639. 20108. 22378.]","[10042.  5042.   327.  8350.   643.     0.     0.     0.  5094.     0.
    26.   432.   500.  1175.     0.]","[  44.  835.  831. 1213.  872.  446.  487.  319.  539.  294.  658.  414.
 1164.  886.   46.]"
0.1708542713567839,"[1.2108e+04 1.3510e+03 4.1000e+01 2.6820e+03 1.5900e+02 0.0000e+00
 0.0000e+00 0.0000e+00 2.0630e+03 0.0000e+00 1.0000e+00 1.4100e+02
 1.0700e+02 2.3600e+02 0.0000e+00]","[  265. 15376. 21342. 10440. 20803. 21978. 21937. 22105. 14836. 22130.
 21755. 21459. 20709. 20199. 22378.]","[9.999e+03 4.823e+03 1.880e+02 8.033e+03 5.750e+02 0.000e+00 0.000e+00
 0.000e+00 4.963e+03 0.000e+00 6.000e+00 4.080e+02 4.300e+02 1.084e+03
 0.000e+00]","[  52.  874.  853. 1269.  887.  446.  487.  319.  562.  294.  662.  416.
 1178.  905.   46.]"
0.17587939698492464,"[12102.  1321.    18.  2631.   150.     0.     0.     0.  2048.     0.
     0.   140.    93.   224.     0.]","[  315. 15589. 21432. 10736. 20858. 21978. 21937. 22105. 14956. 22130.
 21761. 21472. 20774. 20286. 22378.]","[9949. 4610.   98. 7737.  520.    0.    0.    0. 4843.    0.    0.  395.
  365.  997.    0.]","[  58.  904.  876. 1320.  896.  446.  487.  319.  577.  294.  663.  417.
 1192.  917.   46.]"
