thresholds,TP,TN,FP,FN
-1e-07,"[12117.  2333.   928.  3994.  1078.   467.   499.   350.  2662.   277.
   674.   575.  1249.  1141.    52.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10307. 20091. 21496. 18430. 21346. 21957. 21925. 22074. 19762. 22147.
 21750. 21849. 21175. 21283. 22372.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[12117.  2327.   912.  3994.  1070.   455.   488.   333.  2643.   259.
   669.   528.  1249.  1138.    18.]","[0.0000e+00 1.1080e+03 2.0360e+03 0.0000e+00 1.7580e+03 1.0071e+04
 4.3460e+03 5.5260e+03 2.7790e+03 4.4150e+03 2.0560e+03 1.2307e+04
 1.6000e+01 5.9300e+02 2.0518e+04]","[10307. 18983. 19460. 18430. 19588. 11886. 17579. 16548. 16983. 17732.
 19694.  9542. 21159. 20690.  1854.]",[ 0.  6. 16.  0.  8. 12. 11. 17. 19. 18.  5. 47.  0.  3. 34.]
0.010050251256281407,"[1.2117e+04 2.3150e+03 8.9400e+02 3.9940e+03 1.0420e+03 4.3600e+02
 4.5900e+02 3.0200e+02 2.6130e+03 2.1900e+02 6.3000e+02 4.9700e+02
 1.2490e+03 1.1270e+03 2.0000e+00]","[    0.  2570.  5007.     0.  5035. 13463.  8133.  9710.  4629.  9773.
  5080. 14909.    74.  1951. 22154.]","[10307. 17521. 16489. 18430. 16311.  8494. 13792. 12364. 15133. 12374.
 16670.  6940. 21101. 19332.   218.]",[ 0. 18. 34.  0. 36. 31. 40. 48. 49. 58. 44. 78.  0. 14. 50.]
0.01507537688442211,"[12117.  2287.   866.  3994.   996.   426.   423.   258.  2593.   180.
   596.   462.  1247.  1098.     0.]","[    0.  3786.  7414.     0.  7778. 15067. 10922. 12817.  5961. 14119.
  8001. 16328.   260.  3745. 22353.]","[1.0307e+04 1.6305e+04 1.4082e+04 1.8430e+04 1.3568e+04 6.8900e+03
 1.1003e+04 9.2570e+03 1.3801e+04 8.0280e+03 1.3749e+04 5.5210e+03
 2.0915e+04 1.7538e+04 1.9000e+01]","[  0.  46.  62.   0.  82.  41.  76.  92.  69.  97.  78. 113.   2.  43.
  52.]"
0.020100502512562814,"[12117.  2259.   850.  3994.   963.   419.   393.   216.  2575.   148.
   549.   437.  1237.  1071.     0.]","[0.0000e+00 4.8040e+03 9.1070e+03 2.0000e+00 9.7920e+03 1.5941e+04
 1.2917e+04 1.5288e+04 7.0160e+03 1.6529e+04 1.0434e+04 1.7291e+04
 6.5800e+02 5.4670e+03 2.2372e+04]","[10307. 15287. 12389. 18428. 11554.  6016.  9008.  6786. 12746.  5618.
 11316.  4558. 20517. 15816.     0.]","[  0.  74.  78.   0. 115.  48. 106. 134.  87. 129. 125. 138.  12.  70.
  52.]"
0.02512562814070352,"[12117.  2234.   833.  3993.   933.   406.   370.   181.  2559.   129.
   513.   416.  1220.  1043.     0.]","[0.0000e+00 5.7110e+03 1.0310e+04 7.0000e+00 1.1255e+04 1.6549e+04
 1.4459e+04 1.7321e+04 7.8990e+03 1.7827e+04 1.2424e+04 1.8026e+04
 1.3940e+03 7.0870e+03 2.2372e+04]","[10307. 14380. 11186. 18423. 10091.  5408.  7466.  4753. 11863.  4320.
  9326.  3823. 19781. 14196.     0.]","[  0.  99.  95.   1. 145.  61. 129. 169. 103. 148. 161. 159.  29.  98.
  52.]"
0.03015075376884422,"[12117.  2206.   818.  3990.   905.   396.   356.   121.  2532.   108.
   472.   398.  1195.  1019.     0.]","[0.0000e+00 6.5710e+03 1.1171e+04 1.8000e+01 1.2430e+04 1.7087e+04
 1.5574e+04 1.8787e+04 8.6010e+03 1.8706e+04 1.4039e+04 1.8646e+04
 2.4400e+03 8.5370e+03 2.2372e+04]","[10307. 13520. 10325. 18412.  8916.  4870.  6351.  3287. 11161.  3441.
  7711.  3203. 18735. 12746.     0.]","[  0. 127. 110.   4. 173.  71. 143. 229. 130. 169. 202. 177.  54. 122.
  52.]"
0.035175879396984924,"[12117.  2166.   798.  3989.   873.   382.   331.    80.  2513.    96.
   438.   381.  1162.   987.     0.]","[    0.  7278. 11959.    38. 13329. 17507. 16418. 19850.  9179. 19348.
 15179. 19099.  3656.  9745. 22372.]","[10307. 12813.  9537. 18392.  8017.  4450.  5507.  2224. 10583.  2799.
  6571.  2750. 17519. 11538.     0.]","[  0. 167. 130.   5. 205.  85. 168. 270. 149. 181. 236. 194.  87. 154.
  52.]"
0.04020100502512563,"[12117.  2135.   774.  3988.   848.   376.   311.    53.  2494.    81.
   411.   364.  1120.   949.     0.]","[    0.  7916. 12648.    80. 14070. 17887. 17123. 20669.  9764. 19977.
 16176. 19474.  4999. 10793. 22372.]","[10307. 12175.  8848. 18350.  7276.  4070.  4802.  1405.  9998.  2170.
  5574.  2375. 16176. 10490.     0.]","[  0. 198. 154.   6. 230.  91. 188. 297. 168. 196. 263. 211. 129. 192.
  52.]"
0.04522613065326633,"[12117.  2100.   754.  3985.   834.   359.   292.    36.  2478.    70.
   391.   346.  1060.   919.     0.]","[    0.  8614. 13357.   133. 14733. 18242. 17726. 21246. 10256. 20571.
 16951. 19735.  6393. 11725. 22372.]","[10307. 11477.  8139. 18297.  6613.  3715.  4199.   828.  9506.  1576.
  4799.  2114. 14782.  9558.     0.]","[  0. 233. 174.   9. 244. 108. 207. 314. 184. 207. 283. 229. 189. 222.
  52.]"
