thresholds,TP,TN,FP,FN
-1e-07,"[12099.  2346.   954.  3983.  1037.   479.   515.   303.  2585.   304.
   687.   527.  1228.  1188.    38.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10325. 20078. 21470. 18441. 21387. 21945. 21909. 22121. 19839. 22120.
 21737. 21897. 21196. 21236. 22386.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[1.2099e+04 2.3460e+03 9.5300e+02 3.9830e+03 1.0270e+03 3.5700e+02
 5.0300e+02 2.6100e+02 2.5850e+03 2.7300e+02 6.8700e+02 2.5400e+02
 1.2280e+03 1.1880e+03 2.0000e+00]","[0.0000e+00 0.0000e+00 2.3800e+02 0.0000e+00 4.8400e+02 9.6100e+03
 8.7500e+02 3.6980e+03 2.8000e+01 3.6970e+03 1.2900e+02 1.6621e+04
 0.0000e+00 1.1000e+01 2.2026e+04]","[10325. 20078. 21232. 18441. 20903. 12335. 21034. 18423. 19811. 18423.
 21608.  5276. 21196. 21225.   360.]","[  0.   0.   1.   0.  10. 122.  12.  42.   0.  31.   0. 273.   0.   0.
  36.]"
0.010050251256281407,"[12099.  2346.   928.  3983.   970.   257.   473.   189.  2582.   200.
   658.   152.  1228.  1177.     0.]","[0.0000e+00 5.0000e+00 1.7490e+03 0.0000e+00 3.0920e+03 1.3701e+04
 3.2040e+03 1.0953e+04 3.5400e+02 1.0789e+04 2.3740e+03 1.9880e+04
 2.4000e+01 4.1200e+02 2.2374e+04]","[1.0325e+04 2.0073e+04 1.9721e+04 1.8441e+04 1.8295e+04 8.2440e+03
 1.8705e+04 1.1168e+04 1.9485e+04 1.1331e+04 1.9363e+04 2.0170e+03
 2.1172e+04 2.0824e+04 1.2000e+01]","[  0.   0.  26.   0.  67. 222.  42. 114.   3. 104.  29. 375.   0.  11.
  38.]"
0.01507537688442211,"[12099.  2346.   879.  3983.   908.   201.   439.   121.  2560.   137.
   599.   112.  1208.  1135.     0.]","[    0.    25.  4333.     0.  5051. 15916.  5399. 15460.  1124. 15331.
  5829. 20916.   413.  1912. 22385.]","[1.0325e+04 2.0053e+04 1.7137e+04 1.8441e+04 1.6336e+04 6.0290e+03
 1.6510e+04 6.6610e+03 1.8715e+04 6.7890e+03 1.5908e+04 9.8100e+02
 2.0783e+04 1.9324e+04 1.0000e+00]","[  0.   0.  75.   0. 129. 278.  76. 182.  25. 167.  88. 415.  20.  53.
  38.]"
0.020100502512562814,"[12099.  2344.   815.  3983.   866.   168.   412.    84.  2519.    95.
   525.    74.  1135.  1047.     0.]","[    0.    64.  6951.     0.  6373. 17244.  6946. 17985.  2314. 17826.
  8962. 21380.  1961.  4007. 22385.]","[1.0325e+04 2.0014e+04 1.4519e+04 1.8441e+04 1.5014e+04 4.7010e+03
 1.4963e+04 4.1360e+03 1.7525e+04 4.2940e+03 1.2775e+04 5.1700e+02
 1.9235e+04 1.7229e+04 1.0000e+00]","[  0.   2. 139.   0. 171. 311. 103. 219.  66. 209. 162. 453.  93. 141.
  38.]"
0.02512562814070352,"[12099.  2342.   739.  3983.   841.   143.   396.    45.  2456.    76.
   444.    50.  1027.   949.     0.]","[    0.   146.  9220.     0.  7385. 18106.  8133. 19415.  3659. 19275.
 11593. 21575.  4649.  6175. 22386.]","[10325. 19932. 12250. 18441. 14002.  3839. 13776.  2706. 16180.  2845.
 10144.   322. 16547. 15061.     0.]","[  0.   4. 215.   0. 196. 336. 119. 258. 129. 228. 243. 477. 201. 239.
  38.]"
0.03015075376884422,"[12099.  2338.   675.  3983.   812.   125.   378.    32.  2376.    58.
   366.    43.   865.   849.     0.]","[0.0000e+00 2.7400e+02 1.1043e+04 1.0000e+00 8.1790e+03 1.8711e+04
 9.1440e+03 2.0294e+04 5.0010e+03 2.0127e+04 1.3744e+04 2.1684e+04
 7.5760e+03 8.3700e+03 2.2386e+04]","[10325. 19804. 10427. 18440. 13208.  3234. 12765.  1827. 14838.  1993.
  7993.   213. 13620. 12866.     0.]","[  0.   8. 279.   0. 225. 354. 137. 271. 209. 246. 321. 484. 363. 339.
  38.]"
0.035175879396984924,"[12099.  2331.   616.  3983.   789.   112.   362.    25.  2278.    44.
   298.    39.   700.   759.     0.]","[0.0000e+00 4.5200e+02 1.2576e+04 4.0000e+00 8.8910e+03 1.9169e+04
 9.9620e+03 2.0883e+04 6.2840e+03 2.0750e+04 1.5480e+04 2.1743e+04
 1.0211e+04 1.0615e+04 2.2386e+04]","[10325. 19626.  8894. 18437. 12496.  2776. 11947.  1238. 13555.  1370.
  6257.   154. 10985. 10621.     0.]","[  0.  15. 338.   0. 248. 367. 153. 278. 307. 260. 389. 488. 528. 429.
  38.]"
0.04020100502512563,"[12099.  2327.   558.  3983.   769.   100.   349.    17.  2194.    35.
   242.    32.   569.   634.     0.]","[0.0000e+00 6.5500e+02 1.3849e+04 1.1000e+01 9.4970e+03 1.9518e+04
 1.0711e+04 2.1270e+04 7.5000e+03 2.1187e+04 1.6806e+04 2.1786e+04
 1.2570e+04 1.2899e+04 2.2386e+04]","[10325. 19423.  7621. 18430. 11890.  2427. 11198.   851. 12339.   933.
  4931.   111.  8626.  8337.     0.]","[  0.  19. 396.   0. 268. 379. 166. 286. 391. 269. 445. 495. 659. 554.
  38.]"
0.04522613065326633,"[1.2099e+04 2.3210e+03 5.0000e+02 3.9800e+03 7.5000e+02 9.4000e+01
 3.4100e+02 9.0000e+00 2.1020e+03 3.0000e+01 2.0200e+02 2.7000e+01
 4.4800e+02 5.3800e+02 0.0000e+00]","[    0.   955. 14864.    30. 10014. 19835. 11324. 21526.  8601. 21436.
 17818. 21820. 14541. 14914. 22386.]","[10325. 19123.  6606. 18411. 11373.  2110. 10585.   595. 11238.   684.
  3919.    77.  6655.  6322.     0.]","[  0.  25. 454.   3. 287. 385. 174. 294. 483. 274. 485. 500. 780. 650.
  38.]"
