thresholds,TP,TN,FP,FN
-1e-07,"[12117.  2333.   928.  3994.  1078.   467.   499.   350.  2662.   277.
   674.   575.  1249.  1141.    52.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10307. 20091. 21496. 18430. 21346. 21957. 21925. 22074. 19762. 22147.
 21750. 21849. 21175. 21283. 22372.]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
0.005025125628140704,"[12117.  2331.   923.  3994.  1074.   449.   486.   339.  2654.   267.
   667.   560.  1249.  1141.    25.]","[    0.   393.  1106.     0.   724.  9977.  2925.  4343.  1243.  2341.
   653.  4750.     0.    22. 19594.]","[10307. 19698. 20390. 18430. 20622. 11980. 19000. 17731. 18519. 19806.
 21097. 17099. 21175. 21261.  2778.]",[ 0.  2.  5.  0.  4. 18. 13. 11.  8. 10.  7. 15.  0.  0. 27.]
0.010050251256281407,"[1.2117e+04 2.3130e+03 9.0500e+02 3.9940e+03 1.0490e+03 4.3000e+02
 4.5400e+02 3.0800e+02 2.6370e+03 2.4200e+02 6.4200e+02 5.3700e+02
 1.2490e+03 1.1370e+03 4.0000e+00]","[0.0000e+00 1.4490e+03 3.8780e+03 0.0000e+00 3.2410e+03 1.2820e+04
 7.7800e+03 8.0190e+03 3.0480e+03 7.4670e+03 3.3200e+03 7.5910e+03
 1.3000e+01 1.9100e+02 2.2052e+04]","[10307. 18642. 17618. 18430. 18105.  9137. 14145. 14055. 16714. 14680.
 18430. 14258. 21162. 21092.   320.]",[ 0. 20. 23.  0. 29. 37. 45. 42. 25. 35. 32. 38.  0.  4. 48.]
0.01507537688442211,"[12117.  2294.   877.  3994.  1012.   412.   412.   273.  2621.   198.
   590.   515.  1249.  1126.     0.]","[0.0000e+00 2.5960e+03 6.3380e+03 1.0000e+00 6.0410e+03 1.4611e+04
 1.1134e+04 1.1332e+04 4.4890e+03 1.1895e+04 6.6010e+03 9.6920e+03
 7.6000e+01 6.3100e+02 2.2337e+04]","[10307. 17495. 15158. 18429. 15305.  7346. 10791. 10742. 15273. 10252.
 15149. 12157. 21099. 20652.    35.]",[ 0. 39. 51.  0. 66. 55. 87. 77. 41. 79. 84. 60.  0. 15. 52.]
0.020100502512562814,"[12117.  2258.   855.  3994.   960.   401.   364.   223.  2595.   161.
   534.   473.  1244.  1110.     0.]","[0.0000e+00 3.6450e+03 8.2180e+03 5.0000e+00 8.4550e+03 1.5763e+04
 1.3488e+04 1.4195e+04 5.5780e+03 1.5373e+04 9.4560e+03 1.1583e+04
 3.0000e+02 1.5110e+03 2.2371e+04]","[1.0307e+04 1.6446e+04 1.3278e+04 1.8425e+04 1.2891e+04 6.1940e+03
 8.4370e+03 7.8790e+03 1.4184e+04 6.7740e+03 1.2294e+04 1.0266e+04
 2.0875e+04 1.9772e+04 1.0000e+00]","[  0.  75.  73.   0. 118.  66. 135. 127.  67. 116. 140. 102.   5.  31.
  52.]"
0.02512562814070352,"[12117.  2229.   829.  3994.   914.   389.   341.   156.  2572.   122.
   477.   430.  1236.  1089.     0.]","[0.0000e+00 4.4930e+03 9.6180e+03 1.2000e+01 1.0398e+04 1.6495e+04
 1.5141e+04 1.6488e+04 6.5070e+03 1.7630e+04 1.1943e+04 1.3272e+04
 7.6900e+02 2.7960e+03 2.2372e+04]","[10307. 15598. 11878. 18418. 10948.  5462.  6784.  5586. 13255.  4517.
  9807.  8577. 20406. 18487.     0.]","[  0. 104.  99.   0. 164.  78. 158. 194.  90. 155. 197. 145.  13.  52.
  52.]"
0.03015075376884422,"[12117.  2208.   814.  3994.   872.   382.   316.   115.  2551.    91.
   432.   392.  1223.  1053.     0.]","[    0.  5225. 10714.    33. 11856. 17021. 16365. 18218.  7308. 19243.
 13812. 14720.  1540.  4361. 22372.]","[10307. 14866. 10782. 18397.  9490.  4936.  5560.  3856. 12454.  2904.
  7938.  7129. 19635. 16922.     0.]","[  0. 125. 114.   0. 206.  85. 183. 235. 111. 186. 242. 183.  26.  88.
  52.]"
0.035175879396984924,"[12117.  2181.   795.  3993.   834.   368.   280.    76.  2533.    56.
   393.   361.  1190.  1016.     0.]","[    0.  5867. 11528.    79. 13041. 17443. 17276. 19559.  8003. 20551.
 15248. 16102.  2541.  5996. 22372.]","[10307. 14224.  9968. 18351.  8305.  4514.  4649.  2515. 11759.  1596.
  6502.  5747. 18634. 15287.     0.]","[  0. 152. 133.   1. 244.  99. 219. 274. 129. 221. 281. 214.  59. 125.
  52.]"
0.04020100502512563,"[12117.  2151.   777.  3990.   800.   357.   263.    52.  2511.    21.
   350.   325.  1148.   963.     0.]","[    0.  6463. 12234.   164. 14080. 17792. 17956. 20609.  8645. 21614.
 16344. 17358.  3721.  7636. 22372.]","[10307. 13628.  9262. 18266.  7266.  4165.  3969.  1465. 11117.   533.
  5406.  4491. 17454. 13647.     0.]","[  0. 182. 151.   4. 278. 110. 236. 298. 151. 256. 324. 250. 101. 178.
  52.]"
0.04522613065326633,"[1.2117e+04 2.1310e+03 7.5200e+02 3.9870e+03 7.6100e+02 3.4400e+02
 2.4500e+02 2.8000e+01 2.4940e+03 2.0000e+00 3.2000e+02 2.8800e+02
 1.1020e+03 9.1700e+02 0.0000e+00]","[    0.  6983. 12871.   280. 14838. 18094. 18543. 21381.  9220. 22053.
 17270. 18345.  5034.  9095. 22372.]","[10307. 13108.  8625. 18150.  6508.  3863.  3382.   693. 10542.    94.
  4480.  3504. 16141. 12188.     0.]","[  0. 202. 176.   7. 317. 123. 254. 322. 168. 275. 354. 287. 147. 224.
  52.]"
0.05025125628140704,"[1.2117e+04 2.1090e+03 7.3800e+02 3.9820e+03 7.2800e+02 3.3300e+02
 2.2800e+02 1.2000e+01 2.4820e+03 0.0000e+00 2.8800e+02 2.4100e+02
 1.0430e+03 8.6200e+02 0.0000e+00]","[    0.  7464. 13568.   455. 15509. 18357. 19010. 21780.  9747. 22142.
 18014. 19174.  6477. 10427. 22372.]","[1.0307e+04 1.2627e+04 7.9280e+03 1.7975e+04 5.8370e+03 3.6000e+03
 2.9150e+03 2.9400e+02 1.0015e+04 5.0000e+00 3.7360e+03 2.6750e+03
 1.4698e+04 1.0856e+04 0.0000e+00]","[  0. 224. 190.  12. 350. 134. 271. 338. 180. 277. 386. 334. 206. 279.
  52.]"
0.05527638190954774,"[1.2117e+04 2.0680e+03 7.0700e+02 3.9740e+03 7.0100e+02 3.2300e+02
 1.9800e+02 5.0000e+00 2.4550e+03 0.0000e+00 2.6600e+02 1.9800e+02
 9.7500e+02 8.0400e+02 0.0000e+00]","[    0.  7928. 14226.   661. 16089. 18630. 19360. 21966. 10211. 22147.
 18621. 19840.  7899. 11701. 22372.]","[10307. 12163.  7270. 17769.  5257.  3327.  2565.   108.  9551.     0.
  3129.  2009. 13276.  9582.     0.]","[  0. 265. 221.  20. 377. 144. 301. 345. 207. 277. 408. 377. 274. 337.
  52.]"
0.06030150753768844,"[1.2117e+04 2.0350e+03 6.8300e+02 3.9690e+03 6.7900e+02 3.1000e+02
 1.8100e+02 2.0000e+00 2.4280e+03 0.0000e+00 2.3300e+02 1.6000e+02
 8.8600e+02 7.5800e+02 0.0000e+00]","[    0.  8400. 14841.   878. 16594. 18890. 19709. 22060. 10602. 22147.
 19161. 20352.  9367. 12816. 22372.]","[1.0307e+04 1.1691e+04 6.6550e+03 1.7552e+04 4.7520e+03 3.0670e+03
 2.2160e+03 1.4000e+01 9.1600e+03 0.0000e+00 2.5890e+03 1.4970e+03
 1.1808e+04 8.4670e+03 0.0000e+00]","[  0. 298. 245.  25. 399. 157. 318. 348. 234. 277. 441. 415. 363. 383.
  52.]"
0.06532663316582915,"[12117.  2002.   661.  3960.   652.   288.   164.     0.  2403.     0.
   214.   133.   798.   697.     0.]","[    0.  8860. 15284.  1147. 17018. 19148. 19979. 22073. 10986. 22147.
 19626. 20646. 10726. 13747. 22372.]","[1.0307e+04 1.1231e+04 6.2120e+03 1.7283e+04 4.3280e+03 2.8090e+03
 1.9460e+03 1.0000e+00 8.7760e+03 0.0000e+00 2.1240e+03 1.2030e+03
 1.0449e+04 7.5360e+03 0.0000e+00]","[  0. 331. 267.  34. 426. 179. 335. 350. 259. 277. 460. 442. 451. 444.
  52.]"
0.07035175879396985,"[12117.  1968.   631.  3945.   628.   277.   149.     0.  2375.     0.
   187.   114.   735.   654.     0.]","[    0.  9376. 15674.  1432. 17426. 19395. 20256. 22073. 11337. 22147.
 19967. 20850. 12012. 14565. 22372.]","[1.0307e+04 1.0715e+04 5.8220e+03 1.6998e+04 3.9200e+03 2.5620e+03
 1.6690e+03 1.0000e+00 8.4250e+03 0.0000e+00 1.7830e+03 9.9900e+02
 9.1630e+03 6.7180e+03 0.0000e+00]","[  0. 365. 297.  49. 450. 190. 350. 350. 287. 277. 487. 461. 514. 487.
  52.]"
0.07537688442211055,"[12117.  1939.   612.  3916.   603.   261.   136.     0.  2357.     0.
   157.   104.   660.   614.     0.]","[    0.  9839. 16028.  1758. 17766. 19660. 20504. 22074. 11675. 22147.
 20239. 20992. 13279. 15289. 22372.]","[10307. 10252.  5468. 16672.  3580.  2297.  1421.     0.  8087.     0.
  1511.   857.  7896.  5994.     0.]","[  0. 394. 316.  78. 475. 206. 363. 350. 305. 277. 517. 471. 589. 527.
  52.]"
0.08040201005025126,"[12117.  1898.   591.  3885.   584.   229.   125.     0.  2337.     0.
   138.    96.   588.   563.     0.]","[    0. 10277. 16344.  2154. 18059. 19957. 20718. 22074. 11979. 22147.
 20473. 21101. 14497. 15920. 22372.]","[10307.  9814.  5152. 16276.  3287.  2000.  1207.     0.  7783.     0.
  1277.   748.  6678.  5363.     0.]","[  0. 435. 337. 109. 494. 238. 374. 350. 325. 277. 536. 479. 661. 578.
  52.]"
