label,thresholds,f1_most
No Finding,0.35678391959798994,0.7398356
Atelectasis,0.1658291457286432,0.32638285
Consolidation,0.135678391959799,0.19390926
Infiltration,0.21105527638190955,0.3738214
Pneumothorax,0.12060301507537688,0.2691454
Edema,0.09045226130653267,0.15326539
Emphysema,0.06030150753768844,0.11735486
Fibrosis,0.03015075376884422,0.068939105
Effusion,0.24623115577889448,0.48017347
Pneumonia,0.03015075376884422,0.05148713
Pleural_Thickening,0.10050251256281408,0.15310585
Cardiomegaly,0.12060301507537688,0.2859304
Nodule,0.07537688442211055,0.15807393
Mass,0.12060301507537688,0.20651421
Hernia,0.01507537688442211,0.025316456
