label,thresholds,f1_most
No Finding,0.2964824120603015,0.7412608
Atelectasis,0.16080402010050251,0.33844125
Consolidation,0.10552763819095477,0.19939394
Infiltration,0.16080402010050251,0.37944454
Pneumothorax,0.12060301507537688,0.28247163
Edema,0.11557788944723618,0.2097489
Emphysema,0.07035175879396985,0.14603175
Fibrosis,0.04020100502512563,0.078431375
Effusion,0.1708542713567839,0.45716783
Pneumonia,0.04522613065326633,0.06300813
Pleural_Thickening,0.08040201005025126,0.15821153
Cardiomegaly,0.12562814070351758,0.3367647
Nodule,0.07537688442211055,0.1603928
Mass,0.1306532663316583,0.22118472
Hernia,0.005025125628140704,0.016666668
